action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,7.073601458472062,1,1,false,false,0,false,0,false
[con_ready2],2,7.332982517389149,1,1,false,true,0,false,0,true
[consuming2],3,7.477579605280036,1,0,false,false,0,false,1,false
[producing],4,19.459407113135484,2,1,false,false,0,false,1,false
[con_ready2],5,20.993588981477508,2,1,false,true,0,false,1,true
[consuming2],6,21.83317269299653,2,0,false,false,0,false,2,false
[producing],7,24.46206162247654,3,1,false,false,0,false,2,false
[producing],8,36.81915791993099,4,2,false,false,0,false,2,false
[con_ready1],9,48.16636574382988,4,2,true,false,0,true,2,false
[consuming1],10,48.437170061070866,4,1,false,false,1,false,2,false
[con_ready1],11,59.191335354275544,4,1,true,false,1,true,2,false
[consuming1],12,61.54726821384492,4,0,false,false,2,false,2,false
[producing],13,73.34001980237811,5,1,false,false,2,false,2,false
[con_ready1],14,78.11772560585524,5,1,true,false,2,true,2,false
[consuming1],15,78.59682994329727,5,0,false,false,3,false,2,false
[producing],16,88.32999247043348,6,1,false,false,3,false,2,false
[con_ready1],17,100.90544795473008,6,1,true,false,3,true,2,false
[consuming1],18,101.60405650951995,6,0,false,false,4,false,2,false
[producing],19,106.6608245988713,7,1,false,false,4,false,2,false
[con_ready2],20,114.80605161100681,7,1,false,true,4,false,2,true
[consuming2],21,115.40605650328087,7,0,false,false,4,false,3,false
[producing],22,154.827818862172,8,1,false,false,4,false,3,false
[producing],23,157.6449055913414,9,2,false,false,4,false,3,false
[producing],24,165.2570230338739,10,3,false,false,4,false,3,false
[con_ready1],25,175.95148753583015,10,3,true,false,4,true,3,false
[consuming1],26,176.3118237601015,10,2,false,false,5,false,3,false
[con_ready1],27,204.8060647040137,10,2,true,false,5,true,3,false
[consuming1],28,205.51684809929478,10,1,false,false,6,false,3,false
[con_ready2],29,211.63133622836799,10,1,false,true,6,false,3,true
[consuming2],30,211.7459975770983,10,0,false,false,6,false,4,false
[producing],31,308.5634640447945,11,1,false,false,6,false,4,false
[con_ready1],32,310.5839668246856,11,1,true,false,6,true,4,false
[consuming1],33,313.68150352326876,11,0,false,false,7,false,4,false
[producing],34,322.87987348908007,12,1,false,false,7,false,4,false
[con_ready2],35,337.5330636873768,12,1,false,true,7,false,4,true
[consuming2],36,338.3358510293529,12,0,false,false,7,false,5,false
[producing],37,373.7671421709671,13,1,false,false,7,false,5,false
[con_ready2],38,378.7356813271108,13,1,false,true,7,false,5,true
[consuming2],39,378.84097370083845,13,0,false,false,7,false,6,false
[producing],40,385.7175993198348,14,1,false,false,7,false,6,false
[con_ready2],41,393.6083593272432,14,1,false,true,7,false,6,true
[consuming2],42,393.9344990079628,14,0,false,false,7,false,7,false
[producing],43,403.9371358129699,15,1,false,false,7,false,7,false
[con_ready1],44,410.3737306840166,15,1,true,false,7,true,7,false
[consuming1],45,412.3526997531847,15,0,false,false,8,false,7,false
[producing],46,420.0517027503662,16,1,false,false,8,false,7,false
[con_ready1],47,421.4214640001857,16,1,true,false,8,true,7,false
[consuming1],48,421.94706414054525,16,0,false,false,9,false,7,false
[producing],49,422.22268692374786,17,1,false,false,9,false,7,false
[con_ready2],50,423.53628244560997,17,1,false,true,9,false,7,true
[consuming2],51,424.2798106654682,17,0,false,false,9,false,8,false
[producing],52,454.25306442608195,18,1,false,false,9,false,8,false
[con_ready2],53,458.2822246406077,18,1,false,true,9,false,8,true
[consuming2],54,460.74651579600186,18,0,false,false,9,false,9,false
[producing],55,468.45455439256614,19,1,false,false,9,false,9,false
[con_ready2],56,474.6876346470596,19,1,false,true,9,false,9,true
[consuming2],57,474.8290270010765,19,0,false,false,9,false,10,false
[producing],58,546.4946991896059,20,1,false,false,9,false,10,false
[con_ready2],59,552.1646878831651,20,1,false,true,9,false,10,true
[consuming2],60,553.1761208908398,20,0,false,false,9,false,11,false
