action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,23.294967490084403,1,1,false,0,false
[con_ready],2,24.55282260275832,1,2,false,0,true
[producing],3,101.11024620373738,2,2,true,0,true
[consuming],4,101.21738968235246,2,1,false,1,false
[con_ready],5,109.2812947518749,2,2,false,1,true
[producing],6,177.0344817040563,3,2,true,1,true
[consuming],7,177.33508766049044,3,1,false,2,false
[con_ready],8,181.87140507411763,3,2,false,2,true
[producing],9,183.84605510411606,4,2,true,2,true
[consuming],10,185.021853823307,4,1,false,3,false
[con_ready],11,185.3159489789126,4,2,false,3,true
[producing],12,189.3707163699376,5,2,true,3,true
[consuming],13,192.25051950397838,5,1,false,4,false
[con_ready],14,209.70987978615153,5,2,false,4,true
[producing],15,210.45674394169498,6,2,true,4,true
[consuming],16,211.19995939610024,6,1,false,5,false
[producing],17,248.80265986624457,7,1,true,5,false
