319 398
218 215 1
219 221 0.0833333333333
219 224 0.0333333333333
220 220 1
221 226 0.0333333333333
222 219 1
223 225 0.0833333333333
223 228 0.0333333333333
224 224 1
225 230 0.0333333333333
226 223 1
227 229 0.0833333333333
227 232 0.0333333333333
228 228 1
229 234 0.0333333333333
230 227 1
231 233 0.0833333333333
231 236 0.0333333333333
232 232 1
233 238 0.0333333333333
234 231 1
235 237 0.0833333333333
235 240 0.0333333333333
236 236 1
237 242 0.0333333333333
238 235 1
239 241 0.0833333333333
239 244 0.0333333333333
240 240 1
241 246 0.0333333333333
242 239 1
243 245 0.0833333333333
243 248 0.0333333333333
244 244 1
245 250 0.0333333333333
246 243 1
247 249 0.0833333333333
247 252 0.0333333333333
248 248 1
249 254 0.0333333333333
250 247 1
251 253 0.0833333333333
251 256 0.0333333333333
252 252 1
253 258 0.0333333333333
254 251 1
255 257 0.0833333333333
255 260 0.0333333333333
256 256 1
257 262 0.0333333333333
258 255 1
259 261 0.0833333333333
259 264 0.0333333333333
260 260 1
261 266 0.0333333333333
262 259 1
263 265 0.0833333333333
263 268 0.0333333333333
264 264 1
265 270 0.0333333333333
266 263 1
267 269 0.0833333333333
267 272 0.0333333333333
268 268 1
269 274 0.0333333333333
270 267 1
271 273 0.0833333333333
271 276 0.0333333333333
272 272 1
273 278 0.0333333333333
274 271 1
275 277 0.0833333333333
275 280 0.0333333333333
276 276 1
277 282 0.0333333333333
278 275 1
279 281 0.0833333333333
279 284 0.0333333333333
280 280 1
281 286 0.0333333333333
282 279 1
283 285 0.0833333333333
283 288 0.0333333333333
284 284 1
285 290 0.0333333333333
286 283 1
287 289 0.0833333333333
287 292 0.0333333333333
288 288 1
289 294 0.0333333333333
290 287 1
291 293 0.0833333333333
291 296 0.0333333333333
292 292 1
293 298 0.0333333333333
294 291 1
295 297 0.0833333333333
295 300 0.0333333333333
296 296 1
297 302 0.0333333333333
298 295 1
299 301 0.0833333333333
299 304 0.0333333333333
300 300 1
301 306 0.0333333333333
302 299 1
303 305 0.0833333333333
303 308 0.0333333333333
304 304 1
305 310 0.0333333333333
306 303 1
307 309 0.0833333333333
307 312 0.0333333333333
308 308 1
309 314 0.0333333333333
310 307 1
311 313 0.0833333333333
311 316 0.0333333333333
312 312 1
313 318 0.0333333333333
314 311 1
315 317 0.0833333333333
316 316 1
317 317 1
318 315 1
