action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,34.58063581565689,1,1,false,0,false
[con_ready],2,63.94214191220257,1,2,false,0,true
[producing],3,72.79438246032026,2,2,true,0,true
[consuming],4,73.05007114781559,2,1,false,1,false
[con_ready],5,75.54589640646483,2,2,false,1,true
[producing],6,152.6239963226093,3,2,true,1,true
[consuming],7,154.75187772887574,3,1,false,2,false
[con_ready],8,159.81346099694127,3,2,false,2,true
[producing],9,205.35680401940832,4,2,true,2,true
[consuming],10,206.74128566190282,4,1,false,3,false
[con_ready],11,209.10650671361626,4,2,false,3,true
[producing],12,250.8120597831521,5,2,true,3,true
[consuming],13,250.9313934798448,5,1,false,4,false
[con_ready],14,265.5748428654578,5,2,false,4,true
[producing],15,317.8408885230769,6,2,true,4,true
[consuming],16,318.3218916157651,6,1,false,5,false
[con_ready],17,336.5395928045893,6,2,false,5,true
[producing],18,350.4775019677669,7,2,true,5,true
[consuming],19,351.8639931096985,7,1,false,6,false
[con_ready],20,363.25318220912106,7,2,false,6,true
[producing],21,378.2587970646067,8,2,true,6,true
[consuming],22,381.7549352153653,8,1,false,7,false
[con_ready],23,386.56056424473906,8,2,false,7,true
[producing],24,391.87368079777684,9,2,true,7,true
[consuming],25,391.98183505566266,9,1,false,8,false
[con_ready],26,402.72117427206,9,2,false,8,true
[producing],27,404.0268158639411,10,2,true,8,true
[consuming],28,405.23473548080176,10,1,false,9,false
[con_ready],29,417.239430529942,10,2,false,9,true
[producing],30,458.61131112775945,11,2,true,9,true
[consuming],31,459.67258346644644,11,1,false,10,false
[producing],32,466.6895658509351,12,1,true,10,false
