action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,50.8889100526438,1,1,false,false,0,false,0,false
[con_ready1],2,52.100143654773284,1,2,false,false,0,true,0,false
[producing],3,57.03969617071845,2,2,true,false,0,true,0,false
[consuming1],4,57.08985545260883,2,1,false,false,1,false,0,false
[con_ready2],5,57.291604460166845,2,1,false,true,1,false,0,true
[consuming2],6,57.68739149475776,2,0,false,false,1,false,1,false
[producing],7,94.74695047549244,3,1,false,false,1,false,1,false
[producing],8,102.42023869452743,4,1,true,false,1,false,1,false
