action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
[con_ready1],657,2510.125043496419,64,80,80,8,true,false,false,73,true,68,false,75,false
[consuming1],658,2510.633092006337,64,80,80,7,false,false,false,74,false,68,false,75,false
[con_ready2],659,2543.0224422852934,64,80,80,7,false,true,false,74,false,68,true,75,false
[consuming2],660,2543.310836553388,64,80,80,6,false,false,false,74,false,69,false,75,false
[con_ready2],661,2543.8153789745134,64,80,80,6,false,true,false,74,false,69,true,75,false
[consuming2],662,2544.8751825227723,64,80,80,5,false,false,false,74,false,70,false,75,false
[producing],663,2558.356599890097,65,80,80,6,false,false,false,74,false,70,false,75,false
[con_ready2],664,2567.3318835376663,65,80,80,6,false,true,false,74,false,70,true,75,false
[consuming2],665,2568.9087953478297,65,80,80,5,false,false,false,74,false,71,false,75,false
[producing],666,2569.6478007888923,66,80,80,6,false,false,false,74,false,71,false,75,false
[con_ready2],667,2570.142831986376,66,80,80,6,false,true,false,74,false,71,true,75,false
[consuming2],668,2571.4233652454704,66,80,80,5,false,false,false,74,false,72,false,75,false
[con_ready3],669,2588.6274042945047,66,80,80,5,false,false,true,74,false,72,false,75,true
[consuming3],670,2588.8584523338163,66,80,80,4,false,false,false,74,false,72,false,76,false
[con_ready1],671,2592.7714459870213,66,80,80,4,true,false,false,74,true,72,false,76,false
[consuming1],672,2593.4974149279833,66,80,80,3,false,false,false,75,false,72,false,76,false
[con_ready1],673,2628.9363316916683,66,80,80,3,true,false,false,75,true,72,false,76,false
[consuming1],674,2629.234995049002,66,80,80,2,false,false,false,76,false,72,false,76,false
[con_ready3],675,2633.1768893322283,66,80,80,2,false,false,true,76,false,72,false,76,true
[consuming3],676,2635.3915317378837,66,80,80,1,false,false,false,76,false,72,false,77,false
[con_ready2],677,2635.6466097891985,66,80,80,1,false,true,false,76,false,72,true,77,false
[consuming2],678,2637.480937396022,66,80,80,0,false,false,false,76,false,73,false,77,false
[producing],679,2670.1094736926134,67,80,80,1,false,false,false,76,false,73,false,77,false
[con_ready1],680,2679.540269220555,67,80,80,1,true,false,false,76,true,73,false,77,false
[consuming1],681,2682.105009447187,67,80,80,0,false,false,false,77,false,73,false,77,false
[producing],682,2694.224763906387,68,80,80,1,false,false,false,77,false,73,false,77,false
[producing],683,2706.561158667707,69,80,80,2,false,false,false,77,false,73,false,77,false
[producing],684,2721.1871150786246,70,80,80,3,false,false,false,77,false,73,false,77,false
[con_ready1],685,2721.7235398687203,70,80,80,3,true,false,false,77,true,73,false,77,false
[consuming1],686,2721.789651547384,70,80,80,2,false,false,false,78,false,73,false,77,false
[con_ready1],687,2724.8922860994558,70,80,80,2,true,false,false,78,true,73,false,77,false
[consuming1],688,2725.74446180363,70,80,80,1,false,false,false,79,false,73,false,77,false
[con_ready1],689,2749.7736880258212,70,80,80,1,true,false,false,79,true,73,false,77,false
[consuming1],690,2750.495940139137,70,80,80,0,false,false,false,80,false,73,false,77,false
[producing],691,2752.3833627508716,71,80,80,1,false,false,false,80,false,73,false,77,false
[con_ready2],692,2754.5989591633547,71,80,80,1,false,true,false,80,false,73,true,77,false
[consuming2],693,2755.0434068970712,71,80,80,0,false,false,false,80,false,74,false,77,false
[producing],694,2756.4785554247337,72,80,80,1,false,false,false,80,false,74,false,77,false
[producing],695,2760.2972543026012,73,80,80,2,false,false,false,80,false,74,false,77,false
[con_ready3],696,2786.9840871098836,73,80,80,2,false,false,true,80,false,74,false,77,true
[consuming3],697,2787.203546540381,73,80,80,1,false,false,false,80,false,74,false,78,false
[producing],698,2799.4324893427124,74,80,80,2,false,false,false,80,false,74,false,78,false
[con_ready2],699,2805.0922566838403,74,80,80,2,false,true,false,80,false,74,true,78,false
[consuming2],700,2806.5075452201586,74,80,80,1,false,false,false,80,false,75,false,78,false
[con_ready3],701,2843.7303510994525,74,80,80,1,false,false,true,80,false,75,false,78,true
[consuming3],702,2844.84949460455,74,80,80,0,false,false,false,80,false,75,false,79,false
[producing],703,2917.2609623490175,75,80,80,1,false,false,false,80,false,75,false,79,false
[con_ready2],704,2920.1835423864777,75,80,80,1,false,true,false,80,false,75,true,79,false
[consuming2],705,2920.4938352439804,75,80,80,0,false,false,false,80,false,76,false,79,false
[producing],706,2942.0965676840156,76,80,80,1,false,false,false,80,false,76,false,79,false
[con_ready2],707,2957.5254232326283,76,80,80,1,false,true,false,80,false,76,true,79,false
[consuming2],708,2959.348490195301,76,80,80,0,false,false,false,80,false,77,false,79,false
[producing],709,2976.6319148776797,77,80,80,1,false,false,false,80,false,77,false,79,false
[con_ready2],710,2980.1391524649034,77,80,80,1,false,true,false,80,false,77,true,79,false
[consuming2],711,2980.3047234526093,77,80,80,0,false,false,false,80,false,78,false,79,false
[producing],712,2992.593048860611,78,80,80,1,false,false,false,80,false,78,false,79,false
[producing],713,2993.8036034757283,79,80,80,2,false,false,false,80,false,78,false,79,false
[con_ready2],714,3003.0577084016413,79,80,80,2,false,true,false,80,false,78,true,79,false
[consuming2],715,3003.7710538838214,79,80,80,1,false,false,false,80,false,79,false,79,false
[producing],716,3009.0575949428962,80,80,80,2,false,false,false,80,false,79,false,79,false
[con_ready2],717,3020.217295460328,80,80,80,2,false,true,false,80,false,79,true,79,false
[consuming2],718,3020.7261566582324,80,80,80,1,false,false,false,80,false,80,false,79,false
[con_ready3],719,3052.9919646959247,80,80,80,1,false,false,true,80,false,80,false,79,true
[consuming3],720,3054.3615905748647,80,80,80,0,false,false,false,80,false,80,false,80,false
