action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,44.22763786696977,1,0,0,1,false,false,false,0,false,0,false,0,false
[con_ready3],2,46.578529294407645,1,0,0,1,false,false,true,0,false,0,false,0,true
[consuming3],3,48.88582556765364,1,0,0,0,false,false,false,0,false,0,false,1,false
[producing],4,64.20449324341654,2,0,0,1,false,false,false,0,false,0,false,1,false
[producing3],5,66.42199705757827,2,0,1,2,false,false,false,0,false,0,false,1,false
[producing2],6,67.64448711917167,2,1,1,3,false,false,false,0,false,0,false,1,false
[producing2],7,69.17361086436182,2,2,1,4,false,false,false,0,false,0,false,1,false
[producing],8,72.99779055786875,3,2,1,5,false,false,false,0,false,0,false,1,false
[producing],9,76.51674388062511,4,2,1,6,false,false,false,0,false,0,false,1,false
[producing2],10,79.95456917766259,4,3,1,7,false,false,false,0,false,0,false,1,false
[producing3],11,80.69280813509413,4,3,2,8,false,false,false,0,false,0,false,1,false
[con_ready3],12,82.58372795684946,4,3,2,8,false,false,true,0,false,0,false,1,true
[consuming3],13,83.90538257586387,4,3,2,7,false,false,false,0,false,0,false,2,false
[producing],14,87.79390620726929,5,3,2,8,false,false,false,0,false,0,false,2,false
[con_ready1],15,89.33177335201374,5,3,2,8,true,false,false,0,true,0,false,2,false
[consuming1],16,91.690945095937,5,3,2,7,false,false,false,1,false,0,false,2,false
[producing3],17,95.17843626332362,5,3,3,8,false,false,false,1,false,0,false,2,false
[con_ready2],18,98.18318449062356,5,3,3,8,false,true,false,1,false,0,true,2,false
[consuming2],19,98.19471963896483,5,3,3,7,false,false,false,1,false,1,false,2,false
[producing3],20,101.21809535680539,5,3,4,8,false,false,false,1,false,1,false,2,false
[producing2],21,102.40646410127765,5,4,4,9,false,false,false,1,false,1,false,2,false
[producing3],22,107.53329509193503,5,4,5,10,false,false,false,1,false,1,false,2,false
[con_ready1],23,109.3307718526171,5,4,5,10,true,false,false,1,true,1,false,2,false
[consuming1],24,110.71693156007818,5,4,5,9,false,false,false,2,false,1,false,2,false
[producing2],25,115.09143319855637,5,5,5,10,false,false,false,2,false,1,false,2,false
[con_ready2],26,121.9132645847425,5,5,5,10,false,true,false,2,false,1,true,2,false
[consuming2],27,122.62644517917816,5,5,5,9,false,false,false,2,false,2,false,2,false
