action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,45.965777049038095,1,0,0,1,false,false,false,0,false,0,false,0,false
[producing],2,49.56466641197772,2,0,0,2,false,false,false,0,false,0,false,0,false
[producing3],3,58.05933793435731,2,0,1,3,false,false,false,0,false,0,false,0,false
[con_ready2],4,70.47481063759116,2,0,1,3,false,true,false,0,false,0,true,0,false
[consuming2],5,72.1410325063351,2,0,1,2,false,false,false,0,false,1,false,0,false
[producing3],6,73.07217350096296,2,0,2,3,false,false,false,0,false,1,false,0,false
[con_ready2],7,75.2946176831633,2,0,2,3,false,true,false,0,false,1,true,0,false
[consuming2],8,75.5522565593827,2,0,2,2,false,false,false,0,false,2,false,0,false
[con_ready3],9,86.33331630469547,2,0,2,2,false,false,true,0,false,2,false,0,true
[consuming3],10,86.35642334001402,2,0,2,1,false,false,false,0,false,2,false,1,false
[con_ready1],11,95.47140159886877,2,0,2,1,true,false,false,0,true,2,false,1,false
[consuming1],12,96.61531969446709,2,0,2,0,false,false,false,1,false,2,false,1,false
[producing],13,104.9506077078088,3,0,2,1,false,false,false,1,false,2,false,1,false
[con_ready2],14,105.39450842489698,3,0,2,1,false,true,false,1,false,2,true,1,false
[consuming2],15,107.95143188146953,3,0,2,0,false,false,false,1,false,3,false,1,false
[producing],16,124.415632630059,4,0,2,1,false,false,false,1,false,3,false,1,false
[producing2],17,125.0136269377127,4,1,2,2,false,false,false,1,false,3,false,1,false
[producing2],18,132.5276900801151,4,2,2,3,false,false,false,1,false,3,false,1,false
[con_ready1],19,138.33469347796833,4,2,2,3,true,false,false,1,true,3,false,1,false
[consuming1],20,138.47400183351186,4,2,2,2,false,false,false,2,false,3,false,1,false
[producing2],21,144.4912422633615,4,3,2,3,false,false,false,2,false,3,false,1,false
[con_ready3],22,153.11525277321363,4,3,2,3,false,false,true,2,false,3,false,1,true
[consuming3],23,153.71979384538986,4,3,2,2,false,false,false,2,false,3,false,2,false
