action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,24.371380308024065,1,1,false,false,false,0,false,0,false,0,false
[producing],2,25.415083802759558,2,2,false,false,false,0,false,0,false,0,false
[con_ready3],3,58.174191566806485,2,2,false,false,true,0,false,0,false,0,true
[consuming3],4,58.795146481654335,2,1,false,false,false,0,false,0,false,1,false
[con_ready2],5,61.7391226922606,2,1,false,true,false,0,false,0,true,1,false
[consuming2],6,64.01789586881257,2,0,false,false,false,0,false,1,false,1,false
[producing],7,91.66260328033182,3,1,false,false,false,0,false,1,false,1,false
[producing],8,92.98674396513671,4,2,false,false,false,0,false,1,false,1,false
[con_ready2],9,93.28206149051097,4,2,false,true,false,0,false,1,true,1,false
[consuming2],10,96.28401507842703,4,1,false,false,false,0,false,2,false,1,false
[con_ready3],11,97.86782791446282,4,1,false,false,true,0,false,2,false,1,true
[consuming3],12,98.4752060540473,4,0,false,false,false,0,false,2,false,2,false
[producing],13,110.27781205125979,5,1,false,false,false,0,false,2,false,2,false
[con_ready3],14,113.36861056137684,5,1,false,false,true,0,false,2,false,2,true
[consuming3],15,113.73853793784963,5,0,false,false,false,0,false,2,false,3,false
[producing],16,138.50479720304486,6,1,false,false,false,0,false,2,false,3,false
[con_ready1],17,139.4569725444728,6,1,true,false,false,0,true,2,false,3,false
[consuming1],18,139.66137073236516,6,0,false,false,false,1,false,2,false,3,false
[producing],19,157.1590381709162,7,1,false,false,false,1,false,2,false,3,false
[con_ready3],20,168.92337280270777,7,1,false,false,true,1,false,2,false,3,true
[consuming3],21,169.37367511949745,7,0,false,false,false,1,false,2,false,4,false
[producing],22,183.26389911941777,8,1,false,false,false,1,false,2,false,4,false
[con_ready1],23,190.65769834300272,8,1,true,false,false,1,true,2,false,4,false
[consuming1],24,191.0281444095854,8,0,false,false,false,2,false,2,false,4,false
