action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,7.755794465987519,1,1,false,false,false,0,false,0,false,0,false
[producing],2,26.603007348074627,2,2,false,false,false,0,false,0,false,0,false
[con_ready1],3,28.309652005266777,2,2,true,false,false,0,true,0,false,0,false
[consuming1],4,32.459484021277966,2,1,false,false,false,1,false,0,false,0,false
[producing],5,36.69447091439258,3,2,false,false,false,1,false,0,false,0,false
[con_ready1],6,44.8829346861577,3,2,true,false,false,1,true,0,false,0,false
[consuming1],7,45.58637373803762,3,1,false,false,false,2,false,0,false,0,false
[con_ready2],8,58.147877458918785,3,1,false,true,false,2,false,0,true,0,false
[consuming2],9,58.38139738224913,3,0,false,false,false,2,false,1,false,0,false
[producing],10,62.77873794693868,4,1,false,false,false,2,false,1,false,0,false
[con_ready2],11,66.90560461808789,4,1,false,true,false,2,false,1,true,0,false
[consuming2],12,69.23751679708005,4,0,false,false,false,2,false,2,false,0,false
[producing],13,80.71690573567685,5,1,false,false,false,2,false,2,false,0,false
[con_ready3],14,84.96941529833984,5,1,false,false,true,2,false,2,false,0,true
[consuming3],15,87.42178147757247,5,0,false,false,false,2,false,2,false,1,false
[producing],16,98.58509573544868,6,1,false,false,false,2,false,2,false,1,false
[producing],17,98.95647907008352,7,2,false,false,false,2,false,2,false,1,false
[con_ready1],18,100.45113396630585,7,2,true,false,false,2,true,2,false,1,false
[consuming1],19,101.27485587094513,7,1,false,false,false,3,false,2,false,1,false
[con_ready3],20,114.69425733311925,7,1,false,false,true,3,false,2,false,1,true
[consuming3],21,114.70028403830455,7,0,false,false,false,3,false,2,false,2,false
[producing],22,119.32994260606183,8,1,false,false,false,3,false,2,false,2,false
[con_ready2],23,134.51967399290166,8,1,false,true,false,3,false,2,true,2,false
[consuming2],24,135.33263235679726,8,0,false,false,false,3,false,3,false,2,false
[producing],25,190.2271490466059,9,1,false,false,false,3,false,3,false,2,false
[con_ready1],26,192.51714992749874,9,1,true,false,false,3,true,3,false,2,false
[consuming1],27,193.27895876635566,9,0,false,false,false,4,false,3,false,2,false
[producing],28,194.70909418020435,10,1,false,false,false,4,false,3,false,2,false
[con_ready2],29,197.8696961400618,10,1,false,true,false,4,false,3,true,2,false
