action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,1.8700116889247056,1,1,false,false,0,false,0,false
[producing],2,1.8771094668436512,2,2,false,false,0,false,0,false
[con_ready2],3,21.837585032016243,2,2,false,true,0,false,0,true
[consuming2],4,22.689318813991566,2,1,false,false,0,false,1,false
[producing],5,25.752127983297452,3,2,false,false,0,false,1,false
[con_ready1],6,39.66212527330538,3,2,true,false,0,true,1,false
[consuming1],7,42.12050570705479,3,1,false,false,1,false,1,false
[producing],8,49.14634135735873,4,2,false,false,1,false,1,false
[producing],9,54.10072614377309,5,3,false,false,1,false,1,false
[producing],10,72.19717810461216,6,4,false,false,1,false,1,false
[con_ready2],11,101.91751140683297,6,4,false,true,1,false,1,true
[consuming2],12,103.83008563482117,6,3,false,false,1,false,2,false
[producing],13,134.9696072267897,7,4,false,false,1,false,2,false
[producing],14,144.55045032107716,8,5,false,false,1,false,2,false
[con_ready2],15,148.1196550494831,8,5,false,true,1,false,2,true
[consuming2],16,148.7777018159403,8,4,false,false,1,false,3,false
[producing],17,170.35924533552043,9,5,false,false,1,false,3,false
[con_ready1],18,173.5257681343044,9,5,true,false,1,true,3,false
[consuming1],19,175.46096619331496,9,4,false,false,2,false,3,false
[con_ready1],20,186.905653187596,9,4,true,false,2,true,3,false
[consuming1],21,187.21057852525843,9,3,false,false,3,false,3,false
[con_ready1],22,187.9909977929939,9,3,true,false,3,true,3,false
[consuming1],23,189.19999020119553,9,2,false,false,4,false,3,false
[con_ready2],24,191.0034599580597,9,2,false,true,4,false,3,true
[consuming2],25,191.5125124042623,9,1,false,false,4,false,4,false
[con_ready1],26,198.5055729719763,9,1,true,false,4,true,4,false
[consuming1],27,199.21259614631973,9,0,false,false,5,false,4,false
[producing],28,232.87650882276574,10,1,false,false,5,false,4,false
[con_ready1],29,241.45437598247145,10,1,true,false,5,true,4,false
[consuming1],30,242.62536748493156,10,0,false,false,6,false,4,false
