action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,75.97155679559245,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready1],2,80.46070286895178,1,0,0,2,false,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],3,80.58412066424282,1,0,1,3,false,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],4,90.18571018497691,1,0,1,3,false,false,true,0,true,0,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],5,93.21997626780285,1,0,1,2,false,false,false,0,true,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],6,93.5546684752319,1,0,2,2,true,false,false,0,true,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[consuming1],7,95.13916363015726,1,0,2,1,false,false,false,1,false,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],8,97.48684276909388,1,0,2,1,false,true,false,1,false,0,true,1,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],9,97.96866780863142,1,0,2,0,false,false,false,1,false,1,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],10,139.30218222883224,1,0,2,0,false,false,false,1,false,1,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready12],11,140.0028742560519,1,0,2,0,false,false,false,1,false,1,false,1,false,1,1,false,true,false,0,false,0,true,0,false
[consuming12],12,141.69023455325504,1,0,2,0,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing],13,230.87631851432997,2,0,2,1,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing],14,243.44865817385494,3,0,2,2,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],15,248.66630067221993,3,1,2,3,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],16,252.53705014771978,3,1,2,3,false,true,false,1,false,1,true,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],17,254.1330689829872,3,1,2,2,false,false,false,1,false,2,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],18,261.05259461950743,3,1,2,2,false,true,false,1,false,2,true,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],19,261.9815021711291,3,1,2,1,false,false,false,1,false,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],20,267.81383419965357,3,2,2,2,false,false,false,1,false,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],21,269.6165878291849,3,3,2,3,false,false,false,1,false,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing3],22,276.9647351045994,3,3,3,3,true,false,false,1,false,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
