,action,step,s_X0,s_X1,s_X2,s_X3,s_X4
0,-,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0
2,[X0_X4_GET_req],2,11,0,0,0,1
3,REST_X4,3,11,0,0,0,2
4,REST_X4,4,11,0,0,0,5
5,[X4_X1_GET_req],5,11,1,0,0,6
6,REST_X1,6,11,2,0,0,6
7,REST_X1,7,11,5,0,0,6
8,[X1_X2_GET_req],8,11,6,1,0,6
9,REST_X2,9,11,6,2,0,6
10,REST_X2,10,11,6,3,0,6
11,[X1_X2_GET_resp_2xx],11,11,3,0,0,6
12,[X4_X1_GET_resp_2xx],12,11,0,0,0,3
13,[X0_X4_GET_resp_2xx],13,0,0,0,0,0
14,REST_X0,14,10,0,0,0,0
15,[X0_X4_GET_req],15,11,0,0,0,1
16,REST_X4,16,11,0,0,0,2
17,REST_X4,17,11,0,0,0,5
18,[X4_X1_GET_req],18,11,1,0,0,6
19,REST_X1,19,11,2,0,0,6
20,REST_X1,20,11,5,0,0,6
21,[X1_X2_GET_req],21,11,6,1,0,6
22,REST_X2,22,11,6,2,0,6
23,REST_X2,23,11,6,4,0,6
24,[X1_X2_GET_resp_5xx],24,11,7,0,0,6
25,[X1_X2_GET_req],25,11,8,1,0,6
26,REST_X2,26,11,8,2,0,6
27,REST_X2,27,11,8,3,0,6
28,[X1_X2_GET_resp_2xx],28,11,3,0,0,6
29,[X4_X1_GET_resp_2xx],29,11,0,0,0,3
30,[X0_X4_GET_resp_2xx],30,0,0,0,0,0
31,REST_X0,31,10,0,0,0,0
32,[X0_X4_GET_req],32,11,0,0,0,1
33,REST_X4,33,11,0,0,0,2
34,REST_X4,34,11,0,0,0,5
35,[X4_X1_GET_req],35,11,1,0,0,6
36,REST_X1,36,11,2,0,0,6
37,REST_X1,37,11,5,0,0,6
38,[X1_X2_GET_req],38,11,6,1,0,6
39,REST_X2,39,11,6,2,0,6
40,REST_X2,40,11,6,3,0,6
41,[X1_X2_GET_resp_2xx],41,11,3,0,0,6
42,[X4_X1_GET_resp_2xx],42,11,0,0,0,3
43,[X0_X4_GET_resp_2xx],43,0,0,0,0,0
44,REST_X0,44,2,0,0,0,0
45,[X0_X3_GET_req],45,3,0,0,1,0
46,REST_X3,46,3,0,0,2,0
47,REST_X3,47,3,0,0,3,0
48,[X0_X3_GET_resp_2xx],48,0,0,0,0,0
49,REST_X0,49,2,0,0,0,0
50,[X0_X3_GET_req],50,3,0,0,1,0
51,REST_X3,51,3,0,0,2,0
52,REST_X3,52,3,0,0,3,0
53,[X0_X3_GET_resp_2xx],53,0,0,0,0,0
54,REST_X0,54,10,0,0,0,0
55,[X0_X4_GET_req],55,11,0,0,0,1
56,REST_X4,56,11,0,0,0,2
57,REST_X4,57,11,0,0,0,5
58,[X4_X1_GET_req],58,11,1,0,0,6
59,REST_X1,59,11,2,0,0,6
60,REST_X1,60,11,5,0,0,6
61,[X1_X2_GET_req],61,11,6,1,0,6
62,REST_X2,62,11,6,2,0,6
63,REST_X2,63,11,6,3,0,6
64,[X1_X2_GET_resp_2xx],64,11,3,0,0,6
65,[X4_X1_GET_resp_2xx],65,11,0,0,0,3
66,[X0_X4_GET_resp_2xx],66,0,0,0,0,0
67,REST_X0,67,10,0,0,0,0
68,[X0_X4_GET_req],68,11,0,0,0,1
69,REST_X4,69,11,0,0,0,2
70,REST_X4,70,11,0,0,0,5
71,[X4_X1_GET_req],71,11,1,0,0,6
72,REST_X1,72,11,2,0,0,6
73,REST_X1,73,11,5,0,0,6
74,[X1_X2_GET_req],74,11,6,1,0,6
75,REST_X2,75,11,6,2,0,6
76,REST_X2,76,11,6,3,0,6
77,[X1_X2_GET_resp_2xx],77,11,3,0,0,6
78,[X4_X1_GET_resp_2xx],78,11,0,0,0,3
79,[X0_X4_GET_resp_2xx],79,0,0,0,0,0
80,REST_X0,80,2,0,0,0,0
81,[X0_X3_GET_req],81,3,0,0,1,0
82,REST_X3,82,3,0,0,2,0
83,REST_X3,83,3,0,0,3,0
84,[X0_X3_GET_resp_2xx],84,0,0,0,0,0
85,REST_X0,85,10,0,0,0,0
86,[X0_X4_GET_req],86,11,0,0,0,1
87,REST_X4,87,11,0,0,0,2
88,REST_X4,88,11,0,0,0,5
89,[X4_X1_GET_req],89,11,1,0,0,6
90,REST_X1,90,11,2,0,0,6
91,REST_X1,91,11,5,0,0,6
92,[X1_X2_GET_req],92,11,6,1,0,6
93,REST_X2,93,11,6,2,0,6
94,REST_X2,94,11,6,3,0,6
95,[X1_X2_GET_resp_2xx],95,11,3,0,0,6
96,[X4_X1_GET_resp_2xx],96,11,0,0,0,3
97,[X0_X4_GET_resp_2xx],97,0,0,0,0,0
98,REST_X0,98,2,0,0,0,0
99,[X0_X3_GET_req],99,3,0,0,1,0
100,REST_X3,100,3,0,0,2,0
101,REST_X3,101,3,0,0,3,0
102,[X0_X3_GET_resp_2xx],102,0,0,0,0,0
103,REST_X0,103,10,0,0,0,0
104,[X0_X4_GET_req],104,11,0,0,0,1
105,REST_X4,105,11,0,0,0,2
106,REST_X4,106,11,0,0,0,5
107,[X4_X1_GET_req],107,11,1,0,0,6
108,REST_X1,108,11,2,0,0,6
109,REST_X1,109,11,5,0,0,6
110,[X1_X2_GET_req],110,11,6,1,0,6
111,REST_X2,111,11,6,2,0,6
112,REST_X2,112,11,6,3,0,6
113,[X1_X2_GET_resp_2xx],113,11,3,0,0,6
114,[X4_X1_GET_resp_2xx],114,11,0,0,0,3
115,[X0_X4_GET_resp_2xx],115,0,0,0,0,0
116,REST_X0,116,10,0,0,0,0
117,[X0_X4_GET_req],117,11,0,0,0,1
118,REST_X4,118,11,0,0,0,2
119,REST_X4,119,11,0,0,0,5
120,[X4_X1_GET_req],120,11,1,0,0,6
121,REST_X1,121,11,2,0,0,6
122,REST_X1,122,11,5,0,0,6
123,[X1_X2_GET_req],123,11,6,1,0,6
124,REST_X2,124,11,6,2,0,6
125,REST_X2,125,11,6,3,0,6
126,[X1_X2_GET_resp_2xx],126,11,3,0,0,6
127,[X4_X1_GET_resp_2xx],127,11,0,0,0,3
128,[X0_X4_GET_resp_2xx],128,0,0,0,0,0
129,REST_X0,129,2,0,0,0,0
130,[X0_X3_GET_req],130,3,0,0,1,0
131,REST_X3,131,3,0,0,2,0
132,REST_X3,132,3,0,0,3,0
133,[X0_X3_GET_resp_2xx],133,0,0,0,0,0
134,REST_X0,134,10,0,0,0,0
135,[X0_X4_GET_req],135,11,0,0,0,1
136,REST_X4,136,11,0,0,0,2
137,REST_X4,137,11,0,0,0,5
138,[X4_X1_GET_req],138,11,1,0,0,6
139,REST_X1,139,11,2,0,0,6
140,REST_X1,140,11,5,0,0,6
141,[X1_X2_GET_req],141,11,6,1,0,6
142,REST_X2,142,11,6,2,0,6
143,REST_X2,143,11,6,3,0,6
144,[X1_X2_GET_resp_2xx],144,11,3,0,0,6
145,[X4_X1_GET_resp_2xx],145,11,0,0,0,3
146,[X0_X4_GET_resp_2xx],146,0,0,0,0,0
147,REST_X0,147,10,0,0,0,0
148,[X0_X4_GET_req],148,11,0,0,0,1
149,REST_X4,149,11,0,0,0,2
150,REST_X4,150,11,0,0,0,5
151,[X4_X1_GET_req],151,11,1,0,0,6
152,REST_X1,152,11,2,0,0,6
153,REST_X1,153,11,5,0,0,6
154,[X1_X2_GET_req],154,11,6,1,0,6
155,REST_X2,155,11,6,2,0,6
156,REST_X2,156,11,6,3,0,6
157,[X1_X2_GET_resp_2xx],157,11,3,0,0,6
158,[X4_X1_GET_resp_2xx],158,11,0,0,0,3
159,[X0_X4_GET_resp_2xx],159,0,0,0,0,0
160,REST_X0,160,10,0,0,0,0
161,[X0_X4_GET_req],161,11,0,0,0,1
162,REST_X4,162,11,0,0,0,2
163,REST_X4,163,11,0,0,0,5
164,[X4_X1_GET_req],164,11,1,0,0,6
165,REST_X1,165,11,2,0,0,6
166,REST_X1,166,11,5,0,0,6
167,[X1_X2_GET_req],167,11,6,1,0,6
168,REST_X2,168,11,6,2,0,6
169,REST_X2,169,11,6,3,0,6
170,[X1_X2_GET_resp_2xx],170,11,3,0,0,6
171,[X4_X1_GET_resp_2xx],171,11,0,0,0,3
172,[X0_X4_GET_resp_2xx],172,0,0,0,0,0
173,REST_X0,173,10,0,0,0,0
174,[X0_X4_GET_req],174,11,0,0,0,1
175,REST_X4,175,11,0,0,0,2
176,REST_X4,176,11,0,0,0,5
177,[X4_X1_GET_req],177,11,1,0,0,6
178,REST_X1,178,11,2,0,0,6
179,REST_X1,179,11,5,0,0,6
180,[X1_X2_GET_req],180,11,6,1,0,6
181,REST_X2,181,11,6,2,0,6
182,REST_X2,182,11,6,3,0,6
183,[X1_X2_GET_resp_2xx],183,11,3,0,0,6
184,[X4_X1_GET_resp_2xx],184,11,0,0,0,3
185,[X0_X4_GET_resp_2xx],185,0,0,0,0,0
186,REST_X0,186,2,0,0,0,0
187,[X0_X3_GET_req],187,3,0,0,1,0
188,REST_X3,188,3,0,0,2,0
189,REST_X3,189,3,0,0,4,0
190,[X0_X3_GET_resp_5xx],190,4,0,0,0,0
191,[X0_X3_GET_req],191,5,0,0,1,0
192,REST_X3,192,5,0,0,2,0
193,REST_X3,193,5,0,0,3,0
194,[X0_X3_GET_resp_2xx],194,0,0,0,0,0
195,REST_X0,195,10,0,0,0,0
196,[X0_X4_GET_req],196,11,0,0,0,1
197,REST_X4,197,11,0,0,0,2
198,REST_X4,198,11,0,0,0,5
199,[X4_X1_GET_req],199,11,1,0,0,6
200,REST_X1,200,11,2,0,0,6
201,REST_X1,201,11,5,0,0,6
202,[X1_X2_GET_req],202,11,6,1,0,6
203,REST_X2,203,11,6,2,0,6
204,REST_X2,204,11,6,3,0,6
205,[X1_X2_GET_resp_2xx],205,11,3,0,0,6
206,[X4_X1_GET_resp_2xx],206,11,0,0,0,3
207,[X0_X4_GET_resp_2xx],207,0,0,0,0,0
208,REST_X0,208,2,0,0,0,0
209,[X0_X3_GET_req],209,3,0,0,1,0
210,REST_X3,210,3,0,0,2,0
211,REST_X3,211,3,0,0,3,0
212,[X0_X3_GET_resp_2xx],212,0,0,0,0,0
213,REST_X0,213,2,0,0,0,0
214,[X0_X3_GET_req],214,3,0,0,1,0
215,REST_X3,215,3,0,0,2,0
216,REST_X3,216,3,0,0,3,0
217,[X0_X3_GET_resp_2xx],217,0,0,0,0,0
218,REST_X0,218,10,0,0,0,0
219,[X0_X4_GET_req],219,11,0,0,0,1
220,REST_X4,220,11,0,0,0,2
221,REST_X4,221,11,0,0,0,5
222,[X4_X1_GET_req],222,11,1,0,0,6
223,REST_X1,223,11,2,0,0,6
224,REST_X1,224,11,5,0,0,6
225,[X1_X2_GET_req],225,11,6,1,0,6
226,REST_X2,226,11,6,2,0,6
227,REST_X2,227,11,6,3,0,6
228,[X1_X2_GET_resp_2xx],228,11,3,0,0,6
229,[X4_X1_GET_resp_2xx],229,11,0,0,0,3
230,[X0_X4_GET_resp_2xx],230,0,0,0,0,0
231,REST_X0,231,10,0,0,0,0
232,[X0_X4_GET_req],232,11,0,0,0,1
233,REST_X4,233,11,0,0,0,2
234,REST_X4,234,11,0,0,0,5
235,[X4_X1_GET_req],235,11,1,0,0,6
236,REST_X1,236,11,2,0,0,6
237,REST_X1,237,11,5,0,0,6
238,[X1_X2_GET_req],238,11,6,1,0,6
239,REST_X2,239,11,6,2,0,6
240,REST_X2,240,11,6,3,0,6
241,[X1_X2_GET_resp_2xx],241,11,3,0,0,6
242,[X4_X1_GET_resp_2xx],242,11,0,0,0,3
243,[X0_X4_GET_resp_2xx],243,0,0,0,0,0
244,REST_X0,244,10,0,0,0,0
245,[X0_X4_GET_req],245,11,0,0,0,1
246,REST_X4,246,11,0,0,0,2
247,REST_X4,247,11,0,0,0,5
248,[X4_X1_GET_req],248,11,1,0,0,6
249,REST_X1,249,11,2,0,0,6
250,REST_X1,250,11,5,0,0,6
