action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing2],1,26.34364332296972,0,1,1,false,false,0,false,0,false
[producing],2,30.5095543340501,1,1,2,false,false,0,false,0,false
[con_ready1],3,30.54679730580128,1,1,3,false,false,0,true,0,false
[con_ready2],4,42.250976407097454,1,1,3,false,true,0,true,0,true
[consuming2],5,43.70154410868444,1,1,2,false,false,0,true,1,false
[producing],6,53.14053490106235,2,1,3,false,false,0,true,1,false
[producing2],7,61.59208610800914,2,2,3,true,false,0,true,1,false
[consuming1],8,62.16509982802059,2,2,2,false,false,1,false,1,false
[producing2],9,67.73185866828102,2,3,2,true,false,1,false,1,false
