action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing],1,8.606672569064076,1,0,1,false,false,0,false,0,false
[con_ready2],2,13.139463745990348,1,0,1,false,true,0,false,0,true
[consuming2],3,13.958868452594434,1,0,0,false,false,0,false,1,false
[producing],4,34.13998191924511,2,0,1,false,false,0,false,1,false
[producing],5,40.66725084826393,3,0,2,false,false,0,false,1,false
[con_ready1],6,45.856391084936405,3,0,3,false,false,0,true,1,false
[producing],7,62.14314632331451,4,0,4,false,false,0,true,1,false
[con_ready2],8,81.90294790072585,4,0,4,false,true,0,true,1,true
[consuming2],9,82.1556599092824,4,0,3,false,false,0,true,2,false
[con_ready2],10,82.33795145547792,4,0,3,false,true,0,true,2,true
[consuming2],11,83.59426854122611,4,0,2,false,false,0,true,3,false
[producing],12,85.41623477012011,5,0,3,false,false,0,true,3,false
[producing2],13,92.00695505341402,5,1,3,true,false,0,true,3,false
[consuming1],14,92.69292721386991,5,1,2,false,false,1,false,3,false
[con_ready1],15,98.13623431104367,5,1,3,false,false,1,true,3,false
[con_ready2],16,98.26029049798234,5,1,3,false,true,1,true,3,true
[consuming2],17,99.66851368274091,5,1,2,false,false,1,true,4,false
[producing],18,107.76494966669424,6,1,3,false,false,1,true,4,false
[producing2],19,129.79668784470402,6,2,3,true,false,1,true,4,false
[consuming1],20,130.14558261575,6,2,2,false,false,2,false,4,false
[con_ready2],21,130.8691500503807,6,2,2,false,true,2,false,4,true
[consuming2],22,131.42933897493464,6,2,1,false,false,2,false,5,false
[producing2],23,150.37800679290606,6,3,1,true,false,2,false,5,false
