action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,8.047592842408061,1,0,0,1,false,false,false,0,false,0,false,0,false
[con_ready1],2,11.814113645486465,1,0,0,2,false,false,false,0,true,0,false,0,false
[con_ready3],3,12.631337273817044,1,0,0,2,false,false,true,0,true,0,false,0,true
[consuming3],4,14.771245598161167,1,0,0,1,false,false,false,0,true,0,false,1,false
[producing2],5,22.10401673686384,1,1,0,2,false,false,false,0,true,0,false,1,false
[producing2],6,29.62464447383699,1,2,0,3,false,false,false,0,true,0,false,1,false
[producing3],7,34.737795389995696,1,2,1,4,false,false,false,0,true,0,false,1,false
[producing3],8,38.82498243826868,1,2,2,5,false,false,false,0,true,0,false,1,false
[con_ready2],9,43.58585025292992,1,2,2,5,false,true,false,0,true,0,true,1,false
[consuming2],10,44.35971596053598,1,2,2,4,false,false,false,0,true,1,false,1,false
[producing3],11,56.77966823882276,1,2,3,5,false,false,false,0,true,1,false,1,false
[con_ready2],12,70.59213858547999,1,2,3,5,false,true,false,0,true,1,true,1,false
[consuming2],13,72.42326812757938,1,2,3,4,false,false,false,0,true,2,false,1,false
[producing3],14,78.01710458436173,1,2,4,4,true,false,false,0,true,2,false,1,false
[consuming1],15,78.04650694320749,1,2,4,3,false,false,false,1,false,2,false,1,false
[producing3],16,79.2529490595203,1,2,5,3,true,false,false,1,false,2,false,1,false
