action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,40.7514877307729,1,0,0,1,false,false,false,0,false,0,false,0,false
[producing],2,43.38570468328446,2,0,0,2,false,false,false,0,false,0,false,0,false
[con_ready2],3,44.7588458288471,2,0,0,2,false,true,false,0,false,0,true,0,false
[consuming2],4,45.18693750296211,2,0,0,1,false,false,false,0,false,1,false,0,false
[con_ready3],5,50.52864963857241,2,0,0,1,false,false,true,0,false,1,false,0,true
[consuming3],6,51.32725222305672,2,0,0,0,false,false,false,0,false,1,false,1,false
[producing],7,68.35424966824864,3,0,0,1,false,false,false,0,false,1,false,1,false
[con_ready1],8,69.38837272947528,3,0,0,2,false,false,false,0,true,1,false,1,false
[producing3],9,72.7048244820728,3,0,1,3,false,false,false,0,true,1,false,1,false
[producing2],10,79.40255835868079,3,1,1,4,false,false,false,0,true,1,false,1,false
[producing],11,89.18591947334222,4,1,1,5,false,false,false,0,true,1,false,1,false
[con_ready2],12,126.89090703096406,4,1,1,5,false,true,false,0,true,1,true,1,false
[consuming2],13,128.351267801751,4,1,1,4,false,false,false,0,true,2,false,1,false
[producing3],14,131.98327156230945,4,1,2,4,true,false,false,0,true,2,false,1,false
[consuming1],15,132.86394425481245,4,1,2,3,false,false,false,1,false,2,false,1,false
[producing2],16,133.16308793613806,4,2,2,4,false,false,false,1,false,2,false,1,false
[producing2],17,142.50858653148288,4,3,2,5,false,false,false,1,false,2,false,1,false
[con_ready2],18,169.5585860267579,4,3,2,5,false,true,false,1,false,2,true,1,false
[consuming2],19,171.18275700833217,4,3,2,4,false,false,false,1,false,3,false,1,false
[producing2],20,178.2599894141475,4,4,2,5,false,false,false,1,false,3,false,1,false
[con_ready1],21,188.64410502730118,4,4,2,5,true,false,false,1,true,3,false,1,false
[consuming1],22,188.93480264507954,4,4,2,4,false,false,false,2,false,3,false,1,false
[con_ready2],23,189.00621222870106,4,4,2,4,false,true,false,2,false,3,true,1,false
[consuming2],24,189.1208803260507,4,4,2,3,false,false,false,2,false,4,false,1,false
[con_ready3],25,190.5278719979081,4,4,2,3,false,false,true,2,false,4,false,1,true
[consuming3],26,190.70215969810212,4,4,2,2,false,false,false,2,false,4,false,2,false
[producing3],27,192.57812383310514,4,4,3,2,true,false,false,2,false,4,false,2,false
