action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,38.647177510994226,1,0,0,1,false,false,false,0,false,0,false,0,false
[producing2],2,38.96894102638152,1,1,0,2,false,false,false,0,false,0,false,0,false
[producing],3,39.717457524237176,2,1,0,3,false,false,false,0,false,0,false,0,false
[producing3],4,42.65237458087967,2,1,1,4,false,false,false,0,false,0,false,0,false
[con_ready1],5,43.58784147920487,2,1,1,5,false,false,false,0,true,0,false,0,false
[con_ready2],6,61.994277949458876,2,1,1,5,false,true,false,0,true,0,true,0,false
[consuming2],7,64.04012958353093,2,1,1,4,false,false,false,0,true,1,false,0,false
[producing2],8,71.33404723574372,2,2,1,5,false,false,false,0,true,1,false,0,false
[con_ready2],9,92.72098615221744,2,2,1,5,false,true,false,0,true,1,true,0,false
[consuming2],10,94.31957427196318,2,2,1,4,false,false,false,0,true,2,false,0,false
[con_ready2],11,99.93091782358746,2,2,1,4,false,true,false,0,true,2,true,0,false
[consuming2],12,101.84490359577143,2,2,1,3,false,false,false,0,true,3,false,0,false
[producing],13,104.250912441056,3,2,1,4,false,false,false,0,true,3,false,0,false
[con_ready3],14,106.00515827294298,3,2,1,4,false,false,true,0,true,3,false,0,true
[consuming3],15,107.38366225157995,3,2,1,3,false,false,false,0,true,3,false,1,false
[producing3],16,108.28052552273952,3,2,2,4,false,false,false,0,true,3,false,1,false
[producing2],17,112.33091778571946,3,3,2,5,false,false,false,0,true,3,false,1,false
[con_ready3],18,131.6639098491379,3,3,2,5,false,false,true,0,true,3,false,1,true
[consuming3],19,133.38095087206074,3,3,2,4,false,false,false,0,true,3,false,2,false
[producing3],20,140.41064673220168,3,3,3,4,true,false,false,0,true,3,false,2,false
[consuming1],21,141.51619959027312,3,3,3,3,false,false,false,1,false,3,false,2,false
[producing3],22,144.011841682071,3,3,4,3,true,false,false,1,false,3,false,2,false
