action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,12.076025873733146,1,1,false,0,false
[producing],2,12.66074641436098,2,2,false,0,false
[producing],3,16.190357306928203,3,3,false,0,false
[con_ready],4,22.983867373958855,3,3,true,0,true
[consuming],5,24.890048861195268,3,2,false,1,false
[con_ready],6,27.209502949483014,3,2,true,1,true
[consuming],7,27.400462976990344,3,1,false,2,false
[con_ready],8,52.24927829082327,3,1,true,2,true
[consuming],9,54.554106341901715,3,0,false,3,false
[producing],10,92.23949533205727,4,1,false,3,false
[con_ready],11,98.4208531573405,4,1,true,3,true
[consuming],12,98.44276817321182,4,0,false,4,false
[producing],13,103.41046982647988,5,1,false,4,false
[con_ready],14,107.27100721189939,5,1,true,4,true
[consuming],15,107.28816781651588,5,0,false,5,false
[producing],16,110.4187909543227,6,1,false,5,false
[con_ready],17,115.88908455101932,6,1,true,5,true
[consuming],18,115.99753531302353,6,0,false,6,false
[producing],19,139.0670237366661,7,1,false,6,false
[con_ready],20,139.75450323893867,7,1,true,6,true
[consuming],21,141.52667292212294,7,0,false,7,false
[producing],22,156.69351667532476,8,1,false,7,false
[con_ready],23,158.99912341168826,8,1,true,7,true
[consuming],24,159.70760729831557,8,0,false,8,false
[producing],25,204.92245903322868,9,1,false,8,false
[producing],26,209.45438228684154,10,2,false,8,false
[con_ready],27,212.4596156487415,10,2,true,8,true
[consuming],28,214.872838180421,10,1,false,9,false
[con_ready],29,221.0668961658757,10,1,true,9,true
[consuming],30,222.27495963200516,10,0,false,10,false
