,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6
0,-,0,0,0,0,0,0,0,0
1,REST_X0,1,2,0,0,0,0,0,0
2,[X0_X3_GET_req],2,3,0,0,1,0,0,0
3,REST_X3,3,3,0,0,2,0,0,0
4,REST_X3,4,3,0,0,5,0,0,0
5,[X3_X4_GET_req],5,3,0,0,6,1,0,0
6,REST_X4,6,3,0,0,6,2,0,0
7,REST_X4,7,3,0,0,6,5,0,0
8,[X4_X2_GET_req],8,3,0,1,6,6,0,0
9,REST_X2,9,3,0,2,6,6,0,0
10,REST_X2,10,3,0,5,6,6,0,0
11,[X2_X5_GET_req],11,3,0,6,6,6,1,0
12,REST_X5,12,3,0,6,6,6,2,0
13,REST_X5,13,3,0,6,6,6,3,0
14,[X2_X5_GET_resp_2xx],14,3,0,3,6,6,0,0
15,[X4_X2_GET_resp_2xx],15,3,0,0,6,3,0,0
16,[X3_X4_GET_resp_2xx],16,3,0,0,3,0,0,0
17,[X0_X3_GET_resp_2xx],17,0,0,0,0,0,0,0
18,REST_X0,18,2,0,0,0,0,0,0
19,[X0_X3_GET_req],19,3,0,0,1,0,0,0
20,REST_X3,20,3,0,0,2,0,0,0
21,REST_X3,21,3,0,0,5,0,0,0
22,[X3_X4_GET_req],22,3,0,0,6,1,0,0
23,REST_X4,23,3,0,0,6,2,0,0
24,REST_X4,24,3,0,0,6,5,0,0
25,[X4_X2_GET_req],25,3,0,1,6,6,0,0
26,REST_X2,26,3,0,2,6,6,0,0
27,REST_X2,27,3,0,5,6,6,0,0
28,[X2_X5_GET_req],28,3,0,6,6,6,1,0
29,REST_X5,29,3,0,6,6,6,2,0
30,REST_X5,30,3,0,6,6,6,3,0
31,[X2_X5_GET_resp_2xx],31,3,0,3,6,6,0,0
32,[X4_X2_GET_resp_2xx],32,3,0,0,6,3,0,0
33,[X3_X4_GET_resp_2xx],33,3,0,0,3,0,0,0
34,[X0_X3_GET_resp_2xx],34,0,0,0,0,0,0,0
35,REST_X0,35,2,0,0,0,0,0,0
36,[X0_X3_GET_req],36,3,0,0,1,0,0,0
37,REST_X3,37,3,0,0,2,0,0,0
38,REST_X3,38,3,0,0,5,0,0,0
39,[X3_X4_GET_req],39,3,0,0,6,1,0,0
40,REST_X4,40,3,0,0,6,2,0,0
41,REST_X4,41,3,0,0,6,5,0,0
42,[X4_X2_GET_req],42,3,0,1,6,6,0,0
43,REST_X2,43,3,0,2,6,6,0,0
44,REST_X2,44,3,0,5,6,6,0,0
45,[X2_X5_GET_req],45,3,0,6,6,6,1,0
46,REST_X5,46,3,0,6,6,6,2,0
47,REST_X5,47,3,0,6,6,6,3,0
48,[X2_X5_GET_resp_2xx],48,3,0,3,6,6,0,0
49,[X4_X2_GET_resp_2xx],49,3,0,0,6,3,0,0
50,[X3_X4_GET_resp_2xx],50,3,0,0,3,0,0,0
51,[X0_X3_GET_resp_2xx],51,0,0,0,0,0,0,0
52,REST_X0,52,2,0,0,0,0,0,0
53,[X0_X3_GET_req],53,3,0,0,1,0,0,0
54,REST_X3,54,3,0,0,2,0,0,0
55,REST_X3,55,3,0,0,5,0,0,0
56,[X3_X4_GET_req],56,3,0,0,6,1,0,0
57,REST_X4,57,3,0,0,6,2,0,0
58,REST_X4,58,3,0,0,6,5,0,0
59,[X4_X2_GET_req],59,3,0,1,6,6,0,0
60,REST_X2,60,3,0,2,6,6,0,0
61,REST_X2,61,3,0,5,6,6,0,0
62,[X2_X5_GET_req],62,3,0,6,6,6,1,0
63,REST_X5,63,3,0,6,6,6,2,0
64,REST_X5,64,3,0,6,6,6,3,0
65,[X2_X5_GET_resp_2xx],65,3,0,3,6,6,0,0
66,[X4_X2_GET_resp_2xx],66,3,0,0,6,3,0,0
67,[X3_X4_GET_resp_2xx],67,3,0,0,3,0,0,0
68,[X0_X3_GET_resp_2xx],68,0,0,0,0,0,0,0
69,REST_X0,69,2,0,0,0,0,0,0
70,[X0_X3_GET_req],70,3,0,0,1,0,0,0
71,REST_X3,71,3,0,0,2,0,0,0
72,REST_X3,72,3,0,0,5,0,0,0
73,[X3_X4_GET_req],73,3,0,0,6,1,0,0
74,REST_X4,74,3,0,0,6,2,0,0
75,REST_X4,75,3,0,0,6,5,0,0
76,[X4_X2_GET_req],76,3,0,1,6,6,0,0
77,REST_X2,77,3,0,2,6,6,0,0
78,REST_X2,78,3,0,5,6,6,0,0
79,[X2_X5_GET_req],79,3,0,6,6,6,1,0
80,REST_X5,80,3,0,6,6,6,2,0
81,REST_X5,81,3,0,6,6,6,3,0
82,[X2_X5_GET_resp_2xx],82,3,0,3,6,6,0,0
83,[X4_X2_GET_resp_2xx],83,3,0,0,6,3,0,0
84,[X3_X4_GET_resp_2xx],84,3,0,0,3,0,0,0
85,[X0_X3_GET_resp_2xx],85,0,0,0,0,0,0,0
86,REST_X0,86,2,0,0,0,0,0,0
87,[X0_X3_GET_req],87,3,0,0,1,0,0,0
88,REST_X3,88,3,0,0,2,0,0,0
89,REST_X3,89,3,0,0,5,0,0,0
90,[X3_X4_GET_req],90,3,0,0,6,1,0,0
91,REST_X4,91,3,0,0,6,2,0,0
92,REST_X4,92,3,0,0,6,5,0,0
93,[X4_X2_GET_req],93,3,0,1,6,6,0,0
94,REST_X2,94,3,0,2,6,6,0,0
95,REST_X2,95,3,0,5,6,6,0,0
96,[X2_X5_GET_req],96,3,0,6,6,6,1,0
97,REST_X5,97,3,0,6,6,6,2,0
98,REST_X5,98,3,0,6,6,6,3,0
99,[X2_X5_GET_resp_2xx],99,3,0,3,6,6,0,0
100,[X4_X2_GET_resp_2xx],100,3,0,0,6,3,0,0
101,[X3_X4_GET_resp_2xx],101,3,0,0,3,0,0,0
102,[X0_X3_GET_resp_2xx],102,0,0,0,0,0,0,0
103,REST_X0,103,2,0,0,0,0,0,0
104,[X0_X3_GET_req],104,3,0,0,1,0,0,0
105,REST_X3,105,3,0,0,2,0,0,0
106,REST_X3,106,3,0,0,5,0,0,0
107,[X3_X4_GET_req],107,3,0,0,6,1,0,0
108,REST_X4,108,3,0,0,6,2,0,0
109,REST_X4,109,3,0,0,6,5,0,0
110,[X4_X2_GET_req],110,3,0,1,6,6,0,0
111,REST_X2,111,3,0,2,6,6,0,0
112,REST_X2,112,3,0,11,6,6,0,0
113,[X2_X1_GET_req],113,3,1,12,6,6,0,0
114,REST_X1,114,3,2,12,6,6,0,0
115,REST_X1,115,3,5,12,6,6,0,0
116,[X1_X6_GET_req],116,3,6,12,6,6,0,1
117,REST_X6,117,3,6,12,6,6,0,2
118,REST_X6,118,3,6,12,6,6,0,3
119,[X1_X6_GET_resp_2xx],119,3,3,12,6,6,0,0
120,[X2_X1_GET_resp_2xx],120,3,0,3,6,6,0,0
121,[X4_X2_GET_resp_2xx],121,3,0,0,6,3,0,0
122,[X3_X4_GET_resp_2xx],122,3,0,0,3,0,0,0
123,[X0_X3_GET_resp_2xx],123,0,0,0,0,0,0,0
124,REST_X0,124,2,0,0,0,0,0,0
125,[X0_X3_GET_req],125,3,0,0,1,0,0,0
126,REST_X3,126,3,0,0,2,0,0,0
127,REST_X3,127,3,0,0,5,0,0,0
128,[X3_X4_GET_req],128,3,0,0,6,1,0,0
129,REST_X4,129,3,0,0,6,2,0,0
130,REST_X4,130,3,0,0,6,5,0,0
