action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,45.31198447328091,1,1,false,false,0,false,0,false
[con_ready1],2,64.92033292005796,1,1,true,false,0,true,0,false
[consuming1],3,65.76803605765042,1,0,false,false,1,false,0,false
[producing],4,67.2584528178514,2,1,false,false,1,false,0,false
[con_ready1],5,71.53615957637862,2,1,true,false,1,true,0,false
[consuming1],6,71.80083908823775,2,0,false,false,2,false,0,false
[producing],7,108.49887839054898,3,1,false,false,2,false,0,false
[con_ready1],8,108.71423039028312,3,1,true,false,2,true,0,false
[consuming1],9,109.25201975425706,3,0,false,false,3,false,0,false
[producing],10,126.47883749032835,4,1,false,false,3,false,0,false
[con_ready1],11,154.40763925591673,4,1,true,false,3,true,0,false
[consuming1],12,154.567406529103,4,0,false,false,4,false,0,false
[producing],13,166.43320210632407,5,1,false,false,4,false,0,false
[con_ready2],14,179.88663360251417,5,1,false,true,4,false,0,true
[consuming2],15,179.9283338606319,5,0,false,false,4,false,1,false
[producing],16,201.03890211062892,6,1,false,false,4,false,1,false
[con_ready1],17,212.34225734852126,6,1,true,false,4,true,1,false
[consuming1],18,212.40803216258942,6,0,false,false,5,false,1,false
[producing],19,219.3028710119254,7,1,false,false,5,false,1,false
[con_ready1],20,223.8657763270622,7,1,true,false,5,true,1,false
[consuming1],21,224.6343618224648,7,0,false,false,6,false,1,false
[producing],22,237.42232757301002,8,1,false,false,6,false,1,false
[producing],23,247.539442993706,9,2,false,false,6,false,1,false
[con_ready1],24,257.51021114482086,9,2,true,false,6,true,1,false
[consuming1],25,259.65628368453724,9,1,false,false,7,false,1,false
[producing],26,284.85680514414776,10,2,false,false,7,false,1,false
[con_ready1],27,299.2822279742957,10,2,true,false,7,true,1,false
[consuming1],28,300.7822562127736,10,1,false,false,8,false,1,false
[con_ready2],29,306.3150618399163,10,1,false,true,8,false,1,true
[consuming2],30,309.39722745727806,10,0,false,false,8,false,2,false
