action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,35.9770561012213,1,1,false,0,false
[con_ready],2,42.215863594164475,1,2,false,0,true
[producing],3,73.52724482239482,2,2,true,0,true
[consuming],4,75.11311095251381,2,1,false,1,false
[con_ready],5,77.17095526473905,2,2,false,1,true
[producing],6,81.80569743318812,3,2,true,1,true
[consuming],7,84.77766475777653,3,1,false,2,false
[con_ready],8,85.13412620323082,3,2,false,2,true
[producing],9,110.11415791473155,4,2,true,2,true
[consuming],10,111.94607733908295,4,1,false,3,false
[con_ready],11,112.91822631930823,4,2,false,3,true
[producing],12,120.18385070202704,5,2,true,3,true
[consuming],13,120.84470764784703,5,1,false,4,false
[con_ready],14,124.24077719471882,5,2,false,4,true
[producing],15,185.63925379068792,6,2,true,4,true
[consuming],16,185.79420097713526,6,1,false,5,false
[con_ready],17,213.2994074852762,6,2,false,5,true
[producing],18,231.8361178481871,7,2,true,5,true
[consuming],19,233.40414460621508,7,1,false,6,false
[con_ready],20,235.91885577112265,7,2,false,6,true
[producing],21,248.27103559157433,8,2,true,6,true
[consuming],22,249.2963633731177,8,1,false,7,false
[con_ready],23,252.48579320808923,8,2,false,7,true
[producing],24,268.53535058067143,9,2,true,7,true
[consuming],25,269.34632539839663,9,1,false,8,false
[con_ready],26,271.3261493148339,9,2,false,8,true
[producing],27,276.8420872671613,10,2,true,8,true
[consuming],28,277.1260542674276,10,1,false,9,false
[con_ready],29,308.36946299469804,10,2,false,9,true
