action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,7.977398855206337,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],2,9.96854678325315,2,0,0,2,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready1],3,13.203851747445759,2,0,0,3,false,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing2],4,15.016708695137957,2,1,0,4,false,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],5,28.078996671993742,2,1,0,4,false,true,false,0,true,0,true,0,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],6,29.3264520171053,2,1,0,3,false,false,false,0,true,1,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing2],7,41.736726545052065,2,2,0,4,false,false,false,0,true,1,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],8,42.44052290997958,2,2,0,4,false,false,true,0,true,1,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],9,42.47153444875411,2,2,0,3,false,false,false,0,true,1,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],10,44.71276040665832,2,2,1,4,false,false,false,0,true,1,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],11,45.11080609947554,2,2,1,4,false,false,true,0,true,1,false,1,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],12,46.50262450480842,2,2,1,3,false,false,false,0,true,1,false,2,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],13,48.16274303319711,2,2,2,4,false,false,false,0,true,1,false,2,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],14,57.00139638478095,2,2,2,4,false,true,false,0,true,1,true,2,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],15,58.3371340399034,2,2,2,4,false,true,false,0,true,1,true,2,false,1,1,false,false,false,0,false,0,false,0,false
[consuming2],16,58.551329923442815,2,2,2,3,false,false,false,0,true,2,false,2,false,1,1,false,false,false,0,false,0,false,0,false
[producing2],17,58.69691284148946,2,3,2,4,false,false,false,0,true,2,false,2,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready3],18,69.2062971149061,2,3,2,4,false,false,true,0,true,2,false,2,true,1,1,false,false,false,0,false,0,false,0,false
[consuming3],19,69.34235288650994,2,3,2,3,false,false,false,0,true,2,false,3,false,1,1,false,false,false,0,false,0,false,0,false
[producing2],20,70.2167916275859,2,4,2,4,false,false,false,0,true,2,false,3,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready13],21,73.49148099393129,2,4,2,4,false,false,false,0,true,2,false,3,false,1,1,false,false,true,0,false,0,false,0,true
[consuming13],22,73.83907314174706,2,4,2,4,false,false,false,0,true,2,false,3,false,1,0,false,false,false,0,false,0,false,1,false
[con_ready2],23,75.40626063838981,2,4,2,4,false,true,false,0,true,2,true,3,false,1,0,false,false,false,0,false,0,false,1,false
[consuming2],24,76.24344109464565,2,4,2,3,false,false,false,0,true,3,false,3,false,1,0,false,false,false,0,false,0,false,1,false
[con_ready3],25,80.11515957610044,2,4,2,3,false,false,true,0,true,3,false,3,true,1,0,false,false,false,0,false,0,false,1,false
[consuming3],26,80.61271039142464,2,4,2,2,false,false,false,0,true,3,false,4,false,1,0,false,false,false,0,false,0,false,1,false
[producing2],27,85.84378409159581,2,5,2,3,false,false,false,0,true,3,false,4,false,1,0,false,false,false,0,false,0,false,1,false
[con_ready2],28,86.11397559200586,2,5,2,3,false,true,false,0,true,3,true,4,false,1,0,false,false,false,0,false,0,false,1,false
[consuming2],29,86.89452895006231,2,5,2,2,false,false,false,0,true,4,false,4,false,1,0,false,false,false,0,false,0,false,1,false
[con_ready2],30,87.08621708644742,2,5,2,2,false,true,false,0,true,4,true,4,false,1,0,false,false,false,0,false,0,false,1,false
