action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,21.664718205779344,1,1,false,false,false,0,false,0,false,0,false
[con_ready1],2,24.118183188197907,1,2,false,false,false,0,true,0,false,0,false
[con_ready3],3,37.05530824143149,1,2,false,false,true,0,true,0,false,0,true
[consuming3],4,37.4490370636329,1,1,false,false,false,0,true,0,false,1,false
[producing],5,57.0543895124044,2,1,true,false,false,0,true,0,false,1,false
[consuming1],6,57.241360693096794,2,0,false,false,false,1,false,0,false,1,false
[producing],7,59.0245745209999,3,1,false,false,false,1,false,0,false,1,false
[con_ready1],8,60.658547629748185,3,2,false,false,false,1,true,0,false,1,false
[con_ready3],9,70.00130809658137,3,2,false,false,true,1,true,0,false,1,true
[consuming3],10,70.07765723674875,3,1,false,false,false,1,true,0,false,2,false
[con_ready3],11,93.56375053988901,3,1,false,false,true,1,true,0,false,2,true
[consuming3],12,95.19482818537264,3,0,false,false,false,1,true,0,false,3,false
[producing],13,191.02219011942873,4,1,false,false,false,1,true,0,false,3,false
[producing],14,194.32422508286416,5,1,true,false,false,1,true,0,false,3,false
[consuming1],15,195.3331350699893,5,0,false,false,false,2,false,0,false,3,false
[producing],16,206.74310848029964,6,1,false,false,false,2,false,0,false,3,false
[con_ready2],17,217.98153696597547,6,1,false,true,false,2,false,0,true,3,false
[consuming2],18,220.5382416498164,6,0,false,false,false,2,false,1,false,3,false
[producing],19,238.8850677261754,7,1,false,false,false,2,false,1,false,3,false
[con_ready2],20,243.17946499059227,7,1,false,true,false,2,false,1,true,3,false
[consuming2],21,244.47807022970414,7,0,false,false,false,2,false,2,false,3,false
[producing],22,278.16424893544286,8,1,false,false,false,2,false,2,false,3,false
[con_ready1],23,279.6442800974868,8,2,false,false,false,2,true,2,false,3,false
[producing],24,285.3063566279487,9,2,true,false,false,2,true,2,false,3,false
[consuming1],25,286.2269804430244,9,1,false,false,false,3,false,2,false,3,false
[con_ready2],26,295.726793636367,9,1,false,true,false,3,false,2,true,3,false
[consuming2],27,295.8907758607749,9,0,false,false,false,3,false,3,false,3,false
[producing],28,328.73520436825515,10,1,false,false,false,3,false,3,false,3,false
[con_ready3],29,330.3546635420661,10,1,false,false,true,3,false,3,false,3,true
[consuming3],30,330.81844689323424,10,0,false,false,false,3,false,3,false,4,false
[producing],31,387.45869513727297,11,1,false,false,false,3,false,3,false,4,false
[con_ready2],32,390.7546545117455,11,1,false,true,false,3,false,3,true,4,false
[consuming2],33,391.28560416304475,11,0,false,false,false,3,false,4,false,4,false
[producing],34,399.78809901114306,12,1,false,false,false,3,false,4,false,4,false
[producing],35,400.3786846774198,13,1,true,false,false,3,false,4,false,4,false
