action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,7.70792211786378,1,1,false,0,false
[con_ready],2,11.93649963346597,1,1,true,0,true
[consuming],3,13.366289260311172,1,0,false,1,false
[producing],4,17.430406950992662,2,1,false,1,false
[producing],5,18.3360836633924,3,2,false,1,false
[con_ready],6,25.889626948412747,3,2,true,1,true
[consuming],7,27.340367762620406,3,1,false,2,false
[producing],8,35.00457736451578,4,2,false,2,false
[con_ready],9,48.31959942942084,4,2,true,2,true
[consuming],10,49.99414832702441,4,1,false,3,false
[con_ready],11,50.39073683032502,4,1,true,3,true
[consuming],12,52.99952712228667,4,0,false,4,false
[producing],13,53.63936190405549,5,1,false,4,false
[con_ready],14,60.4689954424572,5,1,true,4,true
[consuming],15,62.11170824004727,5,0,false,5,false
[producing],16,87.04893181405245,6,1,false,5,false
[con_ready],17,96.7149108278662,6,1,true,5,true
[consuming],18,98.03262012770513,6,0,false,6,false
[producing],19,110.03687119731391,7,1,false,6,false
[con_ready],20,111.30267533344569,7,1,true,6,true
[consuming],21,112.34142244820322,7,0,false,7,false
[producing],22,128.4915442219275,8,1,false,7,false
[producing],23,135.49981617385518,9,2,false,7,false
[producing],24,159.47882005222212,10,3,false,7,false
[producing],25,161.04145886172952,11,4,false,7,false
[producing],26,176.14514168525187,12,5,false,7,false
[con_ready],27,177.32142418339416,12,5,true,7,true
[consuming],28,179.3578628750611,12,4,false,8,false
[con_ready],29,180.1663313599621,12,4,true,8,true
[consuming],30,181.88629017424236,12,3,false,9,false
[con_ready],31,185.45225092780163,12,3,true,9,true
[consuming],32,186.41870000273133,12,2,false,10,false
[con_ready],33,192.78519765233602,12,2,true,10,true
[consuming],34,193.73404700445045,12,1,false,11,false
[con_ready],35,201.43774249175362,12,1,true,11,true
[consuming],36,202.54707636131567,12,0,false,12,false
[producing],37,231.19422217273447,13,1,false,12,false
[producing],38,232.3963857568776,14,2,false,12,false
[producing],39,232.6561562341195,15,3,false,12,false
[con_ready],40,233.02123144456377,15,3,true,12,true
[consuming],41,233.0793422002975,15,2,false,13,false
[producing],42,244.61767071387771,16,3,false,13,false
[producing],43,246.89747050470004,17,4,false,13,false
[producing],44,249.89571412654718,18,5,false,13,false
[producing],45,272.4860689278614,19,6,false,13,false
[con_ready],46,274.9474768907039,19,6,true,13,true
[consuming],47,276.0820118718438,19,5,false,14,false
[con_ready],48,279.23830682664874,19,5,true,14,true
[consuming],49,280.1920893498028,19,4,false,15,false
[producing],50,286.04178838958734,20,5,false,15,false
[producing],51,286.2672392420494,21,6,false,15,false
[con_ready],52,289.71193082416386,21,6,true,15,true
[consuming],53,291.1473863225928,21,5,false,16,false
[producing],54,308.6189599683769,22,6,false,16,false
[producing],55,329.13996116636514,23,7,false,16,false
[con_ready],56,331.57530733861154,23,7,true,16,true
[consuming],57,331.6828909681725,23,6,false,17,false
[producing],58,345.19100050601725,24,7,false,17,false
[con_ready],59,357.7515018006572,24,7,true,17,true
[consuming],60,359.4024676577243,24,6,false,18,false
[con_ready],61,360.7066429812269,24,6,true,18,true
[consuming],62,360.7915147638305,24,5,false,19,false
[con_ready],63,364.0248789891214,24,5,true,19,true
[consuming],64,364.33122281758875,24,4,false,20,false
[con_ready],65,368.02394789775764,24,4,true,20,true
[consuming],66,368.7627951935274,24,3,false,21,false
[con_ready],67,370.37830698993804,24,3,true,21,true
[consuming],68,371.05865656921696,24,2,false,22,false
[con_ready],69,372.0712869698693,24,2,true,22,true
[consuming],70,373.11938098906916,24,1,false,23,false
[producing],71,376.119848060305,25,2,false,23,false
[producing],72,380.8930987122056,26,3,false,23,false
[producing],73,393.5464196922623,27,4,false,23,false
[con_ready],74,419.32529126067027,27,4,true,23,true
[consuming],75,420.0015290885954,27,3,false,24,false
[con_ready],76,423.1862633964647,27,3,true,24,true
[consuming],77,423.7391548325778,27,2,false,25,false
[con_ready],78,424.710517728183,27,2,true,25,true
[consuming],79,424.95677086219894,27,1,false,26,false
[con_ready],80,433.4835405571929,27,1,true,26,true
[consuming],81,433.9971103830312,27,0,false,27,false
[producing],82,468.53321357038453,28,1,false,27,false
[producing],83,482.23626944879555,29,2,false,27,false
[con_ready],84,483.8874935742475,29,2,true,27,true
[consuming],85,485.8050806156638,29,1,false,28,false
[producing],86,490.6360602143709,30,2,false,28,false
[con_ready],87,498.05578956612584,30,2,true,28,true
[consuming],88,498.11966314464127,30,1,false,29,false
[con_ready],89,520.4631585678756,30,1,true,29,true
[consuming],90,521.325126608146,30,0,false,30,false
[producing],91,535.302128876286,31,1,false,30,false
[con_ready],92,537.1092934092344,31,1,true,30,true
[consuming],93,537.1979721981322,31,0,false,31,false
[producing],94,572.1303745971811,32,1,false,31,false
[con_ready],95,574.8904194683162,32,1,true,31,true
[consuming],96,575.5706951682818,32,0,false,32,false
[producing],97,632.1394189876232,33,1,false,32,false
[con_ready],98,634.5972469048373,33,1,true,32,true
[consuming],99,634.9110812497837,33,0,false,33,false
[producing],100,636.6700890184459,34,1,false,33,false
[con_ready],101,654.6864600439145,34,1,true,33,true
[consuming],102,654.7662000687087,34,0,false,34,false
