action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,18.021920482205623,1,1,false,false,0,false,0,false
[con_ready1],2,41.16298336230423,1,1,true,false,0,true,0,false
[consuming1],3,41.481814907504656,1,0,false,false,1,false,0,false
[producing],4,101.9469334002896,2,1,false,false,1,false,0,false
[con_ready1],5,110.2729484333077,2,1,true,false,1,true,0,false
[consuming1],6,110.44220307120007,2,0,false,false,2,false,0,false
[producing],7,123.29381741788194,3,1,false,false,2,false,0,false
[con_ready2],8,129.99300812859528,3,1,false,true,2,false,0,true
[consuming2],9,130.01830949352217,3,0,false,false,2,false,1,false
[producing],10,155.15961203587196,4,1,false,false,2,false,1,false
[con_ready2],11,155.67604283863278,4,1,false,true,2,false,1,true
[consuming2],12,155.93363105051395,4,0,false,false,2,false,2,false
[producing],13,156.58304754549684,5,1,false,false,2,false,2,false
[con_ready1],14,181.9452135424714,5,1,true,false,2,true,2,false
[consuming1],15,182.95162113746568,5,0,false,false,3,false,2,false
[producing],16,387.4189159729781,6,1,false,false,3,false,2,false
[con_ready1],17,415.6395417177578,6,1,true,false,3,true,2,false
[consuming1],18,416.09768156984086,6,0,false,false,4,false,2,false
[producing],19,480.75743550868225,7,1,false,false,4,false,2,false
[con_ready2],20,487.225860161422,7,1,false,true,4,false,2,true
[consuming2],21,487.4535604864553,7,0,false,false,4,false,3,false
[producing],22,514.5959386213243,8,1,false,false,4,false,3,false
[producing],23,528.2933275369535,9,2,false,false,4,false,3,false
[con_ready1],24,528.4523481482312,9,2,true,false,4,true,3,false
[consuming1],25,529.3672989980903,9,1,false,false,5,false,3,false
[con_ready2],26,542.9409358384719,9,1,false,true,5,false,3,true
[consuming2],27,542.9952829554057,9,0,false,false,5,false,4,false
[producing],28,556.5176672351896,10,1,false,false,5,false,4,false
[producing],29,565.0647171949415,11,2,false,false,5,false,4,false
[con_ready2],30,585.4851288774397,11,2,false,true,5,false,4,true
[consuming2],31,585.5230823837738,11,1,false,false,5,false,5,false
[producing],32,603.7474661919445,12,2,false,false,5,false,5,false
[con_ready1],33,605.313938602425,12,2,true,false,5,true,5,false
[consuming1],34,605.679760956847,12,1,false,false,6,false,5,false
[con_ready1],35,612.664126424298,12,1,true,false,6,true,5,false
[consuming1],36,615.5270028740215,12,0,false,false,7,false,5,false
[producing],37,626.5416724298473,13,1,false,false,7,false,5,false
[con_ready2],38,633.4902762701813,13,1,false,true,7,false,5,true
[consuming2],39,633.633304352917,13,0,false,false,7,false,6,false
[producing],40,652.5091101730743,14,1,false,false,7,false,6,false
[con_ready1],41,661.7541456670646,14,1,true,false,7,true,6,false
[consuming1],42,662.2746212173081,14,0,false,false,8,false,6,false
[producing],43,719.7889473808258,15,1,false,false,8,false,6,false
[producing],44,740.7723510167133,16,2,false,false,8,false,6,false
[con_ready1],45,744.1735328915138,16,2,true,false,8,true,6,false
[consuming1],46,745.4430860004354,16,1,false,false,9,false,6,false
[con_ready2],47,755.6853486612707,16,1,false,true,9,false,6,true
[consuming2],48,756.7809477396931,16,0,false,false,9,false,7,false
[producing],49,766.3866415066079,17,1,false,false,9,false,7,false
[con_ready2],50,771.8310203013916,17,1,false,true,9,false,7,true
[consuming2],51,772.1981323033636,17,0,false,false,9,false,8,false
[producing],52,784.2111214096411,18,1,false,false,9,false,8,false
[producing],53,799.9525967232274,19,2,false,false,9,false,8,false
[con_ready1],54,810.9331816300097,19,2,true,false,9,true,8,false
[consuming1],55,812.6841120363766,19,1,false,false,10,false,8,false
[con_ready2],56,819.4103646030834,19,1,false,true,10,false,8,true
[consuming2],57,819.5857775301471,19,0,false,false,10,false,9,false
[producing],58,823.2092448219936,20,1,false,false,10,false,9,false
[con_ready1],59,830.3701386039467,20,1,true,false,10,true,9,false
[consuming1],60,831.0616696102194,20,0,false,false,11,false,9,false
