action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing],1,4.748239581258678,1,0,1,false,false,0,false,0,false
[con_ready1],2,7.696344412269421,1,0,2,false,false,0,true,0,false
[con_ready2],3,28.074311204462578,1,0,2,false,true,0,true,0,true
[consuming2],4,28.296157399173282,1,0,1,false,false,0,true,1,false
[con_ready2],5,29.031669310231578,1,0,1,false,true,0,true,1,true
[consuming2],6,29.34587653794388,1,0,0,false,false,0,true,2,false
[producing2],7,49.457969391502814,1,1,1,false,false,0,true,2,false
[producing2],8,54.393327421854735,1,2,1,true,false,0,true,2,false
[consuming1],9,55.4945017300153,1,2,0,false,false,1,false,2,false
[producing2],10,62.403813280601256,1,3,1,false,false,1,false,2,false
[con_ready2],11,66.24557294839441,1,3,1,false,true,1,false,2,true
[consuming2],12,67.18375608537464,1,3,0,false,false,1,false,3,false
[producing2],13,69.54328072728518,1,4,1,false,false,1,false,3,false
[producing],14,72.97528751316672,2,4,2,false,false,1,false,3,false
[con_ready2],15,75.52253834154423,2,4,2,false,true,1,false,3,true
[consuming2],16,76.80429110569108,2,4,1,false,false,1,false,4,false
[producing2],17,77.92245860347784,2,5,1,true,false,1,false,4,false
