action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,56.74158950252899,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],2,58.938511019843766,1,1,false,true,false,0,false,0,true,0,false
[consuming2],3,59.274388785875786,1,0,false,false,false,0,false,1,false,0,false
[producing],4,73.10983727922783,2,1,false,false,false,0,false,1,false,0,false
[con_ready1],5,76.63237792823963,2,1,true,false,false,0,true,1,false,0,false
[consuming1],6,76.91600620912996,2,0,false,false,false,1,false,1,false,0,false
[producing],7,118.51080974324947,3,1,false,false,false,1,false,1,false,0,false
[producing],8,130.7668993553445,4,2,false,false,false,1,false,1,false,0,false
[con_ready1],9,140.22818479620264,4,2,true,false,false,1,true,1,false,0,false
[consuming1],10,140.83913991497042,4,1,false,false,false,2,false,1,false,0,false
[con_ready2],11,140.85786192734622,4,1,false,true,false,2,false,1,true,0,false
[consuming2],12,141.62768761112486,4,0,false,false,false,2,false,2,false,0,false
[producing],13,168.4068911739592,5,1,false,false,false,2,false,2,false,0,false
[con_ready2],14,179.85509556534947,5,1,false,true,false,2,false,2,true,0,false
[consuming2],15,185.28684927666072,5,0,false,false,false,2,false,3,false,0,false
[producing],16,185.7991290539293,6,1,false,false,false,2,false,3,false,0,false
[con_ready3],17,193.63445756763494,6,1,false,false,true,2,false,3,false,0,true
[consuming3],18,193.92632185832363,6,0,false,false,false,2,false,3,false,1,false
[producing],19,219.30804360195773,7,1,false,false,false,2,false,3,false,1,false
[con_ready3],20,219.53834472021708,7,1,false,false,true,2,false,3,false,1,true
[consuming3],21,219.78202261616963,7,0,false,false,false,2,false,3,false,2,false
[producing],22,292.4998731455854,8,1,false,false,false,2,false,3,false,2,false
[con_ready2],23,296.44116979288566,8,1,false,true,false,2,false,3,true,2,false
[consuming2],24,297.53663900223626,8,0,false,false,false,2,false,4,false,2,false
[producing],25,307.70887004800824,9,1,false,false,false,2,false,4,false,2,false
[con_ready1],26,310.9130397842042,9,1,true,false,false,2,true,4,false,2,false
[consuming1],27,312.2527822083978,9,0,false,false,false,3,false,4,false,2,false
[producing],28,321.678060352197,10,1,false,false,false,3,false,4,false,2,false
[producing],29,336.8441120215351,11,2,false,false,false,3,false,4,false,2,false
[con_ready1],30,343.7411374625223,11,2,true,false,false,3,true,4,false,2,false
[consuming1],31,344.6400525820929,11,1,false,false,false,4,false,4,false,2,false
[con_ready2],32,355.9840954371646,11,1,false,true,false,4,false,4,true,2,false
[consuming2],33,356.12414479006947,11,0,false,false,false,4,false,5,false,2,false
[producing],34,381.0125927680207,12,1,false,false,false,4,false,5,false,2,false
[producing],35,381.6580115914416,13,2,false,false,false,4,false,5,false,2,false
[con_ready2],36,386.2606177860203,13,2,false,true,false,4,false,5,true,2,false
[consuming2],37,386.2934140157888,13,1,false,false,false,4,false,6,false,2,false
[con_ready3],38,391.59117918975204,13,1,false,false,true,4,false,6,false,2,true
[consuming3],39,391.5968872221768,13,0,false,false,false,4,false,6,false,3,false
[producing],40,477.501887116147,14,1,false,false,false,4,false,6,false,3,false
[con_ready2],41,488.34884736088145,14,1,false,true,false,4,false,6,true,3,false
[consuming2],42,490.2448069555697,14,0,false,false,false,4,false,7,false,3,false
[producing],43,538.0807499464586,15,1,false,false,false,4,false,7,false,3,false
[producing],44,541.8697042143423,16,2,false,false,false,4,false,7,false,3,false
[con_ready2],45,543.2844003245846,16,2,false,true,false,4,false,7,true,3,false
[consuming2],46,546.2755101860859,16,1,false,false,false,4,false,8,false,3,false
[con_ready1],47,557.9408042927591,16,1,true,false,false,4,true,8,false,3,false
[consuming1],48,558.2035759982223,16,0,false,false,false,5,false,8,false,3,false
[producing],49,661.7245480136996,17,1,false,false,false,5,false,8,false,3,false
[con_ready3],50,662.5542626913411,17,1,false,false,true,5,false,8,false,3,true
[consuming3],51,662.65341935666,17,0,false,false,false,5,false,8,false,4,false
[producing],52,697.6050753576274,18,1,false,false,false,5,false,8,false,4,false
[con_ready3],53,715.5493741800462,18,1,false,false,true,5,false,8,false,4,true
[consuming3],54,716.2604326614551,18,0,false,false,false,5,false,8,false,5,false
[producing],55,723.0801028388494,19,1,false,false,false,5,false,8,false,5,false
[con_ready1],56,748.99170217523,19,1,true,false,false,5,true,8,false,5,false
[consuming1],57,749.1520342124346,19,0,false,false,false,6,false,8,false,5,false
[producing],58,811.1731644918134,20,1,false,false,false,6,false,8,false,5,false
[con_ready2],59,819.3982030099144,20,1,false,true,false,6,false,8,true,5,false
[consuming2],60,823.1821454333938,20,0,false,false,false,6,false,9,false,5,false
