action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,15.185015004836986,1,1,false,false,false,0,false,0,false,0,false
[producing],2,25.29289376816597,2,2,false,false,false,0,false,0,false,0,false
[producing],3,45.53487367883374,3,3,false,false,false,0,false,0,false,0,false
[producing],4,45.6114059692428,4,4,false,false,false,0,false,0,false,0,false
[con_ready3],5,106.52587896070574,4,4,false,false,true,0,false,0,false,0,true
[consuming3],6,107.49786140266079,4,3,false,false,false,0,false,0,false,1,false
[con_ready1],7,113.23311355271301,4,3,true,false,false,0,true,0,false,1,false
[consuming1],8,114.02387913044585,4,2,false,false,false,1,false,0,false,1,false
[con_ready2],9,125.34354735703907,4,2,false,true,false,1,false,0,true,1,false
[consuming2],10,126.04741018204932,4,1,false,false,false,1,false,1,false,1,false
[con_ready1],11,132.7172905991213,4,1,true,false,false,1,true,1,false,1,false
[consuming1],12,133.01459454104526,4,0,false,false,false,2,false,1,false,1,false
[producing],13,137.28284397299322,5,1,false,false,false,2,false,1,false,1,false
[con_ready1],14,144.08645987824505,5,1,true,false,false,2,true,1,false,1,false
[consuming1],15,145.65809773472762,5,0,false,false,false,3,false,1,false,1,false
[producing],16,214.0521327596067,6,1,false,false,false,3,false,1,false,1,false
[producing],17,222.96688652430402,7,2,false,false,false,3,false,1,false,1,false
[con_ready2],18,247.55824101545315,7,2,false,true,false,3,false,1,true,1,false
[consuming2],19,250.7086591310607,7,1,false,false,false,3,false,2,false,1,false
[producing],20,261.3172402758537,8,2,false,false,false,3,false,2,false,1,false
[con_ready1],21,273.24202289650043,8,2,true,false,false,3,true,2,false,1,false
[consuming1],22,274.9931328352807,8,1,false,false,false,4,false,2,false,1,false
[con_ready3],23,309.2202742292051,8,1,false,false,true,4,false,2,false,1,true
[consuming3],24,309.26573384545,8,0,false,false,false,4,false,2,false,2,false
[producing],25,344.33790109397086,9,1,false,false,false,4,false,2,false,2,false
[producing],26,351.6039972271927,10,2,false,false,false,4,false,2,false,2,false
[con_ready2],27,378.8478322516623,10,2,false,true,false,4,false,2,true,2,false
[consuming2],28,379.67762930489926,10,1,false,false,false,4,false,3,false,2,false
[con_ready1],29,381.5444484325687,10,1,true,false,false,4,true,3,false,2,false
[consuming1],30,382.5602802661732,10,0,false,false,false,5,false,3,false,2,false
[producing],31,392.27254498720384,11,1,false,false,false,5,false,3,false,2,false
[producing],32,405.3571493565495,12,2,false,false,false,5,false,3,false,2,false
[con_ready3],33,405.94853741757686,12,2,false,false,true,5,false,3,false,2,true
[consuming3],34,406.23722038735616,12,1,false,false,false,5,false,3,false,3,false
[con_ready2],35,428.53939876225553,12,1,false,true,false,5,false,3,true,3,false
[consuming2],36,429.4755728028967,12,0,false,false,false,5,false,4,false,3,false
[producing],37,432.45472201762334,13,1,false,false,false,5,false,4,false,3,false
[con_ready3],38,433.13290964346646,13,1,false,false,true,5,false,4,false,3,true
[consuming3],39,433.9977068587873,13,0,false,false,false,5,false,4,false,4,false
[producing],40,436.50134094211427,14,1,false,false,false,5,false,4,false,4,false
[con_ready3],41,437.7572812085328,14,1,false,false,true,5,false,4,false,4,true
[consuming3],42,438.9525610512229,14,0,false,false,false,5,false,4,false,5,false
[producing],43,455.88632260923816,15,1,false,false,false,5,false,4,false,5,false
[con_ready2],44,461.95911707757654,15,1,false,true,false,5,false,4,true,5,false
[consuming2],45,464.326888011418,15,0,false,false,false,5,false,5,false,5,false
[producing],46,483.21864332998723,16,1,false,false,false,5,false,5,false,5,false
[con_ready1],47,485.98785966981677,16,1,true,false,false,5,true,5,false,5,false
[consuming1],48,488.03455960122096,16,0,false,false,false,6,false,5,false,5,false
[producing],49,534.9300094007448,17,1,false,false,false,6,false,5,false,5,false
[con_ready2],50,556.0859105931609,17,1,false,true,false,6,false,5,true,5,false
[consuming2],51,557.2265690993014,17,0,false,false,false,6,false,6,false,5,false
[producing],52,564.1638274744342,18,1,false,false,false,6,false,6,false,5,false
[con_ready1],53,565.8833266174271,18,1,true,false,false,6,true,6,false,5,false
[consuming1],54,566.4121421689912,18,0,false,false,false,7,false,6,false,5,false
[producing],55,737.9690737657514,19,1,false,false,false,7,false,6,false,5,false
[con_ready1],56,741.7910861031471,19,1,true,false,false,7,true,6,false,5,false
[consuming1],57,742.4080126079418,19,0,false,false,false,8,false,6,false,5,false
[producing],58,791.5224756835883,20,1,false,false,false,8,false,6,false,5,false
[con_ready2],59,809.7941869982939,20,1,false,true,false,8,false,6,true,5,false
[consuming2],60,810.241121591126,20,0,false,false,false,8,false,7,false,5,false
