action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,55.89853630707707,1,1,false,false,0,false,0,false
[con_ready2],2,59.13503514654248,1,1,false,true,0,false,0,true
[consuming2],3,59.331709217976986,1,0,false,false,0,false,1,false
[producing],4,126.66233967851477,2,1,false,false,0,false,1,false
[con_ready2],5,127.38584696901752,2,1,false,true,0,false,1,true
[consuming2],6,130.88606565853354,2,0,false,false,0,false,2,false
[producing],7,234.93534925547277,3,1,false,false,0,false,2,false
[con_ready2],8,241.1789500685451,3,1,false,true,0,false,2,true
[consuming2],9,241.45790076471792,3,0,false,false,0,false,3,false
[producing],10,245.2424461074693,4,1,false,false,0,false,3,false
[con_ready1],11,247.73874750799084,4,1,true,false,0,true,3,false
[consuming1],12,248.62133762612626,4,0,false,false,1,false,3,false
[producing],13,309.6788527573712,5,1,false,false,1,false,3,false
[con_ready1],14,318.3016547493146,5,1,true,false,1,true,3,false
[consuming1],15,319.21941006104663,5,0,false,false,2,false,3,false
[producing],16,337.51830406494673,6,1,false,false,2,false,3,false
[con_ready1],17,353.5005185672022,6,1,true,false,2,true,3,false
[consuming1],18,354.1420875882907,6,0,false,false,3,false,3,false
[producing],19,364.85667344612636,7,1,false,false,3,false,3,false
[con_ready1],20,365.4627068869664,7,1,true,false,3,true,3,false
[consuming1],21,366.2951822940077,7,0,false,false,4,false,3,false
[producing],22,406.17659312406636,8,1,false,false,4,false,3,false
[con_ready1],23,411.0054218555572,8,1,true,false,4,true,3,false
[consuming1],24,411.7209974370362,8,0,false,false,5,false,3,false
[producing],25,427.8187201688057,9,1,false,false,5,false,3,false
[con_ready2],26,436.3873761930076,9,1,false,true,5,false,3,true
[consuming2],27,438.92603457569567,9,0,false,false,5,false,4,false
[producing],28,443.3639632181663,10,1,false,false,5,false,4,false
[con_ready2],29,457.74882713500887,10,1,false,true,5,false,4,true
[consuming2],30,458.48336315192023,10,0,false,false,5,false,5,false
[producing],31,493.63562791445315,11,1,false,false,5,false,5,false
[producing],32,508.8530699331673,12,2,false,false,5,false,5,false
[producing],33,513.2609063541237,13,3,false,false,5,false,5,false
[con_ready1],34,517.8020132564365,13,3,true,false,5,true,5,false
[consuming1],35,521.0053364751908,13,2,false,false,6,false,5,false
[con_ready2],36,527.7736854687695,13,2,false,true,6,false,5,true
[consuming2],37,528.1596573150904,13,1,false,false,6,false,6,false
[con_ready1],38,535.1738862373682,13,1,true,false,6,true,6,false
[consuming1],39,535.2962974026367,13,0,false,false,7,false,6,false
[producing],40,584.0323386355067,14,1,false,false,7,false,6,false
[con_ready1],41,586.5080920260078,14,1,true,false,7,true,6,false
[consuming1],42,587.4166726187465,14,0,false,false,8,false,6,false
[producing],43,694.3080893412525,15,1,false,false,8,false,6,false
[con_ready2],44,694.9822742323952,15,1,false,true,8,false,6,true
[consuming2],45,696.4831862542296,15,0,false,false,8,false,7,false
[producing],46,768.2324144518407,16,1,false,false,8,false,7,false
[con_ready1],47,768.8200038053968,16,1,true,false,8,true,7,false
[consuming1],48,768.9350171076469,16,0,false,false,9,false,7,false
[producing],49,821.2260121761825,17,1,false,false,9,false,7,false
[con_ready1],50,880.6593357998806,17,1,true,false,9,true,7,false
[consuming1],51,882.9180055656146,17,0,false,false,10,false,7,false
[producing],52,888.562249213617,18,1,false,false,10,false,7,false
[con_ready2],53,889.2449636832116,18,1,false,true,10,false,7,true
[consuming2],54,889.450487489916,18,0,false,false,10,false,8,false
[producing],55,900.582749004243,19,1,false,false,10,false,8,false
[con_ready2],56,917.2368295982352,19,1,false,true,10,false,8,true
[consuming2],57,917.3678749072823,19,0,false,false,10,false,9,false
[producing],58,968.3841845495767,20,1,false,false,10,false,9,false
[con_ready2],59,973.4591080258426,20,1,false,true,10,false,9,true
[consuming2],60,973.5219559264377,20,0,false,false,10,false,10,false
[producing],61,983.6867865592651,21,1,false,false,10,false,10,false
[con_ready2],62,1005.2111772221899,21,1,false,true,10,false,10,true
[consuming2],63,1005.8669746456517,21,0,false,false,10,false,11,false
[producing],64,1013.8981535130733,22,1,false,false,10,false,11,false
[producing],65,1017.0131490879962,23,2,false,false,10,false,11,false
[con_ready2],66,1020.9650656514029,23,2,false,true,10,false,11,true
[consuming2],67,1022.5548299471732,23,1,false,false,10,false,12,false
[con_ready2],68,1029.145942149868,23,1,false,true,10,false,12,true
[consuming2],69,1029.7764978090208,23,0,false,false,10,false,13,false
[producing],70,1055.5134492685245,24,1,false,false,10,false,13,false
[producing],71,1061.20178596765,25,2,false,false,10,false,13,false
[con_ready2],72,1065.5710838466048,25,2,false,true,10,false,13,true
[consuming2],73,1066.1830902522358,25,1,false,false,10,false,14,false
[con_ready1],74,1098.6403758018234,25,1,true,false,10,true,14,false
[consuming1],75,1099.219397532905,25,0,false,false,11,false,14,false
[producing],76,1130.488253917571,26,1,false,false,11,false,14,false
[producing],77,1145.5764576513084,27,2,false,false,11,false,14,false
[con_ready2],78,1150.405163793808,27,2,false,true,11,false,14,true
[consuming2],79,1150.4837241530279,27,1,false,false,11,false,15,false
[producing],80,1152.07901092109,28,2,false,false,11,false,15,false
[con_ready2],81,1153.1991002949571,28,2,false,true,11,false,15,true
[consuming2],82,1153.297620831112,28,1,false,false,11,false,16,false
[con_ready1],83,1157.0243962923103,28,1,true,false,11,true,16,false
[consuming1],84,1158.2782698323958,28,0,false,false,12,false,16,false
[producing],85,1176.7767574032284,29,1,false,false,12,false,16,false
[con_ready2],86,1191.3521390751544,29,1,false,true,12,false,16,true
[consuming2],87,1193.500219588901,29,0,false,false,12,false,17,false
[producing],88,1239.7191246262682,30,1,false,false,12,false,17,false
[producing],89,1249.9119837554417,31,2,false,false,12,false,17,false
[con_ready2],90,1250.4341179098283,31,2,false,true,12,false,17,true
[consuming2],91,1250.5309188348203,31,1,false,false,12,false,18,false
[con_ready2],92,1254.518648426707,31,1,false,true,12,false,18,true
[consuming2],93,1254.976253277649,31,0,false,false,12,false,19,false
[producing],94,1255.3163827724622,32,1,false,false,12,false,19,false
