action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing],1,32.73275597849534,1,0,1,false,false,0,false,0,false
[con_ready2],2,36.76917857431988,1,0,1,false,true,0,false,0,true
[consuming2],3,40.75950890273345,1,0,0,false,false,0,false,1,false
[producing],4,45.506313026584316,2,0,1,false,false,0,false,1,false
[con_ready1],5,52.05536757343083,2,0,2,false,false,0,true,1,false
[producing],6,57.11265922414332,3,0,3,false,false,0,true,1,false
[producing],7,60.08709895350684,4,0,4,false,false,0,true,1,false
[producing2],8,68.7945540197506,4,1,4,true,false,0,true,1,false
[consuming1],9,69.09044235946062,4,1,3,false,false,1,false,1,false
[producing2],10,73.4335517473324,4,2,3,true,false,1,false,1,false
