action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,33.19248555983262,1,1,false,false,false,0,false,0,false,0,false
[con_ready1],2,37.876097570850675,1,1,true,false,false,0,true,0,false,0,false
[consuming1],3,37.926515702932974,1,0,false,false,false,1,false,0,false,0,false
[producing],4,52.084792446725146,2,1,false,false,false,1,false,0,false,0,false
[con_ready2],5,76.36082509413814,2,1,false,true,false,1,false,0,true,0,false
[consuming2],6,76.85284432922339,2,0,false,false,false,1,false,1,false,0,false
[producing],7,80.51966669492205,3,1,false,false,false,1,false,1,false,0,false
[con_ready3],8,85.79430789539565,3,1,false,false,true,1,false,1,false,0,true
[consuming3],9,85.95848278939665,3,0,false,false,false,1,false,1,false,1,false
[producing],10,88.58503661602049,4,1,false,false,false,1,false,1,false,1,false
[con_ready1],11,88.78942868911541,4,1,true,false,false,1,true,1,false,1,false
[consuming1],12,88.93304752286127,4,0,false,false,false,2,false,1,false,1,false
[producing],13,135.9488252689835,5,1,false,false,false,2,false,1,false,1,false
[con_ready1],14,142.71692703328964,5,1,true,false,false,2,true,1,false,1,false
[consuming1],15,142.88335896343315,5,0,false,false,false,3,false,1,false,1,false
[producing],16,146.37405156723597,6,1,false,false,false,3,false,1,false,1,false
[con_ready1],17,164.63955460863778,6,1,true,false,false,3,true,1,false,1,false
[consuming1],18,166.454692719926,6,0,false,false,false,4,false,1,false,1,false
[producing],19,167.22169502269145,7,1,false,false,false,4,false,1,false,1,false
[producing],20,167.73487000385265,8,2,false,false,false,4,false,1,false,1,false
[producing],21,174.99554323683083,9,3,false,false,false,4,false,1,false,1,false
[con_ready1],22,184.3488405296384,9,3,true,false,false,4,true,1,false,1,false
[consuming1],23,184.7880841510065,9,2,false,false,false,5,false,1,false,1,false
[producing],24,187.4271198662284,10,3,false,false,false,5,false,1,false,1,false
[con_ready2],25,189.74233802134822,10,3,false,true,false,5,false,1,true,1,false
[consuming2],26,190.8873592884294,10,2,false,false,false,5,false,2,false,1,false
[con_ready2],27,216.68450426379707,10,2,false,true,false,5,false,2,true,1,false
[consuming2],28,216.9388056248839,10,1,false,false,false,5,false,3,false,1,false
[con_ready1],29,223.56270977461634,10,1,true,false,false,5,true,3,false,1,false
[consuming1],30,223.67537399714723,10,0,false,false,false,6,false,3,false,1,false
