action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,45.49583527298042,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],2,50.505540233232004,1,1,false,true,false,0,false,0,true,0,false
[consuming2],3,50.743733419688375,1,0,false,false,false,0,false,1,false,0,false
[producing],4,83.09636074648898,2,1,false,false,false,0,false,1,false,0,false
[con_ready2],5,86.84755589416723,2,1,false,true,false,0,false,1,true,0,false
[consuming2],6,86.86846892470257,2,0,false,false,false,0,false,2,false,0,false
[producing],7,120.54921470373674,3,1,false,false,false,0,false,2,false,0,false
[con_ready3],8,121.0843191127211,3,1,false,false,true,0,false,2,false,0,true
[consuming3],9,122.08923688116137,3,0,false,false,false,0,false,2,false,1,false
[producing],10,148.65493818606308,4,1,false,false,false,0,false,2,false,1,false
[producing],11,165.31697986733326,5,2,false,false,false,0,false,2,false,1,false
[con_ready2],12,172.66709324815568,5,2,false,true,false,0,false,2,true,1,false
[consuming2],13,174.01005595665112,5,1,false,false,false,0,false,3,false,1,false
[con_ready3],14,181.2740895001174,5,1,false,false,true,0,false,3,false,1,true
[consuming3],15,181.36869317088193,5,0,false,false,false,0,false,3,false,2,false
[producing],16,196.75947776861548,6,1,false,false,false,0,false,3,false,2,false
[con_ready1],17,203.81064355386962,6,1,true,false,false,0,true,3,false,2,false
[consuming1],18,204.33441653319068,6,0,false,false,false,1,false,3,false,2,false
[producing],19,226.63248001400132,7,1,false,false,false,1,false,3,false,2,false
[producing],20,228.1423774454595,8,2,false,false,false,1,false,3,false,2,false
[con_ready2],21,231.98774219068721,8,2,false,true,false,1,false,3,true,2,false
[consuming2],22,232.4071804208035,8,1,false,false,false,1,false,4,false,2,false
[producing],23,232.81899304567764,9,2,false,false,false,1,false,4,false,2,false
[producing],24,234.68416880644273,10,3,false,false,false,1,false,4,false,2,false
[con_ready1],25,236.29125406645375,10,3,true,false,false,1,true,4,false,2,false
[consuming1],26,236.71978185962323,10,2,false,false,false,2,false,4,false,2,false
[con_ready3],27,251.65363013472916,10,2,false,false,true,2,false,4,false,2,true
[consuming3],28,252.23255215032287,10,1,false,false,false,2,false,4,false,3,false
[con_ready2],29,254.01889335765682,10,1,false,true,false,2,false,4,true,3,false
[consuming2],30,262.6452041270535,10,0,false,false,false,2,false,5,false,3,false
