action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,34.276186545074104,1,1,false,false,false,0,false,0,false,0,false
[con_ready1],2,35.17620713829547,1,1,true,false,false,0,true,0,false,0,false
[consuming1],3,35.21447300320017,1,0,false,false,false,1,false,0,false,0,false
[producing],4,64.17418156864326,2,1,false,false,false,1,false,0,false,0,false
[con_ready1],5,75.29022881528164,2,1,true,false,false,1,true,0,false,0,false
[consuming1],6,76.92410515662077,2,0,false,false,false,2,false,0,false,0,false
[producing],7,88.72595232504912,3,1,false,false,false,2,false,0,false,0,false
[con_ready1],8,94.23951554477988,3,1,true,false,false,2,true,0,false,0,false
[consuming1],9,94.57751811899055,3,0,false,false,false,3,false,0,false,0,false
[producing],10,139.839428812061,4,1,false,false,false,3,false,0,false,0,false
[con_ready2],11,145.248403411295,4,1,false,true,false,3,false,0,true,0,false
[consuming2],12,146.2667455954778,4,0,false,false,false,3,false,1,false,0,false
[producing],13,165.3436529285036,5,1,false,false,false,3,false,1,false,0,false
[con_ready3],14,170.21242468610507,5,1,false,false,true,3,false,1,false,0,true
[consuming3],15,170.62383902581163,5,0,false,false,false,3,false,1,false,1,false
[producing],16,177.01119807701485,6,1,false,false,false,3,false,1,false,1,false
[con_ready2],17,180.49473128069184,6,1,false,true,false,3,false,1,true,1,false
[consuming2],18,183.6787514588749,6,0,false,false,false,3,false,2,false,1,false
[producing],19,186.72315657711917,7,1,false,false,false,3,false,2,false,1,false
[con_ready3],20,189.69804192866513,7,1,false,false,true,3,false,2,false,1,true
[consuming3],21,190.64170392170675,7,0,false,false,false,3,false,2,false,2,false
[producing],22,245.29424959301576,8,1,false,false,false,3,false,2,false,2,false
[producing],23,260.22952203838304,9,2,false,false,false,3,false,2,false,2,false
[con_ready1],24,261.363038993347,9,2,true,false,false,3,true,2,false,2,false
[consuming1],25,262.31808851669246,9,1,false,false,false,4,false,2,false,2,false
[con_ready1],26,324.7075500938189,9,1,true,false,false,4,true,2,false,2,false
[consuming1],27,325.3966083453389,9,0,false,false,false,5,false,2,false,2,false
[producing],28,343.591149957605,10,1,false,false,false,5,false,2,false,2,false
[con_ready2],29,364.83411036150176,10,1,false,true,false,5,false,2,true,2,false
[consuming2],30,365.332154681976,10,0,false,false,false,5,false,3,false,2,false
