action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing],1,1.2700151702197997,1,0,1,false,false,0,false,0,false
[con_ready2],2,3.954446922485186,1,0,1,false,true,0,false,0,true
[consuming2],3,5.632119424985163,1,0,0,false,false,0,false,1,false
[producing2],4,19.788430655682173,1,1,1,false,false,0,false,1,false
[producing2],5,29.497328025762258,1,2,2,false,false,0,false,1,false
[con_ready2],6,46.40683872938395,1,2,2,false,true,0,false,1,true
[consuming2],7,47.44391593374663,1,2,1,false,false,0,false,2,false
[con_ready2],8,48.13833942144479,1,2,1,false,true,0,false,2,true
[consuming2],9,48.64794682583441,1,2,0,false,false,0,false,3,false
[producing2],10,50.267856761295626,1,3,1,false,false,0,false,3,false
[producing],11,54.14734319451163,2,3,2,false,false,0,false,3,false
[producing],12,64.90397246375028,3,3,3,false,false,0,false,3,false
[con_ready2],13,73.73302161636418,3,3,3,false,true,0,false,3,true
[consuming2],14,75.41432937548012,3,3,2,false,false,0,false,4,false
[con_ready2],15,90.30222035033037,3,3,2,false,true,0,false,4,true
[consuming2],16,91.3072318120012,3,3,1,false,false,0,false,5,false
[producing],17,96.74838907004423,4,3,2,false,false,0,false,5,false
[con_ready1],18,99.06832823965122,4,3,2,true,false,0,true,5,false
[consuming1],19,99.44529142590571,4,3,1,false,false,1,false,5,false
[producing],20,101.48661121927613,5,3,2,false,false,1,false,5,false
[con_ready1],21,105.35495488014853,5,3,2,true,false,1,true,5,false
[consuming1],22,107.33681465486958,5,3,1,false,false,2,false,5,false
[producing2],23,110.00718313199106,5,4,2,false,false,2,false,5,false
[con_ready1],24,116.86655592913097,5,4,2,true,false,2,true,5,false
[consuming1],25,120.08122800221167,5,4,1,false,false,3,false,5,false
[con_ready1],26,121.85690384986174,5,4,1,true,false,3,true,5,false
[consuming1],27,122.23689602109934,5,4,0,false,false,4,false,5,false
[producing],28,124.89917463741173,6,4,1,false,false,4,false,5,false
[producing],29,131.29989420109717,7,4,2,false,false,4,false,5,false
[producing],30,131.3136374193134,8,4,3,false,false,4,false,5,false
[con_ready1],31,131.36585392377066,8,4,3,true,false,4,true,5,false
[consuming1],32,131.93984208308288,8,4,2,false,false,5,false,5,false
[producing2],33,140.0517647572649,8,5,3,false,false,5,false,5,false
[con_ready1],34,145.2492043583077,8,5,3,true,false,5,true,5,false
[consuming1],35,145.93441980934904,8,5,2,false,false,6,false,5,false
[con_ready2],36,147.785495587609,8,5,2,false,true,6,false,5,true
[consuming2],37,148.64880328829972,8,5,1,false,false,6,false,6,false
[con_ready1],38,159.70907343526588,8,5,1,true,false,6,true,6,false
[consuming1],39,159.73005357568124,8,5,0,false,false,7,false,6,false
[producing2],40,166.43202652457873,8,6,1,false,false,7,false,6,false
[con_ready1],41,185.68598571256354,8,6,1,true,false,7,true,6,false
[consuming1],42,185.8231759737643,8,6,0,false,false,8,false,6,false
[producing2],43,187.20149185076906,8,7,1,false,false,8,false,6,false
[producing],44,188.75283476682696,9,7,2,false,false,8,false,6,false
[con_ready1],45,196.88586420019737,9,7,2,true,false,8,true,6,false
[consuming1],46,197.12978759038268,9,7,1,false,false,9,false,6,false
[con_ready2],47,202.6421221172929,9,7,1,false,true,9,false,6,true
[consuming2],48,202.72198878000353,9,7,0,false,false,9,false,7,false
[producing],49,212.468283294977,10,7,1,false,false,9,false,7,false
[con_ready1],50,217.61330994575889,10,7,1,true,false,9,true,7,false
[consuming1],51,218.81666612048693,10,7,0,false,false,10,false,7,false
[producing],52,222.1630065544628,11,7,1,false,false,10,false,7,false
[producing2],53,242.76255379157425,11,8,2,false,false,10,false,7,false
[con_ready2],54,244.09980995984796,11,8,2,false,true,10,false,7,true
[consuming2],55,244.90497591954008,11,8,1,false,false,10,false,8,false
[con_ready1],56,246.3837490774942,11,8,1,true,false,10,true,8,false
[consuming1],57,247.16822528375948,11,8,0,false,false,11,false,8,false
[producing],58,251.15206469557722,12,8,1,false,false,11,false,8,false
[con_ready1],59,251.6455126641354,12,8,1,true,false,11,true,8,false
[consuming1],60,252.0194702616007,12,8,0,false,false,12,false,8,false
[producing],61,272.71017020490854,13,8,1,false,false,12,false,8,false
[producing],62,277.58749953991213,14,8,2,false,false,12,false,8,false
[con_ready1],63,278.5030702727168,14,8,2,true,false,12,true,8,false
[consuming1],64,282.3527218279261,14,8,1,false,false,13,false,8,false
[producing],65,284.9805167665513,15,8,2,false,false,13,false,8,false
[con_ready2],66,290.3744256851228,15,8,2,false,true,13,false,8,true
[consuming2],67,290.50577978773265,15,8,1,false,false,13,false,9,false
[con_ready2],68,291.43439784766645,15,8,1,false,true,13,false,9,true
[consuming2],69,293.8514153790179,15,8,0,false,false,13,false,10,false
[producing2],70,322.76537343619975,15,9,1,false,false,13,false,10,false
[con_ready2],71,326.29939957443594,15,9,1,false,true,13,false,10,true
[consuming2],72,326.82332976606193,15,9,0,false,false,13,false,11,false
[producing2],73,340.21420842043267,15,10,1,false,false,13,false,11,false
[con_ready2],74,347.144255204561,15,10,1,false,true,13,false,11,true
[consuming2],75,348.8838652230948,15,10,0,false,false,13,false,12,false
[producing2],76,386.4313447568136,15,11,1,false,false,13,false,12,false
[con_ready1],77,388.21488726735333,15,11,1,true,false,13,true,12,false
[consuming1],78,389.8492258658115,15,11,0,false,false,14,false,12,false
[producing],79,391.94369109485586,16,11,1,false,false,14,false,12,false
[producing2],80,393.22572520528854,16,12,2,false,false,14,false,12,false
[con_ready1],81,393.91274047900964,16,12,2,true,false,14,true,12,false
[consuming1],82,394.15615560711916,16,12,1,false,false,15,false,12,false
[producing],83,409.24708889078886,17,12,2,false,false,15,false,12,false
[producing],84,413.78416967143426,18,12,3,false,false,15,false,12,false
[producing2],85,424.391265011317,18,13,4,false,false,15,false,12,false
[producing2],86,435.888032822279,18,14,5,false,false,15,false,12,false
[producing],87,436.73888496602177,19,14,6,false,false,15,false,12,false
[producing2],88,440.0711823185558,19,15,7,false,false,15,false,12,false
[con_ready2],89,444.92768804211914,19,15,7,false,true,15,false,12,true
[consuming2],90,446.07611748716636,19,15,6,false,false,15,false,13,false
[con_ready1],91,453.9532686390736,19,15,6,true,false,15,true,13,false
[consuming1],92,454.4932728908756,19,15,5,false,false,16,false,13,false
[con_ready1],93,455.6967211022103,19,15,5,true,false,16,true,13,false
[consuming1],94,455.8676289154054,19,15,4,false,false,17,false,13,false
[producing2],95,473.6596155811075,19,16,5,false,false,17,false,13,false
[con_ready2],96,474.76255273979194,19,16,5,false,true,17,false,13,true
[consuming2],97,478.2277169739645,19,16,4,false,false,17,false,14,false
[producing],98,486.16583246647934,20,16,5,false,false,17,false,14,false
[con_ready2],99,487.0692199215064,20,16,5,false,true,17,false,14,true
