action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing2],1,24.42856238674057,0,1,1,false,false,0,false,0,false
[producing2],2,26.45847206666722,0,2,2,false,false,0,false,0,false
[con_ready1],3,27.984654157738827,0,2,2,true,false,0,true,0,false
[consuming1],4,28.412191358525,0,2,1,false,false,1,false,0,false
[con_ready2],5,32.450062126549625,0,2,1,false,true,1,false,0,true
[consuming2],6,32.547463533779535,0,2,0,false,false,1,false,1,false
[producing2],7,52.7832922952702,0,3,1,false,false,1,false,1,false
[con_ready1],8,58.01910296171696,0,3,1,true,false,1,true,1,false
[consuming1],9,59.34392983030266,0,3,0,false,false,2,false,1,false
[producing2],10,64.17112470094223,0,4,1,false,false,2,false,1,false
[con_ready2],11,71.02545088265778,0,4,1,false,true,2,false,1,true
[consuming2],12,71.03848664683649,0,4,0,false,false,2,false,2,false
[producing],13,74.90943833496165,1,4,1,false,false,2,false,2,false
[con_ready1],14,110.41140469093358,1,4,1,true,false,2,true,2,false
[consuming1],15,110.49478952618169,1,4,0,false,false,3,false,2,false
[producing2],16,113.20160013672313,1,5,1,false,false,3,false,2,false
[con_ready1],17,115.73078050838863,1,5,1,true,false,3,true,2,false
[consuming1],18,115.94828831524485,1,5,0,false,false,4,false,2,false
[producing],19,130.94940692453932,2,5,1,false,false,4,false,2,false
[con_ready2],20,132.1530113717625,2,5,1,false,true,4,false,2,true
[consuming2],21,134.79122484713662,2,5,0,false,false,4,false,3,false
[producing2],22,151.4616266849563,2,6,1,false,false,4,false,3,false
[con_ready2],23,155.95102203394273,2,6,1,false,true,4,false,3,true
[consuming2],24,158.63846499193033,2,6,0,false,false,4,false,4,false
[producing2],25,166.32204000975156,2,7,1,false,false,4,false,4,false
[con_ready2],26,169.34482481868187,2,7,1,false,true,4,false,4,true
[consuming2],27,169.37367512181245,2,7,0,false,false,4,false,5,false
[producing],28,179.62132499800802,3,7,1,false,false,4,false,5,false
[con_ready2],29,179.8234786069548,3,7,1,false,true,4,false,5,true
[consuming2],30,182.50141724684235,3,7,0,false,false,4,false,6,false
[producing2],31,186.4291814214142,3,8,1,false,false,4,false,6,false
[producing2],32,210.9718379536479,3,9,2,false,false,4,false,6,false
[con_ready1],33,214.10057948619547,3,9,2,true,false,4,true,6,false
[consuming1],34,214.24116534886235,3,9,1,false,false,5,false,6,false
[con_ready2],35,214.26826948271693,3,9,1,false,true,5,false,6,true
[consuming2],36,214.9458354141141,3,9,0,false,false,5,false,7,false
[producing],37,225.17165523782398,4,9,1,false,false,5,false,7,false
[con_ready2],38,234.31401480936728,4,9,1,false,true,5,false,7,true
[consuming2],39,234.57315954286838,4,9,0,false,false,5,false,8,false
[producing],40,263.66590487548285,5,9,1,false,false,5,false,8,false
[producing2],41,264.7823705953753,5,10,2,false,false,5,false,8,false
[con_ready1],42,272.17929136545115,5,10,2,true,false,5,true,8,false
[consuming1],43,272.4695935096486,5,10,1,false,false,6,false,8,false
[producing2],44,274.03729550347526,5,11,2,false,false,6,false,8,false
[con_ready2],45,279.7391086168383,5,11,2,false,true,6,false,8,true
[consuming2],46,280.45417267292083,5,11,1,false,false,6,false,9,false
[con_ready2],47,285.7252561216067,5,11,1,false,true,6,false,9,true
[consuming2],48,288.24266568744355,5,11,0,false,false,6,false,10,false
[producing],49,316.8719523111453,6,11,1,false,false,6,false,10,false
[con_ready1],50,325.6892306968135,6,11,1,true,false,6,true,10,false
[consuming1],51,326.02013806968284,6,11,0,false,false,7,false,10,false
[producing],52,349.86706806360604,7,11,1,false,false,7,false,10,false
[producing2],53,350.57648515678636,7,12,2,false,false,7,false,10,false
[producing],54,358.372159432653,8,12,3,false,false,7,false,10,false
[con_ready2],55,359.30106935443956,8,12,3,false,true,7,false,10,true
[consuming2],56,360.2509008517841,8,12,2,false,false,7,false,11,false
[con_ready2],57,364.40942292076943,8,12,2,false,true,7,false,11,true
[consuming2],58,365.110977804919,8,12,1,false,false,7,false,12,false
[con_ready2],59,369.8024033809588,8,12,1,false,true,7,false,12,true
[consuming2],60,370.1527699986453,8,12,0,false,false,7,false,13,false
[producing2],61,371.3126902822774,8,13,1,false,false,7,false,13,false
[con_ready1],62,376.50805908218746,8,13,1,true,false,7,true,13,false
[consuming1],63,376.5482517487758,8,13,0,false,false,8,false,13,false
[producing],64,394.4680195043525,9,13,1,false,false,8,false,13,false
[con_ready2],65,396.0408318025758,9,13,1,false,true,8,false,13,true
[consuming2],66,396.88202844551404,9,13,0,false,false,8,false,14,false
[producing],67,410.9776794566137,10,13,1,false,false,8,false,14,false
[producing],68,415.16138020279476,11,13,2,false,false,8,false,14,false
[producing2],69,432.4733559903648,11,14,3,false,false,8,false,14,false
[con_ready1],70,432.67909659423356,11,14,3,true,false,8,true,14,false
[consuming1],71,433.73211914691666,11,14,2,false,false,9,false,14,false
[con_ready2],72,438.5370498951636,11,14,2,false,true,9,false,14,true
[consuming2],73,439.7809317479864,11,14,1,false,false,9,false,15,false
[producing],74,441.3129764449834,12,14,2,false,false,9,false,15,false
[producing2],75,445.3999449338386,12,15,3,false,false,9,false,15,false
[producing],76,449.74469935602843,13,15,4,false,false,9,false,15,false
[producing2],77,453.98236662615386,13,16,5,false,false,9,false,15,false
[con_ready2],78,476.1125859613399,13,16,5,false,true,9,false,15,true
[consuming2],79,476.46567873389404,13,16,4,false,false,9,false,16,false
[con_ready2],80,487.0999248700781,13,16,4,false,true,9,false,16,true
[consuming2],81,487.4850867346402,13,16,3,false,false,9,false,17,false
[producing2],82,493.1505717966656,13,17,4,false,false,9,false,17,false
[con_ready1],83,498.17423365700427,13,17,4,true,false,9,true,17,false
[consuming1],84,499.2593079616857,13,17,3,false,false,10,false,17,false
[con_ready1],85,511.02580124960707,13,17,3,true,false,10,true,17,false
[consuming1],86,511.3696490010179,13,17,2,false,false,11,false,17,false
[con_ready2],87,516.6369290269434,13,17,2,false,true,11,false,17,true
[consuming2],88,520.8955076280769,13,17,1,false,false,11,false,18,false
[con_ready2],89,523.271438839249,13,17,1,false,true,11,false,18,true
[consuming2],90,524.4414720888395,13,17,0,false,false,11,false,19,false
[producing],91,531.5644707988205,14,17,1,false,false,11,false,19,false
[producing],92,536.3737135669182,15,17,2,false,false,11,false,19,false
[producing2],93,536.9927084624644,15,18,3,false,false,11,false,19,false
[producing],94,538.4220093286219,16,18,4,false,false,11,false,19,false
[con_ready2],95,544.4308217080799,16,18,4,false,true,11,false,19,true
[consuming2],96,545.4174807987886,16,18,3,false,false,11,false,20,false
[producing],97,546.9469887720794,17,18,4,false,false,11,false,20,false
[con_ready1],98,547.0987392453216,17,18,4,true,false,11,true,20,false
[consuming1],99,549.0049737418217,17,18,3,false,false,12,false,20,false
[producing2],100,558.4734236105061,17,19,4,false,false,12,false,20,false
[con_ready2],101,563.0065133952229,17,19,4,false,true,12,false,20,true
[consuming2],102,566.3153926533425,17,19,3,false,false,12,false,21,false
[con_ready2],103,568.6811781090122,17,19,3,false,true,12,false,21,true
[consuming2],104,570.3812371856452,17,19,2,false,false,12,false,22,false
[producing],105,578.0359482441547,18,19,3,false,false,12,false,22,false
[con_ready2],106,582.8755881323915,18,19,3,false,true,12,false,22,true
[consuming2],107,583.6115169342863,18,19,2,false,false,12,false,23,false
[producing],108,591.1879500800288,19,19,3,false,false,12,false,23,false
[con_ready1],109,605.2255730054904,19,19,3,true,false,12,true,23,false
[consuming1],110,606.5819229199393,19,19,2,false,false,13,false,23,false
[producing2],111,608.9432267103836,19,20,3,false,false,13,false,23,false
[producing2],112,618.9558146787348,19,21,4,false,false,13,false,23,false
[producing2],113,623.8117252774849,19,22,5,false,false,13,false,23,false
[con_ready1],114,630.011654403757,19,22,5,true,false,13,true,23,false
[consuming1],115,630.728137505197,19,22,4,false,false,14,false,23,false
[producing],116,658.0505204265359,20,22,5,false,false,14,false,23,false
[con_ready2],117,664.4408549086033,20,22,5,false,true,14,false,23,true
[consuming2],118,664.7723903571889,20,22,4,false,false,14,false,24,false
[producing],119,672.1983113377609,21,22,5,false,false,14,false,24,false
[con_ready1],120,672.6302463150477,21,22,5,true,false,14,true,24,false
[consuming1],121,673.9054711078024,21,22,4,false,false,15,false,24,false
[producing],122,683.3305355981073,22,22,5,false,false,15,false,24,false
[con_ready2],123,693.3889414497348,22,22,5,false,true,15,false,24,true
[consuming2],124,693.4357829662919,22,22,4,false,false,15,false,25,false
[producing],125,693.9275987536652,23,22,5,false,false,15,false,25,false
[producing2],126,695.6480022308705,23,23,6,false,false,15,false,25,false
[con_ready2],127,699.1327605072838,23,23,6,false,true,15,false,25,true
[consuming2],128,699.3447440916142,23,23,5,false,false,15,false,26,false
[producing],129,702.4893956940053,24,23,6,false,false,15,false,26,false
[con_ready2],130,703.7052831677851,24,23,6,false,true,15,false,26,true
[consuming2],131,705.7443961115719,24,23,5,false,false,15,false,27,false
[con_ready1],132,706.3150807871264,24,23,5,true,false,15,true,27,false
[consuming1],133,710.827663880219,24,23,4,false,false,16,false,27,false
[producing],134,711.3611578292707,25,23,5,false,false,16,false,27,false
[con_ready2],135,718.370334635648,25,23,5,false,true,16,false,27,true
[consuming2],136,718.4724931054757,25,23,4,false,false,16,false,28,false
