action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
[forwarding],87,439.0438178037369,8,8,9,2,false,false,false,8,false,8,false,7,false,6,1,false,false,false,3,false,2,false,0,false
[producing3],88,440.2621738321326,8,8,10,3,false,false,false,8,false,8,false,7,false,6,1,false,false,false,3,false,2,false,0,false
[forwarding],89,447.7005488591875,8,8,10,3,false,false,false,8,false,8,false,7,false,7,2,false,false,false,3,false,2,false,0,false
[con_ready11],90,450.8740813727101,8,8,10,3,false,false,false,8,false,8,false,7,false,7,2,true,false,false,3,true,2,false,0,false
[consuming11],91,451.917441991952,8,8,10,3,false,false,false,8,false,8,false,7,false,7,1,false,false,false,4,false,2,false,0,false
[con_ready1],92,455.86356820250217,8,8,10,3,true,false,false,8,true,8,false,7,false,7,1,false,false,false,4,false,2,false,0,false
[consuming1],93,456.2989809046972,8,8,10,2,false,false,false,9,false,8,false,7,false,7,1,false,false,false,4,false,2,false,0,false
[producing],94,457.824922560351,9,8,10,3,false,false,false,9,false,8,false,7,false,7,1,false,false,false,4,false,2,false,0,false
[con_ready2],95,492.24930624625205,9,8,10,3,false,true,false,9,false,8,true,7,false,7,1,false,false,false,4,false,2,false,0,false
[consuming2],96,494.97494265922074,9,8,10,2,false,false,false,9,false,9,false,7,false,7,1,false,false,false,4,false,2,false,0,false
[con_ready13],97,495.01976989571364,9,8,10,2,false,false,false,9,false,9,false,7,false,7,1,false,false,true,4,false,2,false,0,true
[consuming13],98,495.80886184433376,9,8,10,2,false,false,false,9,false,9,false,7,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready3],99,501.3799081113102,9,8,10,2,false,false,true,9,false,9,false,7,true,7,0,false,false,false,4,false,2,false,1,false
[consuming3],100,502.8859982365171,9,8,10,1,false,false,false,9,false,9,false,8,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready1],101,504.3766764365384,9,8,10,1,true,false,false,9,true,9,false,8,false,7,0,false,false,false,4,false,2,false,1,false
[consuming1],102,505.0491448569347,9,8,10,0,false,false,false,10,false,9,false,8,false,7,0,false,false,false,4,false,2,false,1,false
[producing],103,533.1364137082945,10,8,10,1,false,false,false,10,false,9,false,8,false,7,0,false,false,false,4,false,2,false,1,false
[producing3],104,534.3409995682638,10,8,11,2,false,false,false,10,false,9,false,8,false,7,0,false,false,false,4,false,2,false,1,false
[producing3],105,535.6515060881458,10,8,12,3,false,false,false,10,false,9,false,8,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready3],106,538.5118285906038,10,8,12,3,false,false,true,10,false,9,false,8,true,7,0,false,false,false,4,false,2,false,1,false
[consuming3],107,541.2957717191399,10,8,12,2,false,false,false,10,false,9,false,9,false,7,0,false,false,false,4,false,2,false,1,false
[producing3],108,543.0649920511632,10,8,13,3,false,false,false,10,false,9,false,9,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready3],109,543.7455158570963,10,8,13,3,false,false,true,10,false,9,false,9,true,7,0,false,false,false,4,false,2,false,1,false
[consuming3],110,547.539389905224,10,8,13,2,false,false,false,10,false,9,false,10,false,7,0,false,false,false,4,false,2,false,1,false
[producing2],111,547.6261002911671,10,9,13,3,false,false,false,10,false,9,false,10,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready1],112,558.1567161135154,10,9,13,3,true,false,false,10,true,9,false,10,false,7,0,false,false,false,4,false,2,false,1,false
[consuming1],113,558.8273761330839,10,9,13,2,false,false,false,11,false,9,false,10,false,7,0,false,false,false,4,false,2,false,1,false
[producing],114,559.3879293218497,11,9,13,3,false,false,false,11,false,9,false,10,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready3],115,568.7545702082886,11,9,13,3,false,false,true,11,false,9,false,10,true,7,0,false,false,false,4,false,2,false,1,false
[consuming3],116,569.0444268546031,11,9,13,2,false,false,false,11,false,9,false,11,false,7,0,false,false,false,4,false,2,false,1,false
[producing],117,575.4225617966955,12,9,13,3,false,false,false,11,false,9,false,11,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready3],118,578.3010722420299,12,9,13,3,false,false,true,11,false,9,false,11,true,7,0,false,false,false,4,false,2,false,1,false
[consuming3],119,579.7531892803967,12,9,13,2,false,false,false,11,false,9,false,12,false,7,0,false,false,false,4,false,2,false,1,false
[con_ready2],120,582.768914449857,12,9,13,2,false,true,false,11,false,9,true,12,false,7,0,false,false,false,4,false,2,false,1,false
[consuming2],121,583.2811165141167,12,9,13,1,false,false,false,11,false,10,false,12,false,7,0,false,false,false,4,false,2,false,1,false
[producing2],122,584.1395868788451,12,10,13,2,false,false,false,11,false,10,false,12,false,7,0,false,false,false,4,false,2,false,1,false
[forwarding],123,588.7111019535587,12,10,13,2,false,false,false,11,false,10,false,12,false,8,1,false,false,false,4,false,2,false,1,false
[con_ready3],124,591.730797329141,12,10,13,2,false,false,true,11,false,10,false,12,true,8,1,false,false,false,4,false,2,false,1,false
[consuming3],125,593.2426842094529,12,10,13,1,false,false,false,11,false,10,false,13,false,8,1,false,false,false,4,false,2,false,1,false
[producing2],126,595.7679973069677,12,11,13,2,false,false,false,11,false,10,false,13,false,8,1,false,false,false,4,false,2,false,1,false
[con_ready3],127,598.4446761807455,12,11,13,2,false,false,true,11,false,10,false,13,true,8,1,false,false,false,4,false,2,false,1,false
[consuming3],128,599.978990690933,12,11,13,1,false,false,false,11,false,10,false,14,false,8,1,false,false,false,4,false,2,false,1,false
[producing3],129,602.9648535933673,12,11,14,2,false,false,false,11,false,10,false,14,false,8,1,false,false,false,4,false,2,false,1,false
[producing3],130,603.7781658361624,12,11,15,3,false,false,false,11,false,10,false,14,false,8,1,false,false,false,4,false,2,false,1,false
[con_ready12],131,603.860211316873,12,11,15,3,false,false,false,11,false,10,false,14,false,8,1,false,true,false,4,false,2,true,1,false
[consuming12],132,604.1591969335826,12,11,15,3,false,false,false,11,false,10,false,14,false,8,0,false,false,false,4,false,3,false,1,false
[forwarding],133,625.4437613482281,12,11,15,3,false,false,false,11,false,10,false,14,false,9,1,false,false,false,4,false,3,false,1,false
[con_ready2],134,629.8855813413394,12,11,15,3,false,true,false,11,false,10,true,14,false,9,1,false,false,false,4,false,3,false,1,false
[consuming2],135,630.1566796431747,12,11,15,2,false,false,false,11,false,11,false,14,false,9,1,false,false,false,4,false,3,false,1,false
[con_ready12],136,634.5065370033099,12,11,15,2,false,false,false,11,false,11,false,14,false,9,1,false,true,false,4,false,3,true,1,false
[con_ready3],137,635.1705202472103,12,11,15,2,false,false,true,11,false,11,false,14,true,9,1,false,true,false,4,false,3,true,1,false
[consuming12],138,635.1716332516268,12,11,15,2,false,false,true,11,false,11,false,14,true,9,0,false,false,false,4,false,4,false,1,false
[consuming3],139,635.5383150692896,12,11,15,1,false,false,false,11,false,11,false,15,false,9,0,false,false,false,4,false,4,false,1,false
[producing],140,635.7815065160821,13,11,15,2,false,false,false,11,false,11,false,15,false,9,0,false,false,false,4,false,4,false,1,false
[producing],141,636.4947412406812,14,11,15,3,false,false,false,11,false,11,false,15,false,9,0,false,false,false,4,false,4,false,1,false
[con_ready3],142,655.0520182809412,14,11,15,3,false,false,true,11,false,11,false,15,true,9,0,false,false,false,4,false,4,false,1,false
[consuming3],143,656.171895206016,14,11,15,2,false,false,false,11,false,11,false,16,false,9,0,false,false,false,4,false,4,false,1,false
[con_ready3],144,658.4057584191854,14,11,15,2,false,false,true,11,false,11,false,16,true,9,0,false,false,false,4,false,4,false,1,false
[forwarding],145,658.8616197737464,14,11,15,2,false,false,true,11,false,11,false,16,true,10,1,false,false,false,4,false,4,false,1,false
[consuming3],146,659.3376597088896,14,11,15,1,false,false,false,11,false,11,false,17,false,10,1,false,false,false,4,false,4,false,1,false
[producing2],147,660.1105201547476,14,12,15,2,false,false,false,11,false,11,false,17,false,10,1,false,false,false,4,false,4,false,1,false
[producing3],148,660.2685603295389,14,12,16,3,false,false,false,11,false,11,false,17,false,10,1,false,false,false,4,false,4,false,1,false
[forwarding],149,683.9659914063649,14,12,16,3,false,false,false,11,false,11,false,17,false,11,2,false,false,false,4,false,4,false,1,false
