action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,24.23031953919562,1,1,false,false,0,false,0,false
[con_ready2],2,37.877973782071436,1,1,false,true,0,false,0,true
[consuming2],3,41.75533319665745,1,0,false,false,0,false,1,false
[producing],4,95.09269232827987,2,1,false,false,0,false,1,false
[con_ready1],5,96.53500473841436,2,2,false,false,0,true,1,false
[producing],6,105.02043969970777,3,2,true,false,0,true,1,false
[consuming1],7,106.1246818312962,3,1,false,false,1,false,1,false
[con_ready2],8,107.50562108013442,3,1,false,true,1,false,1,true
[consuming2],9,110.40849554110336,3,0,false,false,1,false,2,false
[producing],10,323.3075424179509,4,1,false,false,1,false,2,false
[con_ready2],11,323.7468726923256,4,1,false,true,1,false,2,true
[consuming2],12,324.3730247878857,4,0,false,false,1,false,3,false
[producing],13,353.54612001562475,5,1,false,false,1,false,3,false
[con_ready2],14,362.52311091816694,5,1,false,true,1,false,3,true
[consuming2],15,363.0817687417919,5,0,false,false,1,false,4,false
[producing],16,409.6029997574869,6,1,false,false,1,false,4,false
[con_ready2],17,412.842813828254,6,1,false,true,1,false,4,true
[consuming2],18,412.8884857171849,6,0,false,false,1,false,5,false
[producing],19,431.98996013354025,7,1,false,false,1,false,5,false
[con_ready1],20,433.88691992149114,7,2,false,false,1,true,5,false
[con_ready2],21,446.583432145779,7,2,false,true,1,true,5,true
[consuming2],22,447.14812608270114,7,1,false,false,1,true,6,false
[con_ready2],23,458.15998735664255,7,1,false,true,1,true,6,true
[consuming2],24,458.7708134578173,7,0,false,false,1,true,7,false
[producing],25,472.6987298849144,8,1,false,false,1,true,7,false
[con_ready2],26,495.37117614987227,8,1,false,true,1,true,7,true
[consuming2],27,495.9604313144693,8,0,false,false,1,true,8,false
[producing],28,501.7806576216995,9,1,false,false,1,true,8,false
[con_ready2],29,508.5061500151481,9,1,false,true,1,true,8,true
[consuming2],30,510.57933865780655,9,0,false,false,1,true,9,false
[producing],31,527.6876907311612,10,1,false,false,1,true,9,false
[con_ready2],32,553.3697178696325,10,1,false,true,1,true,9,true
[consuming2],33,553.3772574002592,10,0,false,false,1,true,10,false
[producing],34,553.6540657800858,11,1,false,false,1,true,10,false
[con_ready2],35,569.6244333524513,11,1,false,true,1,true,10,true
[consuming2],36,570.095666196797,11,0,false,false,1,true,11,false
[producing],37,587.6137775749792,12,1,false,false,1,true,11,false
[producing],38,603.39335763822,13,1,true,false,1,true,11,false
[consuming1],39,603.9936511862272,13,0,false,false,2,false,11,false
[producing],40,612.5168857733022,14,1,false,false,2,false,11,false
[con_ready2],41,613.1961091233662,14,1,false,true,2,false,11,true
[consuming2],42,618.3133486639317,14,0,false,false,2,false,12,false
[producing],43,648.7311869861154,15,1,false,false,2,false,12,false
[producing],44,655.8551566907622,16,1,true,false,2,false,12,false
