,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14,s_X15,s_X16,s_X17,s_X18,s_X19
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X14_GET_req],2,19,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
3,REST_X14,3,19,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0
4,REST_X14,4,19,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0
5,[X14_X19_GET_req],5,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1
6,REST_X19,6,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,2
7,REST_X19,7,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,5
8,[X19_X13_GET_req],8,19,0,0,0,0,0,0,0,0,0,0,0,0,1,10,0,0,0,0,6
9,REST_X13,9,19,0,0,0,0,0,0,0,0,0,0,0,0,2,10,0,0,0,0,6
10,REST_X13,10,19,0,0,0,0,0,0,0,0,0,0,0,0,5,10,0,0,0,0,6
11,[X13_X12_GET_req],11,19,0,0,0,0,0,0,0,0,0,0,0,1,6,10,0,0,0,0,6
12,REST_X12,12,19,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,0,0,0,6
13,REST_X12,13,19,0,0,0,0,0,0,0,0,0,0,0,5,6,10,0,0,0,0,6
14,[X12_X11_GET_req],14,19,0,0,0,0,0,0,0,0,0,0,1,6,6,10,0,0,0,0,6
15,REST_X11,15,19,0,0,0,0,0,0,0,0,0,0,2,6,6,10,0,0,0,0,6
16,REST_X11,16,19,0,0,0,0,0,0,0,0,0,0,3,6,6,10,0,0,0,0,6
17,[X12_X11_GET_resp_2xx],17,19,0,0,0,0,0,0,0,0,0,0,0,3,6,10,0,0,0,0,6
18,[X13_X12_GET_resp_2xx],18,19,0,0,0,0,0,0,0,0,0,0,0,0,3,10,0,0,0,0,6
19,[X19_X13_GET_resp_2xx],19,19,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,3
20,[X14_X19_GET_resp_2xx],20,19,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0
21,[X0_X14_GET_resp_2xx],21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,REST_X0,22,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,[X0_X18_GET_req],23,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
24,REST_X18,24,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
25,REST_X18,25,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
26,[X18_X4_GET_req],26,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
27,REST_X4,27,11,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
28,REST_X4,28,11,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
29,[X4_X1_GET_req],29,11,1,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
30,REST_X1,30,11,2,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
31,REST_X1,31,11,3,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
32,[X4_X1_GET_resp_2xx],32,11,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
33,[X18_X4_GET_resp_2xx],33,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0
34,[X0_X18_GET_resp_2xx],34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,REST_X0,35,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,[X0_X15_GET_req],36,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
37,REST_X15,37,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0
38,REST_X15,38,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0
39,[X15_X10_GET_req],39,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10,0,0,0,0
40,REST_X10,40,3,0,0,0,0,0,0,0,0,0,2,0,0,0,0,10,0,0,0,0
41,REST_X10,41,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,10,0,0,0,0
42,[X15_X10_GET_resp_2xx],42,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0
43,[X0_X15_GET_resp_2xx],43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,REST_X0,44,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,[X0_X18_GET_req],45,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
46,REST_X18,46,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
47,REST_X18,47,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0
48,[X18_X4_GET_req],48,11,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0
