action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing2],1,0.41073236049968176,0,1,1,false,false,0,false,0,false
[producing2],2,4.686821630434878,0,2,2,false,false,0,false,0,false
[producing],3,9.696792820412842,1,2,3,false,false,0,false,0,false
[producing2],4,18.67795682860929,1,3,4,false,false,0,false,0,false
[producing],5,39.54477235038121,2,3,5,false,false,0,false,0,false
[producing2],6,39.732444279129126,2,4,6,false,false,0,false,0,false
[con_ready1],7,42.45253755988897,2,4,6,true,false,0,true,0,false
[consuming1],8,43.246900610142454,2,4,5,false,false,1,false,0,false
[con_ready1],9,43.582878522138195,2,4,5,true,false,1,true,0,false
[consuming1],10,44.49569197488242,2,4,4,false,false,2,false,0,false
[producing2],11,47.27837043612581,2,5,5,false,false,2,false,0,false
[con_ready1],12,56.802503645970056,2,5,5,true,false,2,true,0,false
[consuming1],13,57.19579696713064,2,5,4,false,false,3,false,0,false
[producing2],14,62.131170410549046,2,6,5,false,false,3,false,0,false
[con_ready2],15,65.85944806765362,2,6,5,false,true,3,false,0,true
[consuming2],16,67.34682215196557,2,6,4,false,false,3,false,1,false
[con_ready1],17,70.68302760445671,2,6,4,true,false,3,true,1,false
[consuming1],18,74.80096622993936,2,6,3,false,false,4,false,1,false
[producing],19,92.46861916846478,3,6,4,false,false,4,false,1,false
[con_ready2],20,93.6990950984307,3,6,4,false,true,4,false,1,true
[consuming2],21,93.79380906159435,3,6,3,false,false,4,false,2,false
[con_ready2],22,119.41554349557337,3,6,3,false,true,4,false,2,true
[consuming2],23,119.71830352875503,3,6,2,false,false,4,false,3,false
[producing],24,121.53720062489046,4,6,3,false,false,4,false,3,false
[con_ready2],25,136.51824700717216,4,6,3,false,true,4,false,3,true
[consuming2],26,137.85164887452993,4,6,2,false,false,4,false,4,false
[producing],27,138.00559955146625,5,6,3,false,false,4,false,4,false
[con_ready1],28,145.0991917053602,5,6,3,true,false,4,true,4,false
[consuming1],29,145.47134538039379,5,6,2,false,false,5,false,4,false
[con_ready2],30,151.4578207241764,5,6,2,false,true,5,false,4,true
[consuming2],31,156.2062858432135,5,6,1,false,false,5,false,5,false
[producing],32,162.62039033591856,6,6,2,false,false,5,false,5,false
[producing2],33,172.72842325452922,6,7,3,false,false,5,false,5,false
[con_ready2],34,180.60418817770676,6,7,3,false,true,5,false,5,true
[consuming2],35,181.6257515527094,6,7,2,false,false,5,false,6,false
[producing],36,185.5589608491755,7,7,3,false,false,5,false,6,false
[con_ready2],37,194.10436186604727,7,7,3,false,true,5,false,6,true
[consuming2],38,196.4685465505427,7,7,2,false,false,5,false,7,false
[producing],39,198.96760534340484,8,7,3,false,false,5,false,7,false
[producing],40,212.15694703719674,9,7,4,false,false,5,false,7,false
[producing2],41,227.9551204589878,9,8,5,false,false,5,false,7,false
[con_ready1],42,231.93562223381463,9,8,5,true,false,5,true,7,false
[consuming1],43,232.48797644578178,9,8,4,false,false,6,false,7,false
[producing2],44,232.96026009239085,9,9,5,false,false,6,false,7,false
[con_ready2],45,234.49570393634838,9,9,5,false,true,6,false,7,true
[consuming2],46,236.49770685656284,9,9,4,false,false,6,false,8,false
[producing],47,245.35706342073195,10,9,5,false,false,6,false,8,false
[producing2],48,245.4185690764764,10,10,6,false,false,6,false,8,false
