action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,12.581897505175522,1,1,false,false,0,false,0,false
[producing],2,13.907133710390458,2,2,false,false,0,false,0,false
[con_ready2],3,30.062604874752715,2,2,false,true,0,false,0,true
[consuming2],4,30.794990647597768,2,1,false,false,0,false,1,false
[con_ready1],5,33.41532251236347,2,1,true,false,0,true,1,false
[consuming1],6,34.631434397111995,2,0,false,false,1,false,1,false
[producing],7,65.74402717591336,3,1,false,false,1,false,1,false
[producing],8,69.30111972194229,4,2,false,false,1,false,1,false
[con_ready2],9,87.44595494588673,4,2,false,true,1,false,1,true
[consuming2],10,88.23616253008203,4,1,false,false,1,false,2,false
[con_ready1],11,111.98556669252065,4,1,true,false,1,true,2,false
[consuming1],12,112.91891996238343,4,0,false,false,2,false,2,false
[producing],13,156.08112309378419,5,1,false,false,2,false,2,false
[con_ready1],14,156.6470251227912,5,1,true,false,2,true,2,false
[consuming1],15,158.0346482320631,5,0,false,false,3,false,2,false
[producing],16,199.01093234045914,6,1,false,false,3,false,2,false
[con_ready1],17,234.72292185016266,6,1,true,false,3,true,2,false
[consuming1],18,236.46454221688577,6,0,false,false,4,false,2,false
[producing],19,293.44946900608767,7,1,false,false,4,false,2,false
[con_ready1],20,306.93355314405926,7,1,true,false,4,true,2,false
[consuming1],21,307.02575842426063,7,0,false,false,5,false,2,false
[producing],22,376.9582062737369,8,1,false,false,5,false,2,false
[con_ready2],23,385.9057507218737,8,1,false,true,5,false,2,true
[consuming2],24,387.88790121244205,8,0,false,false,5,false,3,false
[producing],25,436.1032734231853,9,1,false,false,5,false,3,false
[con_ready1],26,438.60051063121836,9,1,true,false,5,true,3,false
[consuming1],27,439.7618333785043,9,0,false,false,6,false,3,false
[producing],28,459.9554836879874,10,1,false,false,6,false,3,false
[con_ready1],29,469.202783358511,10,1,true,false,6,true,3,false
[consuming1],30,469.501387647189,10,0,false,false,7,false,3,false
