action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,14.35336207712886,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],2,18.511186447937423,1,0,1,2,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing2],3,36.28002100339904,1,1,1,3,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],4,37.03595843203667,1,1,1,3,false,false,true,0,false,0,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],5,39.62388387718859,1,1,1,2,false,false,false,0,false,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready1],6,40.45150903324287,1,1,1,2,true,false,false,0,true,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[consuming1],7,40.77798292274189,1,1,1,1,false,false,false,1,false,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[producing],8,43.20722512069226,2,1,1,2,false,false,false,1,false,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[producing3],9,44.04082358462586,2,1,2,3,false,false,false,1,false,0,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],10,48.38635587515046,2,1,2,3,false,false,false,1,false,0,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready12],11,48.87846923667821,2,1,2,3,false,false,false,1,false,0,false,1,false,1,1,false,true,false,0,false,0,true,0,false
[consuming12],12,49.677365624253106,2,1,2,3,false,false,false,1,false,0,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],13,55.1769738755652,2,2,2,4,false,false,false,1,false,0,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],14,56.01292288265962,2,3,2,5,false,false,false,1,false,0,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],15,90.34891322754783,2,3,2,5,false,true,false,1,false,0,true,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],16,91.38351368427172,2,3,2,4,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],17,97.75141815484079,2,4,2,5,false,false,false,1,false,1,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],18,102.77746422322932,2,4,2,5,false,true,false,1,false,1,true,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],19,103.47299497982011,2,4,2,4,false,false,false,1,false,2,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],20,109.64021395735111,2,4,2,4,false,true,false,1,false,2,true,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],21,110.56761121221925,2,4,2,3,false,false,false,1,false,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready1],22,111.25492674798829,2,4,2,3,true,false,false,1,true,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming1],23,115.26103308793162,2,4,2,2,false,false,false,2,false,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],24,115.50111723564224,2,5,2,3,false,false,false,2,false,3,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],25,118.38682547385838,2,5,2,3,false,true,false,2,false,3,true,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],26,119.87267993262277,2,5,2,2,false,false,false,2,false,4,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing3],27,124.0203976868249,2,5,3,3,false,false,false,2,false,4,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],28,129.68465260859742,2,6,3,4,false,false,false,2,false,4,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing2],29,138.2869221278519,2,7,3,5,false,false,false,2,false,4,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready1],30,156.97933001956076,2,7,3,5,true,false,false,2,true,4,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[consuming1],31,161.1243035715474,2,7,3,4,false,false,false,3,false,4,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[producing],32,163.11632453931662,3,7,3,5,false,false,false,3,false,4,false,1,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready3],33,179.5921714570926,3,7,3,5,false,false,true,3,false,4,false,1,true,1,0,false,false,false,0,false,1,false,0,false
[consuming3],34,180.87308525082187,3,7,3,4,false,false,false,3,false,4,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[producing],35,182.92108911127715,4,7,3,5,false,false,false,3,false,4,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],36,195.07175251404098,4,7,3,5,false,true,false,3,false,4,true,2,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],37,195.36168385908874,4,7,3,4,false,false,false,3,false,5,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[producing3],38,196.8432343628132,4,7,4,5,false,false,false,3,false,5,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready2],39,201.12906475380368,4,7,4,5,false,true,false,3,false,5,true,2,false,1,0,false,false,false,0,false,1,false,0,false
[consuming2],40,201.33273656537804,4,7,4,4,false,false,false,3,false,6,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready1],41,206.47120113983644,4,7,4,4,true,false,false,3,true,6,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[consuming1],42,206.49350879346426,4,7,4,3,false,false,false,4,false,6,false,2,false,1,0,false,false,false,0,false,1,false,0,false
[con_ready3],43,209.62828962782214,4,7,4,3,false,false,true,4,false,6,false,2,true,1,0,false,false,false,0,false,1,false,0,false
[consuming3],44,211.6474289168103,4,7,4,2,false,false,false,4,false,6,false,3,false,1,0,false,false,false,0,false,1,false,0,false
[forwarding],45,214.34776088681957,4,7,4,2,false,false,false,4,false,6,false,3,false,2,1,false,false,false,0,false,1,false,0,false
[producing3],46,214.4788623724175,4,7,5,3,false,false,false,4,false,6,false,3,false,2,1,false,false,false,0,false,1,false,0,false
[con_ready13],47,216.62024083815194,4,7,5,3,false,false,false,4,false,6,false,3,false,2,1,false,false,true,0,false,1,false,0,true
[consuming13],48,218.15259319614944,4,7,5,3,false,false,false,4,false,6,false,3,false,2,0,false,false,false,0,false,1,false,1,false
[producing3],49,220.9892954015032,4,7,6,4,false,false,false,4,false,6,false,3,false,2,0,false,false,false,0,false,1,false,1,false
[producing3],50,221.7555736753171,4,7,7,5,false,false,false,4,false,6,false,3,false,2,0,false,false,false,0,false,1,false,1,false
[forwarding],51,233.491942562462,4,7,7,5,false,false,false,4,false,6,false,3,false,3,1,false,false,false,0,false,1,false,1,false
[con_ready1],52,240.32758555815735,4,7,7,5,true,false,false,4,true,6,false,3,false,3,1,false,false,false,0,false,1,false,1,false
[consuming1],53,240.95910079900435,4,7,7,4,false,false,false,5,false,6,false,3,false,3,1,false,false,false,0,false,1,false,1,false
[con_ready3],54,244.43362341420058,4,7,7,4,false,false,true,5,false,6,false,3,true,3,1,false,false,false,0,false,1,false,1,false
[consuming3],55,244.453811150653,4,7,7,3,false,false,false,5,false,6,false,4,false,3,1,false,false,false,0,false,1,false,1,false
[con_ready11],56,245.88372438425657,4,7,7,3,false,false,false,5,false,6,false,4,false,3,1,true,false,false,0,true,1,false,1,false
[consuming11],57,246.10515590853626,4,7,7,3,false,false,false,5,false,6,false,4,false,3,0,false,false,false,1,false,1,false,1,false
[producing3],58,247.18892513374806,4,7,8,4,false,false,false,5,false,6,false,4,false,3,0,false,false,false,1,false,1,false,1,false
[producing2],59,248.09932298121652,4,8,8,5,false,false,false,5,false,6,false,4,false,3,0,false,false,false,1,false,1,false,1,false
[con_ready2],60,250.0425767944957,4,8,8,5,false,true,false,5,false,6,true,4,false,3,0,false,false,false,1,false,1,false,1,false
[consuming2],61,250.0426689083344,4,8,8,4,false,false,false,5,false,7,false,4,false,3,0,false,false,false,1,false,1,false,1,false
[con_ready1],62,252.39336632955812,4,8,8,4,true,false,false,5,true,7,false,4,false,3,0,false,false,false,1,false,1,false,1,false
[consuming1],63,253.27198944861556,4,8,8,3,false,false,false,6,false,7,false,4,false,3,0,false,false,false,1,false,1,false,1,false
[producing],64,258.16377014897,5,8,8,4,false,false,false,6,false,7,false,4,false,3,0,false,false,false,1,false,1,false,1,false
[forwarding],65,260.19415472881644,5,8,8,4,false,false,false,6,false,7,false,4,false,4,1,false,false,false,1,false,1,false,1,false
[producing3],66,269.5610084845372,5,8,9,5,false,false,false,6,false,7,false,4,false,4,1,false,false,false,1,false,1,false,1,false
[con_ready2],67,271.0301749157273,5,8,9,5,false,true,false,6,false,7,true,4,false,4,1,false,false,false,1,false,1,false,1,false
[consuming2],68,271.98033290096777,5,8,9,4,false,false,false,6,false,8,false,4,false,4,1,false,false,false,1,false,1,false,1,false
[con_ready1],69,272.81010895804,5,8,9,4,true,false,false,6,true,8,false,4,false,4,1,false,false,false,1,false,1,false,1,false
[consuming1],70,273.6450758908869,5,8,9,3,false,false,false,7,false,8,false,4,false,4,1,false,false,false,1,false,1,false,1,false
[producing3],71,274.20066208223676,5,8,10,4,false,false,false,7,false,8,false,4,false,4,1,false,false,false,1,false,1,false,1,false
[con_ready13],72,277.8280011732344,5,8,10,4,false,false,false,7,false,8,false,4,false,4,1,false,false,true,1,false,1,false,1,true
[consuming13],73,278.04341576327766,5,8,10,4,false,false,false,7,false,8,false,4,false,4,0,false,false,false,1,false,1,false,2,false
