action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,20.033696158472925,1,0,0,1,false,false,false,0,false,0,false,0,false
[producing],2,20.077668138781625,2,0,0,2,false,false,false,0,false,0,false,0,false
[producing],3,22.124139508663852,3,0,0,3,false,false,false,0,false,0,false,0,false
[producing3],4,23.743903255642543,3,0,1,4,false,false,false,0,false,0,false,0,false
[producing2],5,24.2847231249121,3,1,1,5,false,false,false,0,false,0,false,0,false
[con_ready2],6,45.3882442743389,3,1,1,5,false,true,false,0,false,0,true,0,false
[consuming2],7,46.91744008003597,3,1,1,4,false,false,false,0,false,1,false,0,false
[con_ready3],8,49.64072519539204,3,1,1,4,false,false,true,0,false,1,false,0,true
[consuming3],9,50.82132596438885,3,1,1,3,false,false,false,0,false,1,false,1,false
[producing3],10,56.84996232742323,3,1,2,3,true,false,false,0,false,1,false,1,false
