action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,89.43521453690819,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],2,90.52993236113011,1,1,false,true,false,0,false,0,true,0,false
[consuming2],3,91.26474079751215,1,0,false,false,false,0,false,1,false,0,false
[producing],4,151.11003336509037,2,1,false,false,false,0,false,1,false,0,false
[con_ready2],5,151.63476226755236,2,1,false,true,false,0,false,1,true,0,false
[consuming2],6,154.95793313270207,2,0,false,false,false,0,false,2,false,0,false
[producing],7,246.38667128852376,3,1,false,false,false,0,false,2,false,0,false
[con_ready2],8,259.05225269960454,3,1,false,true,false,0,false,2,true,0,false
[consuming2],9,261.11878434839883,3,0,false,false,false,0,false,3,false,0,false
[producing],10,292.62527475704434,4,1,false,false,false,0,false,3,false,0,false
[con_ready3],11,309.54638793852206,4,1,false,false,true,0,false,3,false,0,true
[consuming3],12,310.3924463858728,4,0,false,false,false,0,false,3,false,1,false
[producing],13,311.42547477234405,5,1,false,false,false,0,false,3,false,1,false
[con_ready2],14,312.9793984979936,5,1,false,true,false,0,false,3,true,1,false
[consuming2],15,313.7209231996302,5,0,false,false,false,0,false,4,false,1,false
[producing],16,316.18194913859725,6,1,false,false,false,0,false,4,false,1,false
[producing],17,333.1012730220147,7,1,true,false,false,0,false,4,false,1,false
