action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,37.46770729163743,1,1,false,false,false,0,false,0,false,0,false
[con_ready3],2,38.76084837225085,1,1,false,false,true,0,false,0,false,0,true
[consuming3],3,39.11533112042816,1,0,false,false,false,0,false,0,false,1,false
[producing],4,40.406031951483854,2,1,false,false,false,0,false,0,false,1,false
[con_ready1],5,44.98848750243444,2,2,false,false,false,0,true,0,false,1,false
[con_ready2],6,93.96368937941924,2,2,false,true,false,0,true,0,true,1,false
[consuming2],7,94.39816408530639,2,1,false,false,false,0,true,1,false,1,false
[con_ready2],8,99.23643819333839,2,1,false,true,false,0,true,1,true,1,false
[consuming2],9,104.1605440337125,2,0,false,false,false,0,true,2,false,1,false
[producing],10,134.30873363787714,3,1,false,false,false,0,true,2,false,1,false
[producing],11,137.18452226851707,4,1,true,false,false,0,true,2,false,1,false
[consuming1],12,140.5290872574422,4,0,false,false,false,1,false,2,false,1,false
[producing],13,148.2709588711804,5,1,false,false,false,1,false,2,false,1,false
[con_ready2],14,155.51058192351306,5,1,false,true,false,1,false,2,true,1,false
[consuming2],15,157.0639056765989,5,0,false,false,false,1,false,3,false,1,false
[producing],16,174.31753412275143,6,1,false,false,false,1,false,3,false,1,false
[con_ready1],17,182.4715597803476,6,2,false,false,false,1,true,3,false,1,false
[producing],18,189.9409450481305,7,2,true,false,false,1,true,3,false,1,false
[consuming1],19,190.9420430295495,7,1,false,false,false,2,false,3,false,1,false
[con_ready1],20,208.58215937628717,7,2,false,false,false,2,true,3,false,1,false
[con_ready3],21,219.66722920008638,7,2,false,false,true,2,true,3,false,1,true
[consuming3],22,222.02429989644364,7,1,false,false,false,2,true,3,false,2,false
[con_ready2],23,228.30076550471398,7,1,false,true,false,2,true,3,true,2,false
[consuming2],24,228.47212577254518,7,0,false,false,false,2,true,4,false,2,false
[producing],25,241.53006676693602,8,1,false,false,false,2,true,4,false,2,false
[producing],26,247.06836374706913,9,1,true,false,false,2,true,4,false,2,false
[consuming1],27,247.28613274763484,9,0,false,false,false,3,false,4,false,2,false
[producing],28,255.0489269106311,10,1,false,false,false,3,false,4,false,2,false
[producing],29,260.2369759961963,11,1,true,false,false,3,false,4,false,2,false
