action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,2.4284162473419117,1,1,false,false,0,false,0,false
[con_ready1],2,15.979377931385368,1,2,false,false,0,true,0,false
[con_ready2],3,31.478829871539318,1,2,false,true,0,true,0,true
[consuming2],4,33.089824993906845,1,1,false,false,0,true,1,false
[producing],5,38.51406390238729,2,1,true,false,0,true,1,false
[consuming1],6,38.885034884779124,2,0,false,false,1,false,1,false
[producing],7,151.05363552276015,3,1,false,false,1,false,1,false
[con_ready2],8,151.38633515062557,3,1,false,true,1,false,1,true
[consuming2],9,153.57828674913327,3,0,false,false,1,false,2,false
[producing],10,186.79051078418087,4,1,false,false,1,false,2,false
[producing],11,202.0726573813452,5,1,true,false,1,false,2,false
