action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,3.624188430934594,1,1,false,false,0,false,0,false
[con_ready2],2,4.748110092724408,1,1,false,true,0,false,0,true
[consuming2],3,5.298058707046688,1,0,false,false,0,false,1,false
[producing],4,32.41391865933549,2,1,false,false,0,false,1,false
[con_ready1],5,41.90871001608147,2,2,false,false,0,true,1,false
[producing],6,60.65931189038869,3,2,true,false,0,true,1,false
[consuming1],7,62.39524664381883,3,1,false,false,1,false,1,false
[con_ready1],8,68.02424722088793,3,2,false,false,1,true,1,false
[con_ready2],9,124.78787175349868,3,2,false,true,1,true,1,true
[consuming2],10,124.97414639209069,3,1,false,false,1,true,2,false
[producing],11,128.72820799273964,4,1,true,false,1,true,2,false
[consuming1],12,129.2471947732671,4,0,false,false,2,false,2,false
[producing],13,137.16020507068635,5,1,false,false,2,false,2,false
[con_ready1],14,145.03570820698914,5,2,false,false,2,true,2,false
[con_ready2],15,163.74640261769454,5,2,false,true,2,true,2,true
[consuming2],16,166.40213678612574,5,1,false,false,2,true,3,false
[producing],17,177.45318941505275,6,1,true,false,2,true,3,false
[consuming1],18,178.60780385802232,6,0,false,false,3,false,3,false
[producing],19,178.67117711736535,7,1,false,false,3,false,3,false
[con_ready2],20,179.60971439596747,7,1,false,true,3,false,3,true
[consuming2],21,180.24366393372264,7,0,false,false,3,false,4,false
[producing],22,209.31526259971557,8,1,false,false,3,false,4,false
[producing],23,226.1566041455627,9,1,true,false,3,false,4,false
