,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6
0,-,0,0,0,0,0,0,0,0
1,REST_X0,1,2,0,0,0,0,0,0
2,[X0_X3_GET_req],2,3,0,0,1,0,0,0
3,REST_X3,3,3,0,0,2,0,0,0
4,REST_X3,4,3,0,0,5,0,0,0
5,[X3_X6_GET_req],5,3,0,0,6,0,0,1
6,REST_X6,6,3,0,0,6,0,0,2
7,REST_X6,7,3,0,0,6,0,0,17
8,[X6_X5_GET_req],8,3,0,0,6,0,1,18
9,REST_X5,9,3,0,0,6,0,2,18
10,REST_X5,10,3,0,0,6,0,4,18
11,[X6_X5_GET_resp_5xx],11,3,0,0,6,0,0,19
12,[X6_X5_GET_req],12,3,0,0,6,0,1,20
13,REST_X5,13,3,0,0,6,0,2,20
14,REST_X5,14,3,0,0,6,0,4,20
15,[X6_X5_GET_resp_5xx],15,3,0,0,6,0,0,21
16,[X6_X5_GET_req],16,3,0,0,6,0,1,22
17,REST_X5,17,3,0,0,6,0,2,22
18,REST_X5,18,3,0,0,6,0,3,22
19,[X6_X5_GET_resp_2xx],19,3,0,0,6,0,0,3
20,[X3_X6_GET_resp_2xx],20,3,0,0,3,0,0,0
21,[X0_X3_GET_resp_2xx],21,0,0,0,0,0,0,0
22,REST_X0,22,2,0,0,0,0,0,0
23,[X0_X3_GET_req],23,3,0,0,1,0,0,0
24,REST_X3,24,3,0,0,2,0,0,0
25,REST_X3,25,3,0,0,5,0,0,0
26,[X3_X6_GET_req],26,3,0,0,6,0,0,1
27,REST_X6,27,3,0,0,6,0,0,2
28,REST_X6,28,3,0,0,6,0,0,5
29,[X6_X1_GET_req],29,3,1,0,6,0,0,6
30,REST_X1,30,3,2,0,6,0,0,6
31,REST_X1,31,3,3,0,6,0,0,6
32,[X6_X1_GET_resp_2xx],32,3,0,0,6,0,0,3
33,[X3_X6_GET_resp_2xx],33,3,0,0,3,0,0,0
34,[X0_X3_GET_resp_2xx],34,0,0,0,0,0,0,0
35,REST_X0,35,2,0,0,0,0,0,0
36,[X0_X3_GET_req],36,3,0,0,1,0,0,0
37,REST_X3,37,3,0,0,2,0,0,0
38,REST_X3,38,3,0,0,5,0,0,0
39,[X3_X6_GET_req],39,3,0,0,6,0,0,1
40,REST_X6,40,3,0,0,6,0,0,2
41,REST_X6,41,3,0,0,6,0,0,17
42,[X6_X5_GET_req],42,3,0,0,6,0,1,18
43,REST_X5,43,3,0,0,6,0,2,18
44,REST_X5,44,3,0,0,6,0,3,18
45,[X6_X5_GET_resp_2xx],45,3,0,0,6,0,0,3
46,[X3_X6_GET_resp_2xx],46,3,0,0,3,0,0,0
47,[X0_X3_GET_resp_2xx],47,0,0,0,0,0,0,0
48,REST_X0,48,2,0,0,0,0,0,0
49,[X0_X3_GET_req],49,3,0,0,1,0,0,0
50,REST_X3,50,3,0,0,2,0,0,0
51,REST_X3,51,3,0,0,5,0,0,0
52,[X3_X6_GET_req],52,3,0,0,6,0,0,1
53,REST_X6,53,3,0,0,6,0,0,2
54,REST_X6,54,3,0,0,6,0,0,11
55,[X6_X4_GET_req],55,3,0,0,6,1,0,12
56,REST_X4,56,3,0,0,6,2,0,12
57,REST_X4,57,3,0,0,6,5,0,12
58,[X4_X2_GET_req],58,3,0,1,6,6,0,12
59,REST_X2,59,3,0,2,6,6,0,12
60,REST_X2,60,3,0,3,6,6,0,12
61,[X4_X2_GET_resp_2xx],61,3,0,0,6,3,0,12
62,[X6_X4_GET_resp_2xx],62,3,0,0,6,0,0,3
63,[X3_X6_GET_resp_2xx],63,3,0,0,3,0,0,0
64,[X0_X3_GET_resp_2xx],64,0,0,0,0,0,0,0
65,REST_X0,65,2,0,0,0,0,0,0
66,[X0_X3_GET_req],66,3,0,0,1,0,0,0
67,REST_X3,67,3,0,0,2,0,0,0
68,REST_X3,68,3,0,0,5,0,0,0
69,[X3_X6_GET_req],69,3,0,0,6,0,0,1
70,REST_X6,70,3,0,0,6,0,0,2
71,REST_X6,71,3,0,0,6,0,0,5
72,[X6_X1_GET_req],72,3,1,0,6,0,0,6
73,REST_X1,73,3,2,0,6,0,0,6
74,REST_X1,74,3,4,0,6,0,0,6
75,[X6_X1_GET_resp_5xx],75,3,0,0,6,0,0,7
76,[X6_X1_GET_req],76,3,1,0,6,0,0,8
77,REST_X1,77,3,2,0,6,0,0,8
78,REST_X1,78,3,3,0,6,0,0,8
79,[X6_X1_GET_resp_2xx],79,3,0,0,6,0,0,3
80,[X3_X6_GET_resp_2xx],80,3,0,0,3,0,0,0
81,[X0_X3_GET_resp_2xx],81,0,0,0,0,0,0,0
82,REST_X0,82,2,0,0,0,0,0,0
83,[X0_X3_GET_req],83,3,0,0,1,0,0,0
84,REST_X3,84,3,0,0,2,0,0,0
85,REST_X3,85,3,0,0,5,0,0,0
86,[X3_X6_GET_req],86,3,0,0,6,0,0,1
87,REST_X6,87,3,0,0,6,0,0,2
88,REST_X6,88,3,0,0,6,0,0,17
89,[X6_X5_GET_req],89,3,0,0,6,0,1,18
90,REST_X5,90,3,0,0,6,0,2,18
91,REST_X5,91,3,0,0,6,0,3,18
92,[X6_X5_GET_resp_2xx],92,3,0,0,6,0,0,3
93,[X3_X6_GET_resp_2xx],93,3,0,0,3,0,0,0
94,[X0_X3_GET_resp_2xx],94,0,0,0,0,0,0,0
95,REST_X0,95,2,0,0,0,0,0,0
96,[X0_X3_GET_req],96,3,0,0,1,0,0,0
97,REST_X3,97,3,0,0,2,0,0,0
98,REST_X3,98,3,0,0,5,0,0,0
99,[X3_X6_GET_req],99,3,0,0,6,0,0,1
100,REST_X6,100,3,0,0,6,0,0,2
101,REST_X6,101,3,0,0,6,0,0,17
102,[X6_X5_GET_req],102,3,0,0,6,0,1,18
103,REST_X5,103,3,0,0,6,0,2,18
104,REST_X5,104,3,0,0,6,0,3,18
105,[X6_X5_GET_resp_2xx],105,3,0,0,6,0,0,3
106,[X3_X6_GET_resp_2xx],106,3,0,0,3,0,0,0
107,[X0_X3_GET_resp_2xx],107,0,0,0,0,0,0,0
108,REST_X0,108,2,0,0,0,0,0,0
109,[X0_X3_GET_req],109,3,0,0,1,0,0,0
110,REST_X3,110,3,0,0,2,0,0,0
111,REST_X3,111,3,0,0,5,0,0,0
112,[X3_X6_GET_req],112,3,0,0,6,0,0,1
113,REST_X6,113,3,0,0,6,0,0,2
114,REST_X6,114,3,0,0,6,0,0,17
115,[X6_X5_GET_req],115,3,0,0,6,0,1,18
116,REST_X5,116,3,0,0,6,0,2,18
117,REST_X5,117,3,0,0,6,0,3,18
118,[X6_X5_GET_resp_2xx],118,3,0,0,6,0,0,3
119,[X3_X6_GET_resp_2xx],119,3,0,0,3,0,0,0
120,[X0_X3_GET_resp_2xx],120,0,0,0,0,0,0,0
121,REST_X0,121,2,0,0,0,0,0,0
122,[X0_X3_GET_req],122,3,0,0,1,0,0,0
123,REST_X3,123,3,0,0,2,0,0,0
124,REST_X3,124,3,0,0,5,0,0,0
125,[X3_X6_GET_req],125,3,0,0,6,0,0,1
126,REST_X6,126,3,0,0,6,0,0,2
127,REST_X6,127,3,0,0,6,0,0,11
128,[X6_X4_GET_req],128,3,0,0,6,1,0,12
129,REST_X4,129,3,0,0,6,2,0,12
130,REST_X4,130,3,0,0,6,5,0,12
