action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,10.955697004144652,1,1,false,0,false
[con_ready],2,15.88781005664091,1,1,true,0,true
[consuming],3,15.97155812243814,1,0,false,1,false
[producing],4,19.252892970318765,2,1,false,1,false
[producing],5,21.794562721315963,3,2,false,1,false
[producing],6,33.120412934197866,4,3,false,1,false
[con_ready],7,35.83714271190446,4,3,true,1,true
[consuming],8,36.80969748318587,4,2,false,2,false
[con_ready],9,39.99766570974473,4,2,true,2,true
[consuming],10,43.649166122802086,4,1,false,3,false
[producing],11,53.62477337317947,5,2,false,3,false
[con_ready],12,60.93547326343568,5,2,true,3,true
[consuming],13,61.15017558401841,5,1,false,4,false
[producing],14,61.849652559472176,6,2,false,4,false
[con_ready],15,62.2916661875999,6,2,true,4,true
[consuming],16,62.4578606628222,6,1,false,5,false
[con_ready],17,73.75330411206211,6,1,true,5,true
[consuming],18,74.36681133295554,6,0,false,6,false
[producing],19,109.81008156322494,7,1,false,6,false
[con_ready],20,119.77533001269094,7,1,true,6,true
[consuming],21,121.26821900592286,7,0,false,7,false
[producing],22,121.55466614919614,8,1,false,7,false
[producing],23,138.70557757480896,9,2,false,7,false
[producing],24,138.89184380057583,10,3,false,7,false
[con_ready],25,145.6420888874427,10,3,true,7,true
[consuming],26,146.77268199079336,10,2,false,8,false
[con_ready],27,147.4573121399666,10,2,true,8,true
[consuming],28,148.60636516178428,10,1,false,9,false
[producing],29,152.02986744900997,11,2,false,9,false
[con_ready],30,183.9623254444478,11,2,true,9,true
[consuming],31,184.2614015319852,11,1,false,10,false
[producing],32,186.41842316606824,12,2,false,10,false
[producing],33,188.84328337523894,13,3,false,10,false
[con_ready],34,189.07582533719244,13,3,true,10,true
[consuming],35,189.63191767749993,13,2,false,11,false
[producing],36,193.97987567451267,14,3,false,11,false
[con_ready],37,196.67038748862458,14,3,true,11,true
[consuming],38,196.98597093268634,14,2,false,12,false
[producing],39,209.18741337683855,15,3,false,12,false
[producing],40,218.76104170099265,16,4,false,12,false
[producing],41,220.68990408050337,17,5,false,12,false
[con_ready],42,227.56179117213293,17,5,true,12,true
[consuming],43,229.16528500707676,17,4,false,13,false
[con_ready],44,233.62746754740454,17,4,true,13,true
[consuming],45,235.0161878632663,17,3,false,14,false
[producing],46,239.01408286101724,18,4,false,14,false
[producing],47,241.93296343831807,19,5,false,14,false
[con_ready],48,252.33396279494633,19,5,true,14,true
[consuming],49,252.46873541351778,19,4,false,15,false
[producing],50,252.9506631410559,20,5,false,15,false
[producing],51,269.49394561053373,21,6,false,15,false
[producing],52,274.6215814250969,22,7,false,15,false
[producing],53,281.2439147415251,23,8,false,15,false
[producing],54,284.02948366370947,24,9,false,15,false
[producing],55,291.257914775807,25,10,false,15,false
[producing],56,293.54902287668676,26,11,false,15,false
[producing],57,300.8177793477647,27,12,false,15,false
[producing],58,314.2123201957599,28,13,false,15,false
[producing],59,323.2824771148717,29,14,false,15,false
[producing],60,338.1112959627476,30,15,false,15,false
[con_ready],61,341.5008202749344,30,15,true,15,true
[consuming],62,341.5116989336323,30,14,false,16,false
[con_ready],63,345.2359203855793,30,14,true,16,true
[consuming],64,345.2905892026088,30,13,false,17,false
[producing],65,359.6313355028521,31,14,false,17,false
[producing],66,366.48942254723073,32,15,false,17,false
[con_ready],67,368.0281061807143,32,15,true,17,true
[consuming],68,368.1052140270846,32,14,false,18,false
[con_ready],69,375.3094396303289,32,14,true,18,true
[consuming],70,375.40212898750883,32,13,false,19,false
[con_ready],71,379.41485766842055,32,13,true,19,true
[consuming],72,380.0056093592283,32,12,false,20,false
[con_ready],73,380.4357557232857,32,12,true,20,true
[consuming],74,380.8479555568562,32,11,false,21,false
[producing],75,387.42376437244127,33,12,false,21,false
[con_ready],76,397.4369969429177,33,12,true,21,true
[consuming],77,398.7731540089647,33,11,false,22,false
[con_ready],78,407.7639602627967,33,11,true,22,true
[consuming],79,408.08191360248605,33,10,false,23,false
[producing],80,411.69244431361835,34,11,false,23,false
[con_ready],81,414.44746879660516,34,11,true,23,true
[consuming],82,416.61011917962185,34,10,false,24,false
[producing],83,427.9353055808703,35,11,false,24,false
[con_ready],84,442.38869777302915,35,11,true,24,true
[consuming],85,443.30526813832626,35,10,false,25,false
[producing],86,445.93438925484674,36,11,false,25,false
