action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,2.3005465326835073,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],2,13.092024665223475,1,1,false,true,false,0,false,0,true,0,false
[consuming2],3,14.591690183841934,1,0,false,false,false,0,false,1,false,0,false
[producing],4,22.634593454203088,2,1,false,false,false,0,false,1,false,0,false
[con_ready2],5,31.885210452245797,2,1,false,true,false,0,false,1,true,0,false
[consuming2],6,32.387295032062056,2,0,false,false,false,0,false,2,false,0,false
[producing],7,33.349710127909034,3,1,false,false,false,0,false,2,false,0,false
[con_ready3],8,42.43871190226583,3,1,false,false,true,0,false,2,false,0,true
[consuming3],9,43.228599931638804,3,0,false,false,false,0,false,2,false,1,false
[producing],10,104.98697722282816,4,1,false,false,false,0,false,2,false,1,false
[con_ready2],11,110.44175802198876,4,1,false,true,false,0,false,2,true,1,false
[consuming2],12,111.71432542125551,4,0,false,false,false,0,false,3,false,1,false
[producing],13,132.739971503733,5,1,false,false,false,0,false,3,false,1,false
[con_ready3],14,137.67690070051864,5,1,false,false,true,0,false,3,false,1,true
[consuming3],15,137.78608996732996,5,0,false,false,false,0,false,3,false,2,false
[producing],16,215.51837618364263,6,1,false,false,false,0,false,3,false,2,false
[con_ready2],17,216.66814775071202,6,1,false,true,false,0,false,3,true,2,false
[consuming2],18,217.18956209572283,6,0,false,false,false,0,false,4,false,2,false
[producing],19,247.65267526467832,7,1,false,false,false,0,false,4,false,2,false
[producing],20,249.22277031018064,8,1,true,false,false,0,false,4,false,2,false
