action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,16.935049096794216,1,1,false,false,0,false,0,false
[con_ready2],2,21.697928769268817,1,1,false,true,0,false,0,true
[consuming2],3,21.756364706811063,1,0,false,false,0,false,1,false
[producing],4,25.587950535912668,2,1,false,false,0,false,1,false
[con_ready2],5,39.77949734638307,2,1,false,true,0,false,1,true
[consuming2],6,40.24549142273281,2,0,false,false,0,false,2,false
[producing],7,40.83751962572786,3,1,false,false,0,false,2,false
[con_ready1],8,46.66133987366068,3,1,true,false,0,true,2,false
[consuming1],9,49.10898797104755,3,0,false,false,1,false,2,false
[producing],10,98.66909909258254,4,1,false,false,1,false,2,false
[producing],11,105.20617137718077,5,2,false,false,1,false,2,false
[con_ready1],12,121.52090313805107,5,2,true,false,1,true,2,false
[consuming1],13,122.15142014593232,5,1,false,false,2,false,2,false
[con_ready2],14,129.99135668694026,5,1,false,true,2,false,2,true
[consuming2],15,131.19122258839812,5,0,false,false,2,false,3,false
[producing],16,135.34661662565432,6,1,false,false,2,false,3,false
[con_ready1],17,142.28667780330827,6,1,true,false,2,true,3,false
[consuming1],18,143.47872472173748,6,0,false,false,3,false,3,false
[producing],19,156.39442751622238,7,1,false,false,3,false,3,false
[con_ready2],20,157.89686157340705,7,1,false,true,3,false,3,true
[consuming2],21,159.22856158599575,7,0,false,false,3,false,4,false
[producing],22,181.246915276975,8,1,false,false,3,false,4,false
[producing],23,187.676447723834,9,2,false,false,3,false,4,false
[producing],24,211.63205570190863,10,3,false,false,3,false,4,false
[con_ready2],25,216.16183575520893,10,3,false,true,3,false,4,true
[consuming2],26,217.5279848461249,10,2,false,false,3,false,5,false
[con_ready2],27,232.55894341336253,10,2,false,true,3,false,5,true
[consuming2],28,234.76952610775353,10,1,false,false,3,false,6,false
[con_ready2],29,246.48004810159276,10,1,false,true,3,false,6,true
[consuming2],30,247.8694815989686,10,0,false,false,3,false,7,false
