action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,22.302916247305017,1,0,0,1,false,false,false,0,false,0,false,0,false
[con_ready1],2,22.462191648676658,1,0,0,1,true,false,false,0,true,0,false,0,false
[consuming1],3,22.883098805213702,1,0,0,0,false,false,false,1,false,0,false,0,false
[producing],4,26.31985794489589,2,0,0,1,false,false,false,1,false,0,false,0,false
[producing],5,26.500784369408493,3,0,0,2,false,false,false,1,false,0,false,0,false
[producing2],6,30.725459421573376,3,1,0,3,false,false,false,1,false,0,false,0,false
[con_ready2],7,39.39608978463275,3,1,0,3,false,true,false,1,false,0,true,0,false
[consuming2],8,39.407109467377296,3,1,0,2,false,false,false,1,false,1,false,0,false
[producing3],9,45.28430393862267,3,1,1,3,false,false,false,1,false,1,false,0,false
[producing3],10,49.59738523307108,3,1,2,4,false,false,false,1,false,1,false,0,false
[producing3],11,49.647460119766116,3,1,3,5,false,false,false,1,false,1,false,0,false
[con_ready1],12,55.76735607214555,3,1,3,5,true,false,false,1,true,1,false,0,false
[consuming1],13,56.85651729205468,3,1,3,4,false,false,false,2,false,1,false,0,false
[producing2],14,61.960174439321456,3,2,3,5,false,false,false,2,false,1,false,0,false
[con_ready1],15,69.71434638204822,3,2,3,5,true,false,false,2,true,1,false,0,false
[consuming1],16,71.76964998039597,3,2,3,4,false,false,false,3,false,1,false,0,false
[producing3],17,73.81065595568393,3,2,4,5,false,false,false,3,false,1,false,0,false
[con_ready2],18,77.92311558485378,3,2,4,5,false,true,false,3,false,1,true,0,false
[consuming2],19,78.21754931309074,3,2,4,4,false,false,false,3,false,2,false,0,false
[producing2],20,85.55269387068527,3,3,4,5,false,false,false,3,false,2,false,0,false
[con_ready1],21,105.22700406688955,3,3,4,5,true,false,false,3,true,2,false,0,false
[consuming1],22,105.8316708774145,3,3,4,4,false,false,false,4,false,2,false,0,false
[producing2],23,109.28007448744025,3,4,4,5,false,false,false,4,false,2,false,0,false
[con_ready2],24,115.2690144597751,3,4,4,5,false,true,false,4,false,2,true,0,false
[consuming2],25,115.66045582130101,3,4,4,4,false,false,false,4,false,3,false,0,false
[producing3],26,118.0257177302265,3,4,5,5,false,false,false,4,false,3,false,0,false
[con_ready2],27,123.27217256047669,3,4,5,5,false,true,false,4,false,3,true,0,false
[consuming2],28,124.95789596777433,3,4,5,4,false,false,false,4,false,4,false,0,false
[producing2],29,126.62430010158266,3,5,5,5,false,false,false,4,false,4,false,0,false
[con_ready3],30,148.35387259229387,3,5,5,5,false,false,true,4,false,4,false,0,true
[consuming3],31,148.69731364120938,3,5,5,4,false,false,false,4,false,4,false,1,false
[con_ready2],32,158.25262850896686,3,5,5,4,false,true,false,4,false,4,true,1,false
