action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,5.823295285359247,1,0,0,1,false,false,false,0,false,0,false,0,false
[con_ready3],2,7.162008542164849,1,0,0,1,false,false,true,0,false,0,false,0,true
[consuming3],3,7.50272447875049,1,0,0,0,false,false,false,0,false,0,false,1,false
[producing],4,12.01468846323762,2,0,0,1,false,false,false,0,false,0,false,1,false
[con_ready2],5,23.900402834953823,2,0,0,1,false,true,false,0,false,0,true,1,false
[consuming2],6,26.655983863845833,2,0,0,0,false,false,false,0,false,1,false,1,false
[producing],7,26.75376729360198,3,0,0,1,false,false,false,0,false,1,false,1,false
[con_ready1],8,37.876288683508676,3,0,0,1,true,false,false,0,true,1,false,1,false
[consuming1],9,38.82346202251063,3,0,0,0,false,false,false,1,false,1,false,1,false
[producing],10,67.95236991461404,4,0,0,1,false,false,false,1,false,1,false,1,false
[con_ready3],11,70.51228518159036,4,0,0,1,false,false,true,1,false,1,false,1,true
[consuming3],12,72.07433759662976,4,0,0,0,false,false,false,1,false,1,false,2,false
[producing],13,72.22936062528792,5,0,0,1,false,false,false,1,false,1,false,2,false
[producing],14,77.52170475131385,6,0,0,2,false,false,false,1,false,1,false,2,false
[producing3],15,83.57127180719041,6,0,1,3,false,false,false,1,false,1,false,2,false
[producing2],16,86.39998868359706,6,1,1,4,false,false,false,1,false,1,false,2,false
[producing2],17,90.14677028278798,6,2,1,5,false,false,false,1,false,1,false,2,false
[con_ready2],18,99.1037378805922,6,2,1,5,false,true,false,1,false,1,true,2,false
[consuming2],19,100.83834202487162,6,2,1,4,false,false,false,1,false,2,false,2,false
[con_ready1],20,102.37397953003152,6,2,1,4,true,false,false,1,true,2,false,2,false
[consuming1],21,104.11381165948534,6,2,1,3,false,false,false,2,false,2,false,2,false
[con_ready1],22,117.8140583759311,6,2,1,3,true,false,false,2,true,2,false,2,false
[consuming1],23,125.8926586097596,6,2,1,2,false,false,false,3,false,2,false,2,false
[producing],24,133.3074309867618,7,2,1,3,false,false,false,3,false,2,false,2,false
[producing3],25,137.38193887430057,7,2,2,4,false,false,false,3,false,2,false,2,false
[producing],26,145.32735991871587,8,2,2,5,false,false,false,3,false,2,false,2,false
[con_ready1],27,146.20654235718382,8,2,2,5,true,false,false,3,true,2,false,2,false
[consuming1],28,147.00965515456144,8,2,2,4,false,false,false,4,false,2,false,2,false
[con_ready3],29,155.3117379835436,8,2,2,4,false,false,true,4,false,2,false,2,true
[consuming3],30,156.25874284424776,8,2,2,3,false,false,false,4,false,2,false,3,false
[con_ready3],31,159.59640285738618,8,2,2,3,false,false,true,4,false,2,false,3,true
[consuming3],32,160.27796230859553,8,2,2,2,false,false,false,4,false,2,false,4,false
[producing2],33,162.69605266838028,8,3,2,3,false,false,false,4,false,2,false,4,false
[con_ready1],34,162.78760806303856,8,3,2,3,true,false,false,4,true,2,false,4,false
[consuming1],35,169.67408439003054,8,3,2,2,false,false,false,5,false,2,false,4,false
[producing2],36,173.08465936755903,8,4,2,3,false,false,false,5,false,2,false,4,false
[producing2],37,185.51109588612158,8,5,2,4,false,false,false,5,false,2,false,4,false
[con_ready1],38,185.880695615889,8,5,2,4,true,false,false,5,true,2,false,4,false
[consuming1],39,189.82462192343874,8,5,2,3,false,false,false,6,false,2,false,4,false
[producing2],40,190.4864192719591,8,6,2,4,false,false,false,6,false,2,false,4,false
[con_ready1],41,196.62105334580426,8,6,2,4,true,false,false,6,true,2,false,4,false
[consuming1],42,196.7535362186301,8,6,2,3,false,false,false,7,false,2,false,4,false
[con_ready1],43,196.80902532144904,8,6,2,3,true,false,false,7,true,2,false,4,false
[consuming1],44,196.93283381509082,8,6,2,2,false,false,false,8,false,2,false,4,false
[producing],45,202.93545920526486,9,6,2,3,false,false,false,8,false,2,false,4,false
