,action,step,s_X0,s_X1,s_X2,s_X3,s_X4,s_X5,s_X6,s_X7,s_X8,s_X9,s_X10,s_X11,s_X12,s_X13,s_X14
0,-,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,REST_X0,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,[X0_X5_GET_req],2,11,0,0,0,0,1,0,0,0,0,0,0,0,0,0
3,REST_X5,3,11,0,0,0,0,2,0,0,0,0,0,0,0,0,0
4,REST_X5,4,11,0,0,0,0,9,0,0,0,0,0,0,0,0,0
5,[X5_X8_GET_req],5,11,0,0,0,0,10,0,0,1,0,0,0,0,0,0
6,REST_X8,6,11,0,0,0,0,10,0,0,2,0,0,0,0,0,0
7,REST_X8,7,11,0,0,0,0,10,0,0,5,0,0,0,0,0,0
8,[X8_X7_GET_req],8,11,0,0,0,0,10,0,1,6,0,0,0,0,0,0
9,REST_X7,9,11,0,0,0,0,10,0,2,6,0,0,0,0,0,0
10,REST_X7,10,11,0,0,0,0,10,0,9,6,0,0,0,0,0,0
11,[X7_X14_GET_req],11,11,0,0,0,0,10,0,10,6,0,0,0,0,0,1
12,REST_X14,12,11,0,0,0,0,10,0,10,6,0,0,0,0,0,2
13,REST_X14,13,11,0,0,0,0,10,0,10,6,0,0,0,0,0,5
14,[X14_X13_GET_req],14,11,0,0,0,0,10,0,10,6,0,0,0,0,1,6
15,REST_X13,15,11,0,0,0,0,10,0,10,6,0,0,0,0,2,6
16,REST_X13,16,11,0,0,0,0,10,0,10,6,0,0,0,0,5,6
17,[X13_X2_GET_req],17,11,0,1,0,0,10,0,10,6,0,0,0,0,6,6
18,REST_X2,18,11,0,2,0,0,10,0,10,6,0,0,0,0,6,6
19,REST_X2,19,11,0,9,0,0,10,0,10,6,0,0,0,0,6,6
20,[X2_X11_GET_req],20,11,0,10,0,0,10,0,10,6,0,0,1,0,6,6
21,REST_X11,21,11,0,10,0,0,10,0,10,6,0,0,2,0,6,6
22,REST_X11,22,11,0,10,0,0,10,0,10,6,0,0,3,0,6,6
