,case_no,case_count,node_count,p_node_fail,retires,path_len,path_count,sla
0,1,100,20,0.1,1,20000,1,3.466024714510652e-07
1,2,100,20,0.1,1,20000,1,6.296422502856409e-07
2,3,100,20,0.1,1,20000,1,0.0819453834174724
3,4,100,20,0.1,1,20000,1,6.610860208151316e-14
4,5,100,20,0.1,1,20000,1,0.07142066922901488
5,6,100,20,0.1,1,20000,1,5.63189983250084e-06
6,7,100,20,0.1,1,20000,1,8.129862884691992e-82
7,8,100,20,0.1,1,20000,1,3.9957143909588434e-07
8,9,100,20,0.1,1,20000,1,6.732598783609064e-06
9,10,100,20,0.1,1,20000,1,0.05826291939794224
10,11,100,20,0.1,1,20000,1,6.91775801850656e-07
11,12,100,20,0.1,1,20000,1,0.04883898776883311
12,13,100,20,0.1,1,20000,1,0.05797763988107729
13,14,100,20,0.1,1,20000,1,1.6462001381191337e-15
14,15,100,20,0.1,1,20000,1,1.068974878032335e-05
15,16,100,20,0.1,1,20000,1,6.499310690056756e-06
16,17,100,20,0.1,1,20000,1,1.735885135026518e-32
17,18,100,20,0.1,1,20000,1,9.244631965568632e-07
18,19,100,20,0.1,1,20000,1,1.3812145577463897e-17
19,20,100,20,0.1,1,20000,1,8.084152533596701e-06
20,21,100,20,0.1,1,20000,1,0.046733596055881434
21,22,100,20,0.1,1,20000,1,0.07284974106310263
22,23,100,20,0.1,1,20000,1,3.1215614341408353e-06
23,24,100,20,0.1,1,20000,1,3.385991934298454e-16
24,25,100,20,0.1,1,20000,1,0.08050886397460644
25,26,100,20,0.1,1,20000,1,1.466676037859228e-06
26,27,100,20,0.1,1,20000,1,1.4488453306995117e-30
27,28,100,20,0.1,1,20000,1,4.1361355372023335e-36
28,29,100,20,0.1,1,20000,1,4.5350890389089985e-14
29,30,100,20,0.1,1,20000,1,0.03777135481914253
30,31,100,20,0.1,1,20000,1,0.08782903405239703
31,32,100,20,0.1,1,20000,1,0.03906105790200012
32,33,100,20,0.1,1,20000,1,5.665312446372942e-150
33,34,100,20,0.1,1,20000,1,0.04651357200283909
34,35,100,20,0.1,1,20000,1,4.12319208164608e-07
35,36,100,20,0.1,1,20000,1,9.514487871084647e-06
36,37,100,20,0.1,1,20000,1,3.0817280834217097e-06
37,38,100,20,0.1,1,20000,1,5.976658375153315e-07
38,39,100,20,0.1,1,20000,1,0.07490974095756847
39,40,100,20,0.1,1,20000,1,0.09637555455034749
40,41,100,20,0.1,1,20000,1,0.05110216577443545
41,42,100,20,0.1,1,20000,1,0.04333100460076174
42,43,100,20,0.1,1,20000,1,0.08000862962011741
43,44,100,20,0.1,1,20000,1,0.05976430638308158
44,45,100,20,0.1,1,20000,1,1.2502795422417677e-05
45,46,100,20,0.1,1,20000,1,9.901498200058517e-07
46,47,100,20,0.1,1,20000,1,4.361620258352749e-14
47,48,100,20,0.1,1,20000,1,9.80123765936413e-07
48,49,100,20,0.1,1,20000,1,1.281510509827965e-170
49,50,100,20,0.1,1,20000,1,3.7161171288180734e-14
50,51,100,20,0.1,1,20000,1,1.7988248597120187e-07
51,52,100,20,0.1,1,20000,1,0.09124301205666493
52,53,100,20,0.1,1,20000,1,4.656361047310286e-07
53,54,100,20,0.1,1,20000,1,1.2529274517697821e-34
54,55,100,20,0.1,1,20000,1,1.5622220971889745e-07
55,56,100,20,0.1,1,20000,1,0.03887619204579587
56,57,100,20,0.1,1,20000,1,0.1161210948171426
57,58,100,20,0.1,1,20000,1,2.1293380329147203e-16
58,59,100,20,0.1,1,20000,1,0.13069954258128685
59,60,100,20,0.1,1,20000,1,6.657719570395217e-06
60,61,100,20,0.1,1,20000,1,0.13143660361169274
61,62,100,20,0.1,1,20000,1,5.410803917501147e-06
62,63,100,20,0.1,1,20000,1,7.780770637015902e-07
63,64,100,20,0.1,1,20000,1,0.04111946346342242
64,65,100,20,0.1,1,20000,1,1.7986098100675265e-14
65,66,100,20,0.1,1,20000,1,9.130011216892876e-68
66,67,100,20,0.1,1,20000,1,1.3929108691144727e-32
67,68,100,20,0.1,1,20000,1,7.294886490357538e-35
68,69,100,20,0.1,1,20000,1,3.6786149932707276e-145
69,70,100,20,0.1,1,20000,1,7.178112641088532e-07
70,71,100,20,0.1,1,20000,1,0.1474069882329829
71,72,100,20,0.1,1,20000,1,3.4833413219098396e-07
72,73,100,20,0.1,1,20000,1,0.08891992205830798
73,74,100,20,0.1,1,20000,1,2.327344613503201e-31
74,75,100,20,0.1,1,20000,1,7.400613390739383e-07
75,76,100,20,0.1,1,20000,1,1.5965728913034456e-37
76,77,100,20,0.1,1,20000,1,4.388022146465244e-06
77,78,100,20,0.1,1,20000,1,3.8288212509607004e-62
78,79,100,20,0.1,1,20000,1,3.119825730116654e-07
79,80,100,20,0.1,1,20000,1,3.1413613659869954e-06
80,81,100,20,0.1,1,20000,1,5.301415877738672e-06
81,82,100,20,0.1,1,20000,1,2.4827703215697663e-17
82,83,100,20,0.1,1,20000,1,3.5276364460894387e-16
83,84,100,20,0.1,1,20000,1,0.06676719656384127
84,85,100,20,0.1,1,20000,1,8.462568428289855e-07
85,86,100,20,0.1,1,20000,1,0.07028991990669237
86,87,100,20,0.1,1,20000,1,3.369030570032814e-07
87,88,100,20,0.1,1,20000,1,0.057515091709592125
88,89,100,20,0.1,1,20000,1,3.8175584475868604e-07
89,90,100,20,0.1,1,20000,1,1.868010294496295e-17
90,91,100,20,0.1,1,20000,1,4.573367654181537e-16
91,92,100,20,0.1,1,20000,1,0.07852263037716367
92,93,100,20,0.1,1,20000,1,7.151769646663282e-77
93,94,100,20,0.1,1,20000,1,0.1767447583523733
94,95,100,20,0.1,1,20000,1,0.05341891433909479
95,96,100,20,0.1,1,20000,1,6.188798293000417e-06
96,97,100,20,0.1,1,20000,1,3.223460703327563e-06
97,98,100,20,0.1,1,20000,1,6.856432402043858e-06
98,99,100,20,0.1,1,20000,1,1.4230863715313102e-07
99,100,100,20,0.1,1,20000,1,1.1291970240198664e-17
