action,step,time,p,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,false,false,0,false,0,false
[producing],1,61.41591166407703,1,1,false,false,0,false,0,false
[producing],2,65.1138824505523,2,2,false,false,0,false,0,false
[con_ready2],3,75.8138105939916,2,2,false,true,0,false,0,true
[consuming2],4,76.16937347023631,2,1,false,false,0,false,1,false
[con_ready1],5,80.9495823730242,2,1,true,false,0,true,1,false
[consuming1],6,82.49404566847204,2,0,false,false,1,false,1,false
[producing],7,98.8600924605562,3,1,false,false,1,false,1,false
[con_ready2],8,104.50853705686333,3,1,false,true,1,false,1,true
[consuming2],9,104.6615814778003,3,0,false,false,1,false,2,false
[producing],10,114.50021066173592,4,1,false,false,1,false,2,false
[producing],11,116.73455202338786,5,2,false,false,1,false,2,false
[producing],12,129.51782490691411,6,3,false,false,1,false,2,false
[con_ready2],13,150.22963903296645,6,3,true,false,1,false,2,true
