action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,f2,c3,getting3,f3,b1,serving11,serving12,serving13,b2,serving21,serving22,serving23,c11,getting11,c12,getting12,c13,getting13,c21,getting21,c22,getting22,c23,getting23
[consuming3],35,100.38241108523363,4,2,9,8,false,false,false,3,false,1,false,0,3,false,2,0,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,1,false,0,false
[producing2],36,103.84005655857736,4,3,9,9,false,false,false,3,false,1,false,0,3,false,2,0,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,1,false,0,false
[producing3],37,109.97943408222991,4,3,10,10,false,false,false,3,false,1,false,0,3,false,2,0,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,1,false,0,false
[forwarding2],38,111.56606669565761,4,3,10,10,false,false,false,3,false,1,false,1,3,false,2,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,1,false,0,false
[forwarding3],39,111.75375164339053,4,3,10,10,false,false,false,3,false,1,false,1,3,false,3,1,false,false,false,1,false,false,false,0,false,0,false,0,false,1,false,1,false,0,false
[con_ready1],40,114.61168885447879,4,3,10,10,true,false,false,3,true,1,false,1,3,false,3,1,false,false,false,1,false,false,false,0,false,0,false,0,false,1,false,1,false,0,false
[consuming1],41,114.70473237964843,4,3,10,9,false,false,false,4,false,1,false,1,3,false,3,1,false,false,false,1,false,false,false,0,false,0,false,0,false,1,false,1,false,0,false
[con_ready22],42,115.77876766124872,4,3,10,9,false,false,false,4,false,1,false,1,3,false,3,1,false,false,false,1,false,true,false,0,false,0,false,0,false,1,false,1,true,0,false
[consuming22],43,115.80777398664983,4,3,10,9,false,false,false,4,false,1,false,1,3,false,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[producing3],44,116.18804392854767,4,3,11,10,false,false,false,4,false,1,false,1,3,false,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[con_ready2],45,132.2629404319308,4,3,11,10,false,true,false,4,false,1,true,1,3,false,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[consuming2],46,134.14476740491085,4,3,11,9,false,false,false,4,false,2,false,1,3,false,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[producing],47,135.36723581997992,5,3,11,10,false,false,false,4,false,2,false,1,3,false,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[con_ready3],48,135.7792417572228,5,3,11,10,false,false,true,4,false,2,false,1,3,true,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[consuming3],49,136.2449519154205,5,3,11,9,false,false,false,4,false,2,false,1,4,false,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[con_ready3],50,142.39211091095683,5,3,11,9,false,false,true,4,false,2,false,1,4,true,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[consuming3],51,142.4083389272576,5,3,11,8,false,false,false,4,false,2,false,1,5,false,3,1,false,false,false,0,false,false,false,0,false,0,false,0,false,1,false,2,false,0,false
[con_ready13],52,144.4692458261002,5,3,11,8,false,false,false,4,false,2,false,1,5,false,3,1,false,false,true,0,false,false,false,0,false,0,false,0,true,1,false,2,false,0,false
[consuming13],53,144.6676298089187,5,3,11,8,false,false,false,4,false,2,false,1,5,false,3,0,false,false,false,0,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[producing3],54,148.7927183898514,5,3,12,9,false,false,false,4,false,2,false,1,5,false,3,0,false,false,false,0,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[producing3],55,150.26532170645962,5,3,13,10,false,false,false,4,false,2,false,1,5,false,3,0,false,false,false,0,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[con_ready1],56,156.13210518949,5,3,13,10,true,false,false,4,true,2,false,1,5,false,3,0,false,false,false,0,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[consuming1],57,156.7562959683501,5,3,13,9,false,false,false,5,false,2,false,1,5,false,3,0,false,false,false,0,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[con_ready1],58,160.47066228077102,5,3,13,9,true,false,false,5,true,2,false,1,5,false,3,0,false,false,false,0,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
[consuming1],59,161.05450589917686,5,3,13,8,false,false,false,6,false,2,false,1,5,false,3,0,false,false,false,0,false,false,false,0,false,0,false,1,false,1,false,2,false,0,false
