action,step,time,p,p2,b,serving1,serving2,c1,getting1,c2,getting2
-,0,0.0,0,0,0,false,false,0,false,0,false
[producing2],1,5.922503979142189,0,1,1,false,false,0,false,0,false
[con_ready1],2,6.074889976921659,0,1,2,false,false,0,true,0,false
[con_ready2],3,35.09983149385813,0,1,2,false,true,0,true,0,true
[consuming2],4,35.91580522172436,0,1,1,false,false,0,true,1,false
[con_ready2],5,40.1646619700868,0,1,1,false,true,0,true,1,true
[consuming2],6,41.00520437415263,0,1,0,false,false,0,true,2,false
[producing],7,45.41348960879841,1,1,1,false,false,0,true,2,false
[con_ready2],8,48.996257097712025,1,1,1,false,true,0,true,2,true
[consuming2],9,51.04340854081318,1,1,0,false,false,0,true,3,false
[producing2],10,51.70464475248679,1,2,1,false,false,0,true,3,false
[producing2],11,68.34167563828589,1,3,1,true,false,0,true,3,false
[consuming1],12,69.85156223706834,1,3,0,false,false,1,false,3,false
[producing2],13,87.1702321500931,1,4,1,false,false,1,false,3,false
[con_ready2],14,102.05988876223293,1,4,1,false,true,1,false,3,true
[consuming2],15,103.12112367608366,1,4,0,false,false,1,false,4,false
[producing2],16,126.88602624892157,1,5,1,false,false,1,false,4,false
[con_ready1],17,129.20434484154742,1,5,2,false,false,1,true,4,false
[producing],18,151.07661176151814,2,5,3,false,false,1,true,4,false
[con_ready2],19,181.20669330231567,2,5,3,false,true,1,true,4,true
[consuming2],20,181.2079360624919,2,5,2,false,false,1,true,5,false
[producing],21,184.62915440898615,3,5,3,false,false,1,true,5,false
[con_ready2],22,194.96153008246313,3,5,3,false,true,1,true,5,true
[consuming2],23,195.5840079149373,3,5,2,false,false,1,true,6,false
[producing],24,195.75820439715523,4,5,3,false,false,1,true,6,false
[con_ready2],25,207.26254417615286,4,5,3,false,true,1,true,6,true
[consuming2],26,210.61817899521208,4,5,2,false,false,1,true,7,false
[con_ready2],27,214.08730383412583,4,5,2,false,true,1,true,7,true
[consuming2],28,214.46118784726767,4,5,1,false,false,1,true,8,false
[con_ready2],29,230.09433852149314,4,5,1,false,true,1,true,8,true
[consuming2],30,230.63984312579385,4,5,0,false,false,1,true,9,false
[producing],31,232.1920718628641,5,5,1,false,false,1,true,9,false
[con_ready2],32,245.2712099284179,5,5,1,false,true,1,true,9,true
[consuming2],33,245.49669516520433,5,5,0,false,false,1,true,10,false
[producing2],34,252.97659829141733,5,6,1,false,false,1,true,10,false
[producing],35,262.9787614516549,6,6,2,false,false,1,true,10,false
[producing],36,265.795746396585,7,6,3,false,false,1,true,10,false
