action,step,time,p,p2,p3,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3,f,b2,serving11,serving12,serving13,c11,getting11,c12,getting12,c13,getting13
-,0,0.0,0,0,0,0,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],1,20.339413098723607,1,0,0,1,false,false,false,0,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready1],2,22.708129726362507,1,0,0,1,true,false,false,0,true,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[consuming1],3,22.866090872531203,1,0,0,0,false,false,false,1,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],4,42.16804798260371,2,0,0,1,false,false,false,1,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing],5,50.367164314323325,3,0,0,2,false,false,false,1,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[producing2],6,52.65302697218098,3,1,0,3,false,false,false,1,false,0,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],7,64.77323802836796,3,1,0,3,false,true,false,1,false,0,true,0,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],8,68.52784621172967,3,1,0,2,false,false,false,1,false,1,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready2],9,81.51348130308611,3,1,0,2,false,true,false,1,false,1,true,0,false,0,0,false,false,false,0,false,0,false,0,false
[consuming2],10,84.10045526799898,3,1,0,1,false,false,false,1,false,2,false,0,false,0,0,false,false,false,0,false,0,false,0,false
[con_ready3],11,88.22194071108048,3,1,0,1,false,false,true,1,false,2,false,0,true,0,0,false,false,false,0,false,0,false,0,false
[consuming3],12,88.32977764253761,3,1,0,0,false,false,false,1,false,2,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[producing],13,110.97358832354982,4,1,0,1,false,false,false,1,false,2,false,1,false,0,0,false,false,false,0,false,0,false,0,false
[forwarding],14,112.82849994656813,4,1,0,1,false,false,false,1,false,2,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[producing3],15,114.28772699587249,4,1,1,2,false,false,false,1,false,2,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],16,114.45648663843134,4,1,1,2,false,true,false,1,false,2,true,1,false,1,1,false,false,false,0,false,0,false,0,false
[consuming2],17,117.23941233417015,4,1,1,1,false,false,false,1,false,3,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[producing3],18,118.4093071929228,4,1,2,2,false,false,false,1,false,3,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[producing3],19,119.84054616892452,4,1,3,3,false,false,false,1,false,3,false,1,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready3],20,126.6694649300276,4,1,3,3,false,false,true,1,false,3,false,1,true,1,1,false,false,false,0,false,0,false,0,false
[consuming3],21,127.2364401100383,4,1,3,2,false,false,false,1,false,3,false,2,false,1,1,false,false,false,0,false,0,false,0,false
[con_ready11],22,134.26469998785038,4,1,3,2,false,false,false,1,false,3,false,2,false,1,2,false,false,false,0,true,0,false,0,false
[forwarding],23,137.43028546217607,4,1,3,2,false,false,false,1,false,3,false,2,false,2,2,true,false,false,0,true,0,false,0,false
[consuming11],24,137.8564790367158,4,1,3,2,false,false,false,1,false,3,false,2,false,2,1,false,false,false,1,false,0,false,0,false
[con_ready11],25,138.47723177273647,4,1,3,2,false,false,false,1,false,3,false,2,false,2,2,false,false,false,1,true,0,false,0,false
[con_ready12],26,146.0318788312076,4,1,3,2,false,false,false,1,false,3,false,2,false,2,2,false,true,false,1,true,0,true,0,false
[consuming12],27,146.12451372271408,4,1,3,2,false,false,false,1,false,3,false,2,false,2,1,false,false,false,1,true,1,false,0,false
[producing3],28,147.34542723379457,4,1,4,3,false,false,false,1,false,3,false,2,false,2,1,false,false,false,1,true,1,false,0,false
[con_ready3],29,161.0958515877003,4,1,4,3,false,false,true,1,false,3,false,2,true,2,1,false,false,false,1,true,1,false,0,false
[con_ready13],30,161.3516557459745,4,1,4,3,false,false,true,1,false,3,false,2,true,2,1,false,false,true,1,true,1,false,0,true
[consuming3],31,161.6885846607422,4,1,4,2,false,false,false,1,false,3,false,3,false,2,1,false,false,true,1,true,1,false,0,true
[consuming13],32,162.39256545698007,4,1,4,2,false,false,false,1,false,3,false,3,false,2,0,false,false,false,1,true,1,false,1,false
[producing],33,162.80288526064777,5,1,4,3,false,false,false,1,false,3,false,3,false,2,0,false,false,false,1,true,1,false,1,false
[con_ready3],34,164.34179053036843,5,1,4,3,false,false,true,1,false,3,false,3,true,2,0,false,false,false,1,true,1,false,1,false
[consuming3],35,164.859186342581,5,1,4,2,false,false,false,1,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[producing2],36,168.5033646342792,5,2,4,3,false,false,false,1,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[con_ready1],37,173.5736118057385,5,2,4,3,true,false,false,1,true,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[consuming1],38,174.37354660294025,5,2,4,2,false,false,false,2,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[producing3],39,177.3716037152872,5,2,5,3,false,false,false,2,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[con_ready1],40,185.14794627191407,5,2,5,3,true,false,false,2,true,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[consuming1],41,185.60001360965572,5,2,5,2,false,false,false,3,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[producing2],42,192.00981083155432,5,3,5,3,false,false,false,3,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[con_ready1],43,203.32642244622554,5,3,5,3,true,false,false,3,true,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[consuming1],44,203.76520042748677,5,3,5,2,false,false,false,4,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[producing2],45,207.8290171972599,5,4,5,3,false,false,false,4,false,3,false,4,false,2,0,false,false,false,1,true,1,false,1,false
[forwarding],46,214.97602839179933,5,4,5,3,false,false,false,4,false,3,false,4,false,3,1,false,false,false,1,true,1,false,1,false
[con_ready1],47,221.63543594639566,5,4,5,3,true,false,false,4,true,3,false,4,false,3,1,false,false,false,1,true,1,false,1,false
[consuming1],48,225.33868871636378,5,4,5,2,false,false,false,5,false,3,false,4,false,3,1,false,false,false,1,true,1,false,1,false
[con_ready1],49,228.11776593199372,5,4,5,2,true,false,false,5,true,3,false,4,false,3,1,false,false,false,1,true,1,false,1,false
[consuming1],50,228.1365900956509,5,4,5,1,false,false,false,6,false,3,false,4,false,3,1,false,false,false,1,true,1,false,1,false
[producing],51,233.3763441259295,6,4,5,2,false,false,false,6,false,3,false,4,false,3,1,false,false,false,1,true,1,false,1,false
[producing3],52,233.74128146847625,6,4,6,3,false,false,false,6,false,3,false,4,false,3,1,false,false,false,1,true,1,false,1,false
[forwarding],53,240.63609014431563,6,4,6,3,false,false,false,6,false,3,false,4,false,4,1,true,false,false,1,true,1,false,1,false
[consuming11],54,240.64629644571068,6,4,6,3,false,false,false,6,false,3,false,4,false,4,0,false,false,false,2,false,1,false,1,false
[con_ready1],55,264.3791068266423,6,4,6,3,true,false,false,6,true,3,false,4,false,4,0,false,false,false,2,false,1,false,1,false
[consuming1],56,266.94536908607364,6,4,6,2,false,false,false,7,false,3,false,4,false,4,0,false,false,false,2,false,1,false,1,false
[con_ready3],57,274.8343740437839,6,4,6,2,false,false,true,7,false,3,false,4,true,4,0,false,false,false,2,false,1,false,1,false
[consuming3],58,276.7393788686116,6,4,6,1,false,false,false,7,false,3,false,5,false,4,0,false,false,false,2,false,1,false,1,false
[con_ready1],59,279.5965603796627,6,4,6,1,true,false,false,7,true,3,false,5,false,4,0,false,false,false,2,false,1,false,1,false
[consuming1],60,279.85263757313953,6,4,6,0,false,false,false,8,false,3,false,5,false,4,0,false,false,false,2,false,1,false,1,false
[forwarding],61,302.6861863170701,6,4,6,0,false,false,false,8,false,3,false,5,false,5,1,false,false,false,2,false,1,false,1,false
[con_ready12],62,319.58395489643664,6,4,6,0,false,false,false,8,false,3,false,5,false,5,1,false,true,false,2,false,1,true,1,false
