action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,61.009454981050666,1,1,false,false,false,0,false,0,false,0,false
[con_ready2],2,65.3799406553649,1,1,false,true,false,0,false,0,true,0,false
[consuming2],3,66.01358814403794,1,0,false,false,false,0,false,1,false,0,false
[producing],4,79.99025123533937,2,1,false,false,false,0,false,1,false,0,false
[con_ready1],5,126.44022062834082,2,1,true,false,false,0,true,1,false,0,false
[consuming1],6,126.4422681146041,2,0,false,false,false,1,false,1,false,0,false
[producing],7,192.59471704588077,3,1,false,false,false,1,false,1,false,0,false
[con_ready3],8,207.30651499870896,3,1,false,false,true,1,false,1,false,0,true
[consuming3],9,208.70183038486815,3,0,false,false,false,1,false,1,false,1,false
[producing],10,223.07908764238496,4,1,false,false,false,1,false,1,false,1,false
[con_ready3],11,243.64512881521506,4,1,false,false,true,1,false,1,false,1,true
[consuming3],12,243.80983712792536,4,0,false,false,false,1,false,1,false,2,false
[producing],13,305.04139977545316,5,1,false,false,false,1,false,1,false,2,false
[con_ready3],14,328.6261333939844,5,1,false,false,true,1,false,1,false,2,true
[consuming3],15,329.39852398172405,5,0,false,false,false,1,false,1,false,3,false
[producing],16,372.07205413689996,6,1,false,false,false,1,false,1,false,3,false
[producing],17,381.66681958269874,7,2,false,false,false,1,false,1,false,3,false
[con_ready2],18,387.83137745429946,7,2,false,true,false,1,false,1,true,3,false
[consuming2],19,388.09216959874493,7,1,false,false,false,1,false,2,false,3,false
[con_ready1],20,403.9886651992283,7,1,true,false,false,1,true,2,false,3,false
[consuming1],21,404.42877428992193,7,0,false,false,false,2,false,2,false,3,false
[producing],22,430.98272558762096,8,1,false,false,false,2,false,2,false,3,false
[producing],23,450.62967180262797,9,2,false,false,false,2,false,2,false,3,false
[producing],24,452.11217783300356,10,3,false,false,false,2,false,2,false,3,false
[con_ready2],25,461.6024214740043,10,3,false,true,false,2,false,2,true,3,false
[consuming2],26,461.6804051194766,10,2,false,false,false,2,false,3,false,3,false
[con_ready1],27,466.7152449905024,10,2,true,false,false,2,true,3,false,3,false
[consuming1],28,468.3219544868094,10,1,false,false,false,3,false,3,false,3,false
[con_ready1],29,504.10119430484633,10,1,true,false,false,3,true,3,false,3,false
[consuming1],30,505.7334180834038,10,0,false,false,false,4,false,3,false,3,false
