action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,31.266536251678836,1,1,false,false,false,0,false,0,false,0,false
[producing],2,49.67785042970844,2,2,false,false,false,0,false,0,false,0,false
[con_ready2],3,68.25021425296214,2,2,false,true,false,0,false,0,true,0,false
[consuming2],4,68.98929765444436,2,1,false,false,false,0,false,1,false,0,false
[producing],5,87.86282846481635,3,2,false,false,false,0,false,1,false,0,false
[producing],6,112.90530060178989,4,3,false,false,false,0,false,1,false,0,false
[con_ready3],7,114.14130356492497,4,3,false,false,true,0,false,1,false,0,true
[consuming3],8,114.7721231026795,4,2,false,false,false,0,false,1,false,1,false
[con_ready3],9,115.26324181715049,4,2,false,false,true,0,false,1,false,1,true
[consuming3],10,116.4775141986376,4,1,false,false,false,0,false,1,false,2,false
[producing],11,116.50088991817259,5,2,false,false,false,0,false,1,false,2,false
[con_ready3],12,130.10310140258133,5,2,false,false,true,0,false,1,false,2,true
[consuming3],13,130.56220401212408,5,1,false,false,false,0,false,1,false,3,false
[producing],14,135.55784753062267,6,2,false,false,false,0,false,1,false,3,false
[con_ready3],15,163.61715436518108,6,2,false,false,true,0,false,1,false,3,true
[consuming3],16,163.80428746638069,6,1,false,false,false,0,false,1,false,4,false
[producing],17,170.33971133119334,7,2,false,false,false,0,false,1,false,4,false
[con_ready1],18,173.43892987580483,7,2,true,false,false,0,true,1,false,4,false
[consuming1],19,173.46039932809848,7,1,false,false,false,1,false,1,false,4,false
[con_ready3],20,190.98543916696786,7,1,false,false,true,1,false,1,false,4,true
[consuming3],21,191.2585074174013,7,0,false,false,false,1,false,1,false,5,false
[producing],22,197.23573480008167,8,1,false,false,false,1,false,1,false,5,false
[con_ready3],23,200.8249752047749,8,1,false,false,true,1,false,1,false,5,true
[consuming3],24,202.0229347533637,8,0,false,false,false,1,false,1,false,6,false
[producing],25,214.01622882185308,9,1,false,false,false,1,false,1,false,6,false
[con_ready1],26,218.38304817121372,9,1,true,false,false,1,true,1,false,6,false
[consuming1],27,220.13628065882614,9,0,false,false,false,2,false,1,false,6,false
[producing],28,225.79122075998973,10,1,false,false,false,2,false,1,false,6,false
[con_ready2],29,232.1836589981177,10,1,false,true,false,2,false,1,true,6,false
[consuming2],30,233.5713536383007,10,0,false,false,false,2,false,2,false,6,false
