action,step,time,p,b,serving1,serving2,serving3,c1,getting1,c2,getting2,c3,getting3
-,0,0.0,0,0,false,false,false,0,false,0,false,0,false
[producing],1,19.38907041292024,1,1,false,false,false,0,false,0,false,0,false
[con_ready3],2,20.893377122634995,1,1,false,false,true,0,false,0,false,0,true
[consuming3],3,21.266802528960838,1,0,false,false,false,0,false,0,false,1,false
[producing],4,33.69233031326394,2,1,false,false,false,0,false,0,false,1,false
[con_ready1],5,41.62248958719475,2,1,true,false,false,0,true,0,false,1,false
[consuming1],6,41.994350558624895,2,0,false,false,false,1,false,0,false,1,false
[producing],7,80.64494202430953,3,1,false,false,false,1,false,0,false,1,false
[producing],8,87.24004962412135,4,2,false,false,false,1,false,0,false,1,false
[producing],9,88.58968656215306,5,3,false,false,false,1,false,0,false,1,false
[con_ready3],10,89.13435503795944,5,3,false,false,true,1,false,0,false,1,true
[consuming3],11,90.28548608312452,5,2,false,false,false,1,false,0,false,2,false
[producing],12,103.96050771712552,6,3,false,false,false,1,false,0,false,2,false
[con_ready1],13,106.44955802646457,6,3,true,false,false,1,true,0,false,2,false
[consuming1],14,108.31854071681849,6,2,false,false,false,2,false,0,false,2,false
[con_ready2],15,116.64713324443234,6,2,false,true,false,2,false,0,true,2,false
[consuming2],16,116.84802437856975,6,1,false,false,false,2,false,1,false,2,false
[con_ready2],17,118.92482078191168,6,1,false,true,false,2,false,1,true,2,false
[consuming2],18,120.50229502450159,6,0,false,false,false,2,false,2,false,2,false
[producing],19,182.59274669850666,7,1,false,false,false,2,false,2,false,2,false
[con_ready2],20,198.3820232098116,7,1,false,true,false,2,false,2,true,2,false
[consuming2],21,199.36432163808226,7,0,false,false,false,2,false,3,false,2,false
[producing],22,209.14203822149474,8,1,false,false,false,2,false,3,false,2,false
[con_ready1],23,220.60512169890058,8,1,true,false,false,2,true,3,false,2,false
[consuming1],24,227.59369792500178,8,0,false,false,false,3,false,3,false,2,false
[producing],25,247.7321152920533,9,1,false,false,false,3,false,3,false,2,false
[con_ready1],26,250.28367851478768,9,1,true,false,false,3,true,3,false,2,false
[consuming1],27,250.633688515201,9,0,false,false,false,4,false,3,false,2,false
[producing],28,258.4136062291668,10,1,false,false,false,4,false,3,false,2,false
[con_ready1],29,275.27054524257665,10,1,true,false,false,4,true,3,false,2,false
[consuming1],30,278.744926083522,10,0,false,false,false,5,false,3,false,2,false
