action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,10.594269925190526,1,1,false,0,false
[con_ready],2,25.916497459009257,1,1,true,0,true
[consuming],3,26.602116065404555,1,0,false,1,false
[producing],4,141.9117397870535,2,1,false,1,false
[con_ready],5,148.3556385407095,2,1,true,1,true
[consuming],6,149.02829834115462,2,0,false,2,false
[producing],7,175.46369622032742,3,1,false,2,false
[con_ready],8,185.63566001532058,3,1,true,2,true
[consuming],9,186.17938723394025,3,0,false,3,false
[producing],10,230.67072562933768,4,1,false,3,false
[con_ready],11,277.9431809006222,4,1,true,3,true
[consuming],12,280.4989625609598,4,0,false,4,false
[producing],13,288.5893857830031,5,1,false,4,false
[con_ready],14,293.68013541903883,5,1,true,4,true
[consuming],15,294.7124841813235,5,0,false,5,false
[producing],16,351.0840219585554,6,1,false,5,false
[con_ready],17,360.3277965903772,6,1,true,5,true
[consuming],18,364.6575416256385,6,0,false,6,false
[producing],19,368.5427021749411,7,1,false,6,false
[con_ready],20,374.20029890185316,7,1,true,6,true
[consuming],21,374.6301327061108,7,0,false,7,false
[producing],22,395.0727596903879,8,1,false,7,false
[producing],23,404.29644312444634,9,2,false,7,false
[con_ready],24,407.424156129117,9,2,true,7,true
[consuming],25,407.4567711131115,9,1,false,8,false
[producing],26,416.68291938264,10,2,false,8,false
[producing],27,430.8113121816783,11,3,false,8,false
[con_ready],28,432.62021660292584,11,3,true,8,true
[consuming],29,432.79957102497764,11,2,false,9,false
[producing],30,439.0648366883916,12,3,false,9,false
[con_ready],31,467.3883636287816,12,3,true,9,true
[consuming],32,468.71272393248137,12,2,false,10,false
[producing],33,473.96570035538474,13,3,false,10,false
[con_ready],34,475.03312867741704,13,3,true,10,true
[consuming],35,475.75462875588784,13,2,false,11,false
[con_ready],36,484.337816994367,13,2,true,11,true
[consuming],37,485.8036654091949,13,1,false,12,false
[con_ready],38,487.4600210493268,13,1,true,12,true
[consuming],39,489.1765071783775,13,0,false,13,false
[producing],40,516.6895997108584,14,1,false,13,false
[producing],41,526.5083126487428,15,2,false,13,false
[con_ready],42,545.1651190806222,15,2,true,13,true
[consuming],43,545.2801493789058,15,1,false,14,false
[con_ready],44,547.318129428979,15,1,true,14,true
[consuming],45,548.481983317781,15,0,false,15,false
[producing],46,554.1211785168065,16,1,false,15,false
[con_ready],47,559.8182390609355,16,1,true,15,true
[consuming],48,561.3096610303004,16,0,false,16,false
[producing],49,567.3077422069605,17,1,false,16,false
[con_ready],50,573.8805235137133,17,1,true,16,true
[consuming],51,574.8332733849351,17,0,false,17,false
[producing],52,579.2780925639054,18,1,false,17,false
[con_ready],53,587.9740121601786,18,1,true,17,true
[consuming],54,587.9873809212859,18,0,false,18,false
[producing],55,601.4168822862789,19,1,false,18,false
[con_ready],56,609.7617329277462,19,1,true,18,true
[consuming],57,610.5688560395392,19,0,false,19,false
[producing],58,687.3790154540569,20,1,false,19,false
[con_ready],59,688.263641137952,20,1,true,19,true
[consuming],60,688.9427212803243,20,0,false,20,false
