action,step,time,p,b,serving,c,getting
-,0,0.0,0,0,false,0,false
[producing],1,36.054218918795435,1,1,false,0,false
[con_ready],2,37.36574560847038,1,1,true,0,true
[consuming],3,37.95334094968357,1,0,false,1,false
[producing],4,77.16472766641769,2,1,false,1,false
[producing],5,91.6838531735261,3,2,false,1,false
[con_ready],6,108.67919544006905,3,2,true,1,true
[consuming],7,109.75706893170789,3,1,false,2,false
[con_ready],8,114.65919072352153,3,1,true,2,true
[consuming],9,114.86649589963902,3,0,false,3,false
[producing],10,135.0579028703458,4,1,false,3,false
[con_ready],11,158.09639140696243,4,1,true,3,true
[consuming],12,159.4767324640805,4,0,false,4,false
[producing],13,338.4692481183465,5,1,false,4,false
[producing],14,346.749371052864,6,2,false,4,false
[con_ready],15,348.7928584855603,6,2,true,4,true
[consuming],16,351.10484103128647,6,1,false,5,false
[producing],17,358.47199810804494,7,2,false,5,false
[con_ready],18,359.44457570987095,7,2,true,5,true
[consuming],19,359.90369733515956,7,1,false,6,false
[con_ready],20,360.4811841098889,7,1,true,6,true
[consuming],21,360.9262945828399,7,0,false,7,false
[producing],22,365.73207708200255,8,1,false,7,false
[con_ready],23,366.330333227404,8,1,true,7,true
[consuming],24,366.4231820161716,8,0,false,8,false
[producing],25,430.047288544098,9,1,false,8,false
[con_ready],26,431.83082639853893,9,1,true,8,true
[consuming],27,432.88141520194137,9,0,false,9,false
[producing],28,434.74423122406756,10,1,false,9,false
[producing],29,440.4452138086921,11,2,false,9,false
[con_ready],30,471.5961395599053,11,2,true,9,true
[consuming],31,472.3228047976238,11,1,false,10,false
[producing],32,473.26325114265774,12,2,false,10,false
[con_ready],33,485.62857108924794,12,2,true,10,true
[consuming],34,486.15219142853056,12,1,false,11,false
[producing],35,492.7839608246572,13,2,false,11,false
[con_ready],36,495.64804449592657,13,2,true,11,true
[consuming],37,497.05445280235233,13,1,false,12,false
[producing],38,510.70621846250265,14,2,false,12,false
[con_ready],39,516.1531824333018,14,2,true,12,true
[consuming],40,516.2100567396992,14,1,false,13,false
[producing],41,518.9613508420592,15,2,false,13,false
[producing],42,536.1943269685289,16,3,false,13,false
[producing],43,539.3597767999776,17,4,false,13,false
[producing],44,541.8157114151094,18,5,false,13,false
[producing],45,543.1762986415802,19,6,false,13,false
[con_ready],46,547.723067412449,19,6,true,13,true
[consuming],47,548.8416174200472,19,5,false,14,false
[producing],48,556.7132157654878,20,6,false,14,false
[con_ready],49,558.1968421433472,20,6,true,14,true
[consuming],50,558.8145425000467,20,5,false,15,false
[con_ready],51,564.6142107815228,20,5,true,15,true
[consuming],52,565.1375048789632,20,4,false,16,false
[con_ready],53,567.7414536278152,20,4,true,16,true
[consuming],54,569.9405231503196,20,3,false,17,false
[con_ready],55,575.8898344067712,20,3,true,17,true
[consuming],56,576.845255722322,20,2,false,18,false
[con_ready],57,587.7370395406086,20,2,true,18,true
[consuming],58,589.0800836906477,20,1,false,19,false
[con_ready],59,601.6664800860517,20,1,true,19,true
[consuming],60,602.0046196355181,20,0,false,20,false
